Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-10T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 5,Jan 6,Jan 7,Jan 8,Jan 9,,
Volume,,
Futures,"274,111","376,883","438,704","395,453","291,456",,
Options,342,"4,284","10,394","2,956","5,683",,
TOTAL,"274,453","381,167","449,098","398,409","297,139",,
Value ($'000),,
Futures,"108,269,138","167,662,507","199,443,148","167,678,544","124,238,619",,
Options,"35,171","443,771","1,143,873","348,652","641,011",,
TOTAL,"108,304,309","168,106,279","200,587,021","168,027,196","124,879,630",,
Spot Month Movement:,,
SPI 200,5407.0,5312.0,5315.0,5337.0,5422.0,,
90 Day Bank Bills,97.440,97.430,97.440,97.420,97.410,,
6% 3 Year C'wlth Bonds,97.890,97.890,97.930,97.880,97.890,,
6% 10 Year C'wlth Bonds,97.2900,97.3350,97.3650,97.3150,97.3250,,
,
