Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-07-19T14:00:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,,
Volume,,
Futures,"229,629","328,636","414,348","278,163","488,298",,
Options,"5,850","13,655","18,985","16,346","32,884",,
TOTAL,"235,479","342,291","433,333","294,509","521,182",,
Value ($'000),,
Futures,"95,840,039","164,477,134","156,550,220","106,420,796","215,199,244",,
Options,"594,782","1,450,215","1,978,561","1,928,982","3,389,449",,
TOTAL,"96,434,821","165,927,349","158,528,780","108,349,778","218,588,693",,
Spot Month Movement:,,
SPI 200,5471.0,5461.0,5474.0,5483.0,5485.0,,
90 Day Bank Bills,97.420,97.410,97.410,97.400,97.410,,
6% 3 Year C'wlth Bonds,97.420,97.440,97.460,97.450,97.480,,
6% 10 Year C'wlth Bonds,96.560,96.565,96.580,96.595,96.630,,
,
