Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-02-01T14:15:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,,
Volume,,
Futures,"230,334","507,613","444,588","523,768","437,143",,
Options,900,"15,829","17,738","27,509","12,195",,
TOTAL,"231,234","523,442","462,326","551,277","449,338",,
Value ($'000),,
Futures,"98,915,603","211,945,825","143,356,787","192,464,760","164,323,344",,
Options,"116,033","1,675,806","1,873,343","2,873,494","1,241,391",,
TOTAL,"99,031,635","213,621,631","145,230,130","195,338,254","165,564,735",,
Spot Month Movement:,,
SPI 200,5157.0,5133.0,5174.0,5138.0,5143.0,,
90 Day Bank Bills,97.430,97.420,97.420,97.420,97.410,,
6% 3 Year C'wlth Bonds,97.190,97.160,97.070,97.150,97.140,,
6% 10 Year C'wlth Bonds,96.045,96.035,95.950,96.060,96.065,,
,
