Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-10-17T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 12,Oct 13,Oct 14,Oct 15,Oct 16,,
Volume,,
Futures,"260,141","310,869","728,449","562,087","405,588",,
Options,"3,038","8,480","7,753","27,296","9,076",,
TOTAL,"263,179","319,349","736,202","589,383","414,664",,
Value ($'000),,
Futures,"107,931,472","115,687,169","330,796,959","271,135,085","184,054,166",,
Options,"304,762","928,498","890,845","2,874,172","918,237",,
TOTAL,"108,236,233","116,615,667","331,687,803","274,009,257","184,972,403",,
Spot Month Movement:,,
SPI 200,5224.0,5191.0,5174.0,5207.0,5252.0,,
90 Day Bank Bills,97.930,97.930,97.980,97.990,98.020,,
6% 3 Yr C'wlth Bonds,98.130,98.160,98.230,98.230,98.220,,
6% 10 Yr C'wlth Bonds,97.2650,97.3100,97.3800,97.4100,97.3750,,
,
