Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-05-16T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 11,May 12,May 13,May 14,May 15,,
Volume,,
Futures,"446,406","554,348","467,594","443,691","420,368",,
Options,"5,936","8,547","7,654","4,499","6,289",,
TOTAL,"452,342","562,895","475,248","448,190","426,657",,
Value ($'000),,
Futures,"205,007,200","191,980,183","134,040,887","168,245,219","170,668,672",,
Options,"653,551","966,631","916,797","453,955","641,607",,
TOTAL,"205,660,751","192,946,813","134,957,685","168,699,174","171,310,279",,
Spot Month Movement:,,
SPI 200,5574.0,5671.0,5705.0,5687.0,5747.0,,
90 Day Bank Bills,97.860,97.840,97.850,97.850,97.870,,
6% 3 Year C'wlth Bonds,97.910,97.790,97.840,97.860,97.930,,
6% 10 Year C'wlth Bonds,97.1450,96.9550,97.0450,97.0050,97.1050,,
,
