Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-04-10T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,,
Volume,,
Futures,"239,409","336,057","300,509","464,749","318,767",,
Options,"17,603","14,594","13,524","19,070","13,261",,
TOTAL,"257,012","350,651","314,033","483,819","332,028",,
Value ($'000),,
Futures,"103,911,390","258,338,992","111,647,318","259,745,361","148,843,216",,
Options,"1,798,499","1,475,487","1,427,146","1,972,577","1,354,140",,
TOTAL,"105,709,890","259,814,480","113,074,464","261,717,938","150,197,356",,
Spot Month Movement:,,
SPI 200,4909.0,4926.0,4941.0,4938.0,4965.0,,
90 Day Bank Bills,95.090,95.100,95.100,95.070,95.050,,
6% 3 Year C'wlth Bonds,94.900,94.950,94.920,94.830,94.790,,
6% 10 Year C'wlth Bonds,94.445,94.480,94.440,94.385,94.340,,
,
