Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-01-06T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 31,Jan 1,Jan 2,Jan 3,Jan 4,,
Volume,,
Futures,"114,194",Closed,"171,467","230,396","301,315",,
Options,"1,000",Closed,536,"1,954","2,184",,
TOTAL,"115,194",Closed,"172,003","232,350","303,499",,
Value ($'000),,
Futures,"46,598,106",Closed,"82,461,454","99,131,285","131,957,640",,
Options,"100,000",Closed,"78,019","196,324","219,870",,
TOTAL,"46,698,106",Closed,"82,539,473","99,327,609","132,177,510",,
Spot Month Movement:,,
SPI 200,4616.0,Closed,4684.0,4716.0,4705.0,,
90 Day Bank Bills,97.200,Closed,97.140,97.140,97.100,,
6% 3 Year C'wlth Bonds,97.330,Closed,97.200,97.240,97.160,,
6% 10 Year C'wlth Bonds,96.750,Closed,96.620,96.665,96.580,,
,
