Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-12-26T14:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 21,Dec 22,Dec 23,Dec 24,Dec 25,,
Volume,,
Futures,"207,832","166,824","160,634","88,694",Closed,,
Options,960,325,"1,105",8,–,,
TOTAL,"208,792","167,149","161,739","88,702",–,,
Value ($'000),,
Futures,"57,822,062","41,545,108","46,276,821","26,260,265",Closed,,
Options,"101,174","34,502","122,927","1,031",–,,
TOTAL,"57,923,236","41,579,610","46,399,748","26,261,296",–,,
Spot Month Movement:,,
SPI 200,5069.0,5071.0,5098.0,5154.0,Closed,,
90 Day Bank Bills,97.780,97.770,97.750,97.750,–,,
6% 3 Yr C'wlth Bonds,97.930,97.950,97.940,97.940,–,,
6% 10 Yr C'wlth Bonds,97.1750,97.2000,97.1550,97.1650,–,,
,
