Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-05-06T17:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 30,May 1,May 2,May 3,May 4,,
Volume,,
Futures,"326,374","565,424","496,934","373,875","289,553",,
Options,"22,683","29,829","7,981","7,605","9,335",,
TOTAL,"349,057","595,253","504,915","381,480","298,888",,
Value ($'000),,
Futures,"189,497,118","429,924,108","289,374,523","200,203,311","161,549,528",,
Options,"2,328,231","3,013,953","814,520","785,365","937,099",,
TOTAL,"191,825,349","432,938,061","290,189,042","200,988,676","162,486,627",,
Spot Month Movement:,,
SPI 200,4397.0,4419.0,4429.0,4426.0,4391.0,,
90 Day Bank Bills,96.140,96.320,96.280,96.300,96.300,,
6% 3 Year C'wlth Bonds,97.010,97.200,97.090,97.150,97.160,,
6% 10 Year C'wlth Bonds,96.380,96.510,96.410,96.480,96.495,,
,
