Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-06-05T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 30,May 31,Jun 1,Jun 2,Jun 3,,
Volume,,
Futures,"248,204","485,388","557,895","506,194","273,629",,
Options,"16,084","16,454","40,782","20,114","22,648",,
TOTAL,"264,288","501,842","598,677","526,308","296,277",,
Value ($'000),,
Futures,"180,726,737","350,952,785","343,721,644","295,350,620","133,253,518",,
Options,"1,633,994","1,660,490","4,137,665","2,040,803","2,333,301",,
TOTAL,"182,360,731","352,613,275","347,859,309","297,391,422","135,586,818",,
Spot Month Movement:,,
SPI 200,4662.0,4711.0,4709.0,4606.0,4580.0,,
90 Day Bank Bills,95.020,95.020,94.980,94.980,94.980,,
6% 3 Year C'wlth Bonds,95.140,95.150,95.050,95.090,95.090,,
6% 10 Year C'wlth Bonds,94.810,94.795,94.720,94.770,94.775,,
,
