Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-12-12T16:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 6,Dec 7,Dec 8,Dec 9,Dec 10,,
Volume,,
Futures,"288,802","336,635","390,716","532,654","547,844",,
Options,"20,672","20,841","6,891","17,684","13,235",,
TOTAL,"309,474","357,476","397,607","550,338","561,079",,
Value ($'000),,
Futures,"159,209,100","215,191,460","161,047,562","238,688,056","113,824,160",,
Options,"2,156,918","2,143,827","715,325","1,786,079","1,342,793",,
TOTAL,"161,366,018","217,335,287","161,762,887","240,474,135","115,166,953",,
Spot Month Movement:,,
SPI 200,4699.0,4733.0,4700.0,4752.0,4759.0,,
90 Day Bank Bills,95.000,94.990,94.960,94.940,94.940,,
6% 3 Year C'wlth Bonds,95.020,95.020,94.920,94.820,94.850,,
6% 10 Year C'wlth Bonds,94.575,94.540,94.370,94.345,94.395,,
,
