Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2015-12-06T23:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 30,Dec 1,Dec 2,Dec 3,Dec 4,,
Volume,,
Futures,"321,694","432,562","435,272","358,621","542,835",,
Options,"3,811","6,579","8,918","6,745","14,744",,
TOTAL,"325,505","439,141","444,190","365,366","557,579",,
Value ($'000),,
Futures,"167,426,603","225,338,212","196,386,406","133,110,080","179,428,301",,
Options,"398,678","709,045","937,140","778,860","1,502,565",,
TOTAL,"167,825,282","226,047,257","197,323,546","133,888,940","180,930,866",,
Spot Month Movement:,,
SPI 200,5186.0,5264.0,5278.0,5231.0,5155.0,,
90 Day Bank Bills,97.760,97.740,97.720,97.720,97.720,,
6% 3 Yr C'wlth Bonds,97.900,97.890,97.900,97.880,97.820,,
6% 10 Yr C'wlth Bonds,97.1100,97.1300,97.1700,97.1300,97.0200,,
,
