Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-10-24T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,,
Volume,,
Futures,"301,181","348,526","386,249","446,762","424,958",,
Options,"3,080","8,167","3,319","1,520","8,359",,
TOTAL,"304,261","356,693","389,568","448,282","433,317",,
Value ($'000),,
Futures,"108,808,082","168,442,215","175,933,230","233,012,551","234,243,734",,
Options,"327,239","849,666","351,225","149,360","869,290",,
TOTAL,"109,135,322","169,291,881","176,284,456","233,161,911","235,113,024",,
Spot Month Movement:,,
SPI 200,5237.0,5213.0,5239.0,5232.0,5323.0,,
90 Day Bank Bills,98.010,97.970,97.950,97.960,97.980,,
6% 3 Yr C'wlth Bonds,98.220,98.210,98.170,98.190,98.210,,
6% 10 Yr C'wlth Bonds,97.3750,97.3550,97.3150,97.3450,97.3600,,
,
