Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-10-14T20:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 8,Oct 9,Oct 10,Oct 11,Oct 12,,
Volume,,
Futures,"234,706","327,009","302,559","419,209","223,484",,
Options,"13,165","9,623","17,121","17,141","14,535",,
TOTAL,"247,871","336,632","319,680","436,350","238,019",,
Value ($'000),,
Futures,"86,785,578","147,619,919","101,560,227","200,343,747","101,832,498",,
Options,"1,305,484","963,102","2,612,343","1,720,657","2,831,444",,
TOTAL,"88,091,062","148,583,021","104,172,570","202,064,404","104,663,942",,
Spot Month Movement:,,
SPI 200,4479.0,4509.0,4484.0,4476.0,4488.0,,
90 Day Bank Bills,96.990,96.990,96.970,96.980,96.980,,
6% 3 Year C'wlth Bonds,97.640,97.650,97.630,97.650,97.630,,
6% 10 Year C'wlth Bonds,97.025,97.035,97.015,97.065,97.060,,
,
