Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-05-01T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 20,Apr 21,Apr 27,Apr 28,Apr 29,,
Volume,,
Futures,"232,182","204,879","479,045","409,930","303,535",,
Options,"10,611","5,953","16,558","23,959","22,017",,
TOTAL,"242,793","210,832","495,603","433,889","325,552",,
Value ($'000),,
Futures,"96,632,293","105,682,254","421,231,917","256,362,369","145,897,909",,
Options,"1,099,583","599,940","1,670,172","2,432,981","2,237,567",,
TOTAL,"97,731,876","106,282,194","422,902,089","258,795,349","148,135,476",,
Spot Month Movement:,,
SPI 200,4865.0,4921.0,4873.0,4873.0,4808.0,,
90 Day Bank Bills,95.100,95.090,95.040,95.030,95.020,,
6% 3 Year C'wlth Bonds,94.880,94.870,94.860,94.870,94.890,,
6% 10 Year C'wlth Bonds,94.470,94.480,94.535,94.545,94.560,,
,
