Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-12-21T15:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 16,Dec 17,Dec 18,Dec 19,Dec20,,
New York:,,
,
DJ Indust,"15,884.57","15,875.26","16,167.97","16,179.08",16221.14,,
DJ Opening,"15,759.60","15,884.06","15,876.57","16,162.51",16178.57,,
Day's High,"15,930.31","15,917.96","16,173.04","16,194.72",16287.84,,
Day's low,"15,759.60","15,836.45","15,808.92","16,121.54",16178.57,,
Nasdaq Comp,4029.52,4023.68,4070.06,4058.14,4104.74,,
S&P 500 Index,1786.54,1781.00,1810.65,1809.60,1818.32,,
Wilshire 5000,"19,014.84","18,971.62","19,261.44","19,236.11",19370.19,,
NYSE volume ('000),"67,932,300","66,621,100","88,187,300","69,935,600","1,966,687,000",,
NYSE rises,2024,1384,2414,1291,2298,,
NYSE falls,1006,1626,641,1743,737,,
Transport,7151.16,7119.53,7207.17,7206.46,7282.26,,
NYSE Comp,"10,024.97",9989.08,"10,154.20","10,151.53",10196.07,,
AMEX Index,2346.07,2337.92,2369.56,2366.24,2369.33,,
Canada:,,
,
DJ S&P TSX Index,"13,184.41","13,180.16","13,334.73","13,392.20",13399.60,,
London:,,
,
FTSE 100 Index,6522.20,6486.19,6492.08,6584.70,6606.58,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2978.77,2941.76,2975.09,3031.05,3049.35,,
Germany:,,
,
German Xetra Dax,9163.56,9085.12,9181.75,9335.74,9400.18,,
France:,,
,
CAC Index,4119.88,4068.64,4109.51,4177.03,4193.77,,
Switzerland:,,
,
Swiss Market Index,7856.27,7830.98,7881.26,8028.27,8081.35,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"43,848.95","43,925.38","44,327.84",44574.25,,
JSE Africa Gold Index,–,1038.31,1019.39,975.96,977.78,,
Italy:,,
,
FTSE Italia All Share Index,"19,417.20","19,126.74","19,327.75","19,665.32","19,781.11",,
Spain:,,
,
IBEX 35,9429.5,9343.4,9443.6,9664.3,9689.90,,
New Zealand:,,
,
NZ Top 50 Capital,4735.61,4728.02,4675.88,4707.06,4681.19,,
NZ Top 10 Capital,1113.44,1110.17,1095.15,1106.97,1098.15,,
Tokyo:,,
,
Nikkei 225 Index,"15,152.91","15,278.63","15,587.80","15,859.22",15870.42,,
Nikkei high,"15,408.35","15,322.13","15,588.42","15,891.82","15,870.42",,
Nikkei low,"15,146.13","15,248.42","15,268.18","15,798.85","15,755.36",,
Nikkei 300 Index,249.82,251.74,255.68,258.50,258.14,,
Topix Index,1222.95,1232.31,1250.49,1263.07,1261.64,,
Hong Kong:,,
,
Hang Seng Index,"23,114.66","23,069.23","23,143.82","22,888.75",22812.18,,
China:,,
,
Shanghai A Index,2261.86,2251.60,2248.66,2227.10,2181.94,,
Korea:,,
,
Seoul KOSPI,1961.15,1965.74,1974.63,1975.65,1983.35,,
Taiwan:,,
,
TAIEX Index,8313.87,8352.93,8349.04,8407.40,8408.53,,
Singapore:,,
,
Straits Times Index,3053.77,3067.57,3061.78,3070.23,3094.48,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1837.88,1850.90,1847.50,1846.18,1838.03,,
Indonesia:,,
,
JSX Composite Index,4125.96,4182.35,4196.28,4231.98,4195.56,,
India:,,
,
BSE Sensex Index,"20,659.52","20,612.14","20,859.86","20,708.62",21079.72,,
Thailand:,,
,
FTSE SET Index,1328.40,1337.18,1349.86,1346.63,1342.72,,
Philippines:,,
,
Manila PSE Index,5812.54,5928.99,5961.55,5923.12,5835.13,,
World:,,
,
MSCI World,1598.22,1592.79,1613.75,1618.38,1626.66,,
Comm Research Index,281.09,280.19,280.78,281.96,283.12,,
Moody's Comm Index,5675.79,5712.51,5717.82,5704.25,5694.91,,
LME Index,3136.5,3136.6,3135.4,3109.6,3137.2,,
,
Source: Thomson Reuters,
