Weekly Roundup - Overseas Indices,,,,,,
 XAO 4942.2 at 16:42 8/1/2010  Report at 19:12 Friday 8/1/2010!. Processed 15:18 Sunday 10/1/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,
NEW YORK:,,,,,,
"""DJ Indust         ","10,583.96","10,572.02","10,573.68","10,606.86","10,618.19",""""
"""DJ Opening    ","10,430.69","10,584.56","10,564.72","10,571.11","10,606.40",""""
"""Day's High      ","10,604.97","10,584.56","10,594.99","10,612.37","10,619.40",""""
"""Day's low         ","10,430.69","10,522.52","10,546.55","10,505.21","10,554.33",""""
Nasdaq Comp       ,2308.42,2308.71,2301.09,2300.05,2317.17,
S&P 500 Index     ,1132.99,1136.52,1137.14,1141.69,1144.98,
"""NYSE volume ('000)      ","1,014,752","1,191,983","1,113,361","1,192,886",n/a       ,""""
NYSE rises        ,2465,1845,1815,1874,n/a     ,
NYSE falls        ,601,1198,1206,1184,n/a     ,
Transport         ,4130.82,4172.64,4147.3,4135.75,4130.82,
NYSE Comp         ,7326.74,7354.87,7377.7,7393.93,7425.35,
AMEX Index        ,1853.66,1859.92,1866.92,1868.02,1872.5,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,866.90","11,888.08","11,944.54","11,887.51","11,953.83",""""
LONDON:,,,,,,
FT 100 Index      ,5500.34,5522.5,5530.04,5526.72,5534.24,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,3017.8,3012.36,3009.66,3007.34,3017.85,
GERMANY:,,,,,,
German Xetra Dax  ,6048.3,6031.86,6034.33,6019.36,6037.61,
FRANCE:,,,,,,
CAC Index         ,4013.97,4012.91,4017.67,4024.8,4045.14,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6631.44,6579.26,6559.41,6555.36,6617.88,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,895.19","27,998.87","28,080.36","28,017.81","28,266.54",""""
JSE Africa Gold Index        ,2427.83,2442.52,2504.1,2495.06,2514.06,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,957.48","23,997.41","24,061.18","24,146.19","24,231.64",""""
SPAIN:,,,,,,
"""IBEX 35  ","12,145.10","12,204.40","12,222.50","12,166.30","12,163.00",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3230.14,3268.19,3271.57,3284.81,3310.23,
NZ Top 10 Capital   ,873.65,886.29,887.32,891.77,901.62,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,654.79","10,681.83","10,731.45","10,681.66","10,798.32",""""
"""Nikkei high       ","10,694.49","10,791.04","10,768.61","10,774.00","10,816.45",""""
"""Nikkei low        ","10,608.14","10,655.57","10,661.17","10,636.67","10,677.56",""""
Nikkei 300 Index  ,186.68,187.53,190.06,190.06,191.87,
Topix Index       ,915.75,919.57,931.13,931.85,941.29,
Nikkei vol (mil)  ,1291,2105,2275,2335,2630,
HONG KONG:,,,,,,
"""Hang Seng Index    ","21,823.28","22,279.58","22,416.67","22,269.45","22,296.75",""""
 CHINA:,,,,,,
Shanghai A Index  ,3402.31,3442.58,3413.16,3348.66,3351.87,
KOREA:,,,,,,
Seoul KOSPI     ,1696.14,1690.62,1705.32,1683.45,1695.26,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,558.73","17,686.24","17,701.13","17,615.72","17,540.29",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2894.55,2920.28,2930.49,2913.25,2922.76,
MALAYSIA:,,,,,,
KL Composite Index   ,1275.75,1288.24,1293.17,1291.42,1292.98,
INDONESIA:,,,,,,
JSX Composite Index      ,2575.41,2605.28,2603.3,2586.89,2614.37,
THAILAND:,,,,,,
Bangkok SET Index         ,732.28,732.11,735.73,734.63,738.96,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3005.01,3028.46,3039.93,3077.78,3077.18,
TAIWAN:,,,,,,
TAIEX Index   ,8207.85,8211.4,8327.62,8237.42,8280.9,
WORLD:,,,,,,
MSCI World        ,1189.4,1192.9,1193.5,1190.2,1195.3,
Comm Research Index    ,289.34,289.39,293.75,290.53,290.77,
Moody's Comm Index   ,4775.65,4776.83,4834.75,4830.83,n/a    ,
LME Index ,3463.2,3466.6,3572,3486.8,3435.8,
