Weekly Roundup - Overseas Indices,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010!. Processed 13:06 Monday 26/7/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,
NEW YORK:,,,,,,
"""DJ Indust","10,154.43","10,229.96","10,120.53","10,322.30","10,424.62",""""
"""DJ Opening","10,098.12","10,151.48","10,226.02","10,121.81","10,321.16",""""
"""Day's High","10,187.28","10,236.40","10,265.54","10,363.24","10,441.95",""""
"""Day's low","10,073.68","10,007.76","10,065.50","10,121.81","10,287.48",""""
Nasdaq Comp,2198.23,2222.49,2187.33,2245.89,2269.47,
S&P 500 Index,1071.25,1083.48,1069.59,1093.67,1102.66,
"""Wilshire 5000","11,131.53","11,272.09","11,120.50","11,389.99","11,507.74",""""
"""NYSE volume ('000)","95,414","1,125,065","1,200,193","1,176,136","1,149,559",""""
NYSE rises,1956,2458,992,2673,2421,
NYSE falls,1025,559,2018,396,599,
Transport,4131.27,4202.7,4143.1,4303.25,4369.71,
NYSE Comp,6739.64,6820.04,6731.16,6901.91,6965.11,
AMEX Index,1852.23,1870.39,1846.17,1886.73,1908.62,
CANADA:,,,,,,
"""DJ S&P TSX Index","11,543.47","11,629.88","11,513.33","11,667.76","11,714.21",""""
LONDON:,,,,,,
FT 100 Index,5148.28,5139.46,5214.64,5313.81,5312.62,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2634.6,2627.28,2639.52,2714.21,2719.13,
GERMANY:,,,,,,
German Xetra Dax,6009.11,5967.49,5990.38,6142.15,6166.34,
FRANCE:,,,,,,
CAC Index,3486.33,3468.02,3493.92,3600.57,3607.05,
SWITZERLAND:,,,,,,
Swiss Market Index,6156.64,6123.42,6132.66,6194.18,6201.25,
JOHANNESBURG:,,,,,,
"""All Share Index","27,329.75","27,349.61","27,833.52","28,274.03","28,424.17",""""
JSE Africa Gold Index,2368.69,2352.88,2361.79,2371.49,2348.9,
ITALY:,,,,,,
"""FTSE Italia All Share Index","20,617.63","20,475.45","20,629.58","21,162.43","21,079.44",""""
SPAIN:,,,,,,
"""IBEX 35",9929.8,"10,061.30","10,040.80","10,302.90","10,388.20",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,2964.61,2995.37,3003.41,2981.36,2994.9,
NZ Top 10 Capital,783.36,794.58,795.57,788.63,792.14,
TOKYO:,,,,,,
Nikkei 225 Index,Closed,9300.46,9278.83,9220.88,9430.96,
Nikkei high,,9378.91,9404.07,9254.19,9474.11,
Nikkei low,,9247.76,9230.84,9176.12,9367.3,
Nikkei 300 Index,,168.33,167.92,167.21,170.49,
Topix Index,,832.26,829.35,825.48,841.29,
Nikkei vol (mil),,1788,2023,2658,1963,
HONG KONG:,,,,,,
"""Hang Seng Index","20,090.95","20,264.59","20,487.23","20,589.70","20,815.33",""""
 CHINA:,,,,,,
Shanghai A Index,2594.32,2650.23,2657.25,2685.6,2695.76,
KOREA:,,,,,,
Seoul KOSPI,1731.95,1736.77,1748.78,1735.53,1758.06,
TAIWAN:,,,,,,
TAIEX Index,7649.83,7712.03,7701.29,7666.34,7761.22,
SINGAPORE:,,,,,,
Straits Times Index,2945.42,2948.61,2926.09,2955.67,2973.47,
MALAYSIA:,,,,,,
KL Composite Index,1333.35,1337.67,1341.02,1336.05,1345.68,
INDONESIA:,,,,,,
JSX Composite Index,2975.57,2995.44,3013.4,3009.92,3042.02,
 INDIA:,,,,,,
"""BSE Sensex Index","17,928.42","17,878.14","17,977.23","18,113.15","18,130.98",""""
THAILAND:,,,,,,
Bangkok SET Index,830.4,824.41,830.93,833.01,840.24,
PHILIPPINES:,,,,,,
Manila PSE Index,3424.29,3405.69,3418.71,3414.9,3416.1,
WORLD:,,,,,,
MSCI World,1089.31,1093.51,1088.38,1110.1,1117.45,
Comm Research Index,261.05,261.37,261.38,266.7,266.47,
Moody's Comm Index,4908.48,4888.93,4872.49,4944.06,4981.55,
LME Index,2995.9,3046.6,3126.1,3196.3,3202.3,
