Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-12-04T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 28,Nov 29,Nov 30,Dec 1,Dec 2,,
New York:,,
,
DJ Indust,"11,523.01","11,555.63","12,045.68","12,020.03","12,019.42",,
DJ Opening,"11,232.47","11,523.01","11,559.27","12,046.21","12,022.37",,
Day's High,"11,562.10","11,624.01","12,045.68","12,062.64","12,146.68",,
Day's low,"11,232.16","11,517.04","11,559.27","11,974.62","12,007.12",,
Nasdaq Comp,2527.34,2515.51,2620.34,2626.20,2626.93,,
S&P 500 Index,1192.55,1195.19,1246.96,1244.58,1244.28,,
Wilshire 5000,"12,466.35","12,483.49","13,038.51","13,006.04","13,012.77",,
NYSE volume ('000),"95,654","91,721","1,664,920","85,440","86,956",,
NYSE rises,2581,1463,2684,1193,1815,,
NYSE falls,491,1538,392,1799,1181,,
Transport,4692.35,4720.21,4946.17,4909.10,4946.67,,
NYSE Comp,7120.55,7149.71,7484.50,7450.43,7453.55,,
AMEX Index,2168.92,2191.68,2276.89,2265.53,2252.37,,
Canada:,,
,
DJ S&P TSX Index,"11,640.21","11,732.50","12,204.11","12,113.29","12,075.09",,
London:,,
,
FTSE 100 Index,5312.76,5337.00,5505.42,5489.34,5552.29,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2221.76,2234.17,2330.43,2313.84,2342.50,,
Germany:,,
,
German Xetra Dax,5745.33,5799.91,6088.84,6035.88,6080.68,,
France:,,
,
CAC Index,3012.93,3026.76,3154.62,3129.95,3164.95,,
Switzerland:,,
,
Swiss Market Index,5522.66,5531.24,5652.31,5681.57,5718.85,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,829.34","31,636.36","32,812.64","32,748.85","32,610.90",,
JSE Africa Gold Index,3049.32,3063.09,3203.84,3248.05,3200.85,,
Italy:,,
,
FTSE Italia All Share Index,"15,321.92","15,364.62","16,026.41","15,990.51","16,215.71",,
Spain:,,
,
IBEX 35,8119.9,8128.0,8449.5,8421.0,8558.6,,
New Zealand:,,
,
NZ Top 50 Capital,3218.44,3239.47,3270.21,3277.31,3282.39,,
NZ Top 10 Capital,826.31,831.03,837.39,837.20,841.42,,
Tokyo:,,
,
Nikkei 225 Index,8287.49,8477.82,8434.61,8597.38,8643.75,,
Nikkei high,8322.01,8477.82,8435.34,8653.88,8643.75,,
Nikkei low,8259.71,8351.38,8361.69,8577.09,8591.93,,
Nikkei 300 Index,144.19,146.97,146.73,149.29,150.18,,
Topix Index,715.70,729.68,728.46,740.01,744.14,,
Nikkei vol (mil),1362,1569,1762,2000,1567,,
Hong Kong:,,
,
Hang Seng Index,"18,037.81","18,256.20","17,989.35","19,002.26","19,040.39",,
China:,,
,
Shanghai A Index,2496.02,2526.83,2444.45,2500.63,2473.46,,
Korea:,,
,
Seoul KOSPI,1815.28,1856.52,1847.51,1916.18,1916.04,,
Taiwan:,,
,
TAIEX Index,6898.78,6988.65,6904.12,7178.69,7140.68,,
Singapore:,,
,
Straits Times Index,2694.43,2688.10,2702.46,2761.88,2773.36,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,n/a,1444.72,1472.10,1485.26,1489.02,,
Indonesia:,,
,
JSX Composite Index,3647.05,3687.77,3715.08,3781.10,3779.84,,
India:,,
,
BSE Sensex Index,"16,167.13","16,008.34","16,123.46","16,483.45","16,846.83",,
Thailand:,,
,
FTSE SET Index,984.18,988.06,995.33,1019.15,1029.37,,
Philippines:,,
,
Manila PSE Index,4227.88,4211.04,Closed,4290.59,4290.92,,
World:,,
,
MSCI World,1132.35,1139.70,1184.60,1184.46,1187.6,,
Comm Research Index,308.16,310.65,314.02,313.51,313.75,,
Moody's Comm Index,6042.66,6062.96,6079.00,6079.00,6179.02,,
LME Index,3289.0,3273.1,3436.9,n/a,3437.7,,
,
Source: Thomson Reuters,
