Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2013-06-10T20:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 3,Jun 4,Jun 5,Jun 6,Jun 7,,
New York:,,
,
DJ Indust,"15,254.03","15,177.54","14,960.59","15,040.62","15,248.12",,
DJ Opening,"15,123.55","15,255.22","15,168.10","14,955.45","15,044.46",,
Day's High,"15,254.11","15,304.98","15,168.63","15,040.62","15,255.58",,
Day's low,"15,123.55","15,100.78","14,945.57","14,844.22","15,044.46",,
Nasdaq Comp,3465.37,3445.26,3401.48,3424.05,3469.22,,
S&P 500 Index,1640.42,1631.38,1608.90,1622.56,1643.38,,
Wilshire 5000,"17,292.83","17,192.26","16,953.90","17,111.23","17,325.38",,
NYSE volume ('000),"87,845","78,555",n/a,"79,789","72,811",,
NYSE rises,1374 ,1102,n/a,2353 ,2077 ,,
NYSE falls,1667,1900,n/a,659,924,,
Transport,6288.27,6257.29,6138.36,6196.71,6343.79,,
NYSE Comp,9357.08,9320.09,9178.42,9260.50,9355.41,,
AMEX Index,2383.38,2380,n/a,2359.15,2362.62,,
Canada:,,
,
DJ S&P TSX Index,"12,609.80","12,593.97","12,443.65","12,409.33","12,373.30",,
London:,,
,
FTSE 100 Index,6525.12,6558.58,6419.31,6336.11,6411.99,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2747.74,2755.70,2709.33,2676.21,2724.08,,
Germany:,,
,
German Xetra Dax,8285.80,8295.96,8196.18,8098.81,8254.68,,
France:,,
,
CAC Index,3920.67,3925.83,3852.44,3814.28,3872.59,,
Switzerland:,,
,
Swiss Market Index,7780.98,7875.68,7747.84,7622.74,7784.84,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,957.61","40,897.68","40,793.81","40,341.24","40,813.33",,
JSE Africa Gold Index,1526.81,1477.31,1519.36,1524.42,1491.74,,
Italy:,,
,
FTSE Italia All Share Index,"18,049.68","18,132.62","17,959.21","17,519.33","17,696.37",,
Spain:,,
,
IBEX 35,8284.4,8363.0,8290.7,8216.7,8266.6,,
New Zealand:,,
,
NZ Top 50 Capital,4478.20,4473.78,4453.59,4455.33,4439.86,,
NZ Top 10 Capital,1062.86,1058.22,1052.19,1050.34,1047.52,,
Tokyo:,,
,
Nikkei 225 Index,"13,261.82","13,533.76","13,014.87","12,904.02","12,877.53",,
Nikkei high,"13,562.87","13,610.25","13,711.42","13,238.53","13,106.20",,
Nikkei low,"13,261.82","13,060.94","13,011.16","12,862.02","12,548.20",,
Nikkei 300 Index,222.98,228.69,221.17,218.14,215.52,,
Topix Index,1096.95,1125.47,1090.03,1070.77,1056.95,,
Hong Kong:,,
,
Hang Seng Index,"22,282.19","22,285.52","22,069.24","21,838.43","21,575.26",,
China:,,
,
Shanghai A Index,2406.69,2378.64,2377.08,2346.82,2314.05,,
Korea:,,
,
Seoul KOSPI,1989.57,1989.51,1959.19,2000.10,1923.85,,
Taiwan:,,
,
TAIEX Index,8201.02,8191.22,8181.91,8096.14,8095.20,,
Singapore:,,
,
Straits Times Index,3291.08,3291.35,3243.43,3193.51,3184.72,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1766.33,1776.74,1774.42,1769.60,1775.59,,
Indonesia:,,
,
JSX Composite Index,4971.35,5021.61,5001.22,5129.65,4865.32,,
India:,,
,
BSE Sensex Index,"19,610.48","19,545.78","19,568.22","19,519.49","19,429.23",,
Thailand:,,
,
FTSE SET Index,1539.26,1555.61,1522.66,1490.21,1516.24,,
Philippines:,,
,
Manila PSE Index,6763.38,6673.47,6557.89,6609.01,6701.95,,
World:,,
,
MSCI World,1489.58,1473.48,1450.95, 1491.8,1470.22,,
Comm Research Index,285.43,286.47,286.50,287.55,288.21,,
Moody's Comm Index,6080.56,6116.34,6143.78,6157.69,6137.57,,
LME Index,3192.0,3229.0,3236.7,3191.7,3153.4,,
,
Source: Thomson Reuters,
