Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-11-28T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,,
New York:,,
,
DJ Indust,"17,792.68","17,812.19","17,813.39",Closed,"17,798.49",,
DJ Opening,"17,823.61","17,770.90","17,820.81",–,"17,806.04",,
Day's High,"17,868.18","17,862.60","17,854.92",–,"17,830.36",,
Day's low,"17,751.53","17,683.51","17,801.83",–,"17,749.32",,
Nasdaq Comp,5102.48,5102.81,5116.14,–,5127.53,,
S&P 500 Index,2086.59,2089.14,2088.87,–,2090.11,,
Wilshire 5000,"21,673.95","21,719.71","21,741.87",–,"21,761.34",,
NYSE volume ('000),820952,863644,915899,–,n/a,,
NYSE rises,n/a,n/a,n/a,–,n/a,,
NYSE falls,n/a,n/a,n/a,–,n/a,,
Transport,8226.87,8174.91,8172.05,–,8215.42,,
NYSE Comp,"10,421.41","10,449.72","10,450.36",–,"10,450.53",,
NYSE AMEX Comp Idx,2245.88,2260.83,2266.55,–,2263.17,,
Canada:,,
,
DJ S&P TSX Index,"13,382.38","13,407.83","13,403.42","13,425.19","13,368.24",,
London:,,
,
FTSE 100 Index,6305.49,6277.23,6337.64,6393.13,6375.15,,
Europe:,,
,
EURO STOXX 50 Index,3445.26,3409.60,3462.06,3498.62,3488.99,,
Germany:,,
,
German Xetra Dax,"11,092.31","10,933.99","11,169.54","11,320.77","11,293.76",,
France:,,
,
CAC Index,4889.12,4820.28,4892.99,4946.02,4930.14,,
Switzerland:,,
,
Swiss Market Index,8924.41,8808.53,8934.48,8968.25,9002.96,,
Johannesburg:,,
,
FTSE JSE All Share Index,"52,195.98","51,817.84","51,914.55","52,229.92","51,637.28",,
JSE Africa Gold Index,871.56,892.70,882.60,899.68,883.70,,
Italy:,,
,
FTSE Italia All Share Index,"24,031.64","23,661.74","24,077.94","24,303.27","24,304.21",,
Spain:,,
,
IBEX 35,"10,277.4","10,207.2","10,227.3","10,332.3","10,310.7",,
New Zealand:,,
,
NZ Top 50 Capital,6077.62,6101.27,6069.14,6087.90,6101.02,,
NZ Top 10 Capital,1218.01,1221.93,1213.52,1221.95,1218.57,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"19,924.89","19,847.58","19,944.41","19,883.94",,
Nikkei high,–,"19,954.00","19,871.75","19,992.44","19,994.05",,
Nikkei low,–,"19,834.76","19,786.53","19,926.10","19,831.25",,
Nikkei 300 Index,–,323.40,321.21,322.97,321.41,,
Topix Index,–,1605.94,1594.67,1602.32,1594.45,,
Hong Kong:,,
,
Hang Seng Index,"22,665.90","22,587.63","22,498.00","22,488.94","22,068.32",,
China:,,
,
Shanghai A Index,3780.92,3786.96,3820.13,3807.22,3598.35,,
Korea:,,
,
Seoul KOSPI,2003.70,2016.29,2009.42,2030.68,2028.99,,
Taiwan:,,
,
TAIEX Index,8485.73,8400.14,8386.13,8484.90,8398.40,,
Singapore:,,
,
Straits Times Index,2903.49,2923.49,2891.58,2884.69,2859.12,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1670.90,1677.03,1684.42,1683.09,1682.59,,
Indonesia:,,
,
JSX Composite Index,4541.07,4545.38,4585.55,4597.06,4560.56,,
India:,,
,
BSE Sensex Index,"25,819.34","25,775.74",Closed,"25,958.63","26,128.20",,
Thailand:,,
,
FTSE SET Index,1394.22,1384.92,1381.46,1365.81,1363.13,,
Philippines:,,
,
Manila PSE Index,6996.19,6992.60,7059.14,7063.25,6927.07,,
World:,,
,
MSCI World,1697.30,1695.46,1697.83,1703.84,1700.29,,
Comm Research Index,183.94,185.78,186.22,Closed,183.76,,
Moody's Comm Index,4664.59,4705.13,Closed,n/a,n/a,,
LME Index,2097.4,2143.2,2137.9,2184.3,2140.5,,
,
Source: Thomson Reuters,
