Weekly Roundup - Overseas Indices,,,,,,
 XAO 4264.9 at 16:46 2/7/2010  Report at 19:05 Friday 2/7/2010!. Processed 18:33 Sunday 4/7/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,
NEW YORK:,,,,,,
"""DJ Indust         ","10,138.52",9870.3,9774.02,9732.53,9686.48,""""
"""DJ Opening    ","10,143.05","10,135.72",9868.34,9773.27,9732.23,""""
"""Day's High      ","10,201.93","10,135.80",9908.92,9795.48,9770.87,""""
"""Day's low         ","10,101.41",9811.92,9753.84,9621.89,9614.32,""""
Nasdaq Comp       ,2220.65,2135.18,2109.24,2101.36,2091.79,
S&P 500 Index     ,1074.57,1041.24,1030.71,1027.37,1022.58,
"""Wilshire 5000    ","11,223.21","10,857.32","10,750.01","10,711.72","10,654.14",""""
"""NYSE volume ('000)      ","92,525","1,603,589","1,430,494","1,596,540","1,102,456",""""
NYSE rises        ,1420,259,1108,1202,1209,
NYSE falls        ,1626,2831,1907,1839,1812,
Transport         ,4211.01,4041.49,4007.84,4022.3,3932.4,
NYSE Comp         ,6736.6,6520.09,6469.65,6462.03,6434.81,
AMEX Index        ,1858.6,1805.16,1795.63,1795.17,1798.57,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,607.00","11,263.83","11,294.42",Closed   ,"11,196.06",""""
LONDON:,,,,,,
FT 100 Index      ,5071.68,4914.22,4916.87,4805.75,4838.09,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2668.67,2556.34,2573.32,2518.65,2522.36,
GERMANY:,,,,,,
German Xetra Dax  ,6157.22,5952.03,5965.52,5857.43,5834.15,
FRANCE:,,,,,,
CAC Index         ,3576.45,3432.99,3442.89,3339.9,3348.37,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6311.15,6144.45,6128.06,5981.66,5974.3,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,289.72","26,698.70","26,258.82","26,009.53","26,314.56",""""
JSE Africa Gold Index        ,2604.33,2561.71,2571.21,2487.64,2486.03,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","20,664.05","19,793.71","19,869.40","19,489.44","19,628.47",""""
SPAIN:,,,,,,
IBEX 35  ,9688.5,9160.4,9263.4,9178.2,9250.8,
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3008.41,2991.07,2972.09,2933.82,2938.11,
NZ Top 10 Capital   ,796.2,792.7,788.09,778.77,780.21,
TOKYO:,,,,,,
Nikkei 225 Index  ,9693.94,9570.67,9382.64,9191.6,9203.71,
Nikkei high       ,9762.23,9760.02,9420.14,9297.45,9259.14,
Nikkei low        ,9679.17,9548.98,9347.07,9147.68,9160.47,
Nikkei 300 Index  ,173.95,172.24,170.05,167.44,167.89,
Topix Index       ,860.8,852.19,841.42,828.39,830.98,
Nikkei vol (mil)  ,n/a      ,1595,1862,1761,1589,
HONG KONG:,,,,,,
"""Hang Seng Index    ","20,726.68","20,248.90","20,128.99",Closed     ,"19,905.32",""""
 CHINA:,,,,,,
Shanghai A Index  ,2657.7,2544.36,2514.16,2488.3,2497.79,
KOREA:,,,,,,
Seoul KOSPI     ,1732.03,1707.76,1698.29,1686.24,1671.82,
TAIWAN:,,,,,,
TAIEX Index   ,7500.79,7423.57,7329.37,7254.06,7330.74,
SINGAPORE:,,,,,,
Straits Times Index  ,2869.99,2830.34,2835.51,2820.35,2844.19,
MALAYSIA:,,,,,,
KL Composite Index   ,1325.54,1319.84,1314.02,1308.76,1307.44,
INDONESIA:,,,,,,
JSX Composite Index      ,2955.73,2893.37,2913.68,2874.25,2871.55,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,774.26","17,534.09","17,700.90","17,509.33","17,460.95",""""
THAILAND:,,,,,,
Bangkok SET Index         ,804.4,799.09,797.31,Closed ,802.57,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3363.9,3372.71,Closed ,3315.26,3290.98,
WORLD:,,,,,,
MSCI World        ,1082.59,1048.09,1041.32,1036.08,1036.62,
Comm Research Index    ,263.35,256.1,258.34,256.04,254.31,
Moody's Comm Index   ,4836.22,4862.04,4770.42,4797.26,4819.47,
LME Index        ,3144.5,2970.2,3002.3,2917.2,2945.3,
