Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2013-05-28T17:30:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 20,May 21,May 22,May 23,May 24,,
New York:,,
,
DJ Indust,"15,335.28","15,387.58","15,307.17","15,294.50","15,303.10",,
DJ Opening,"15,348.33","15,334.97","15,387.12","15,300.57","15,290.74",,
Day's High,"15,391.84","15,434.50","15,542.40","15,348.41","15,306.71",,
Day's low,"15,314.15","15,325.68","15,265.96","15,180.23","15,199.63",,
Nasdaq Comp,3496.43,3502.12,3463.30,3459.42,3459.14,,
S&P 500 Index,1666.29,1669.16,1655.35,1650.51,1649.60,,
Wilshire 5000,"17,592.84","17,624.41","17,451.11","17,405.62","17,392.84",,
NYSE volume ('000),"65,187","68,530","85,284","85,139","58,960",,
NYSE rises,1708,1621,648,1240,1320,,
NYSE falls,1287,1365,2362,1738,1629,,
Transport,6510.99,6519.00,6416.26,6429.79,6395.70,,
NYSE Comp,9587.54,9598.27,9508.05,9466.31,9442.23,,
AMEX Index,2444.99,2435.34,2400.48,2407.49,2402.42,,
Canada:,,
,
DJ S&P TSX Index,Closed,"12,742.43","12,752.50","12,658.09","12,667.22",,
London:,,
,
FTSE 100 Index,6755.63,6803.87,6840.27,6696.79,6654.34,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2824.50,2821.65,2835.01,2776.78,2764.29,,
Germany:,,
,
German Xetra Dax,8455.83,8472.20,8530.89,8351.98,8305.32,,
France:,,
,
CAC Index,4022.85,4036.18,4051.11,3967.15,3956.79,,
Switzerland:,,
,
Swiss Market Index,Closed,8318.42,8407.61,8168.52,8168.78,,
Johannesburg:,,
,
FTSE JSE All Share Index,"41,079.55","41,815.36","41,836.02","40,855.89","40,998.58",,
JSE Africa Gold Index,1318.64,1340.29,1348.56,1362.92,1353.72,,
Italy:,,
,
FTSE Italia All Share Index,"18,563.15","18,471.93","18,592.17","18,052.32","17,931.91",,
Spain:,,
,
IBEX 35,8515.2,8464.5,8462.4,8343.6,8264.6,,
New Zealand:,,
,
NZ Top 50 Capital,4598.66,4590.84,4610.18,4588.59,4526.24,,
NZ Top 10 Capital,1081.81,1082.45,1090.02,1090.85,1076.00,,
Tokyo:,,
,
Nikkei 225 Index,"15,360.81","15,381.02","15,627.26","14,483.98","14,612.45",,
Nikkei high,"15,381.74","15,388.37","15,706.63","15,942.60","15,007.50",,
Nikkei low,"15,245.80","15,264.42","15,432.64","14,483.98","13,981.52",,
Nikkei 300 Index,258.29,258.28,259.66,242.36,242.96,,
Topix Index,1269.51,1270.39,1276.03,1188.34,1194.08,,
Hong Kong:,,
,
Hang Seng Index,"23,493.03","23,366.37","23,261.08","22,669.68","22,618.67",,
China:,,
,
Shanghai A Index,2407.36,2412.73,2409.89,2381.92,2395.36,,
Korea:,,
,
Seoul KOSPI,1982.43,1981.09,1993.83,1969.19,1973.45,,
Taiwan:,,
,
TAIEX Index,8377.05,8383.05,8398.84,8237.83,8209.78,,
Singapore:,,
,
Straits Times Index,3454.23,3443.90,3454.37,3393.17,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1777.15,1787.38,1783.88,1773.06,Closed,,
Indonesia:,,
,
JSX Composite Index,5214.98,5188.76,5208.00,5121.40,5155.09,,
India:,,
,
BSE Sensex Index,"20,223.98","20,111.61","20,062.24","19,674.33","19,704.33",,
Thailand:,,
,
FTSE SET Index,1643.40,1643.43,1631.27,1607.46,Closed,,
Philippines:,,
,
Manila PSE Index,7275.38,7327.58,7385.07,7314.38,7268.91,,
World:,,
,
MSCI World,1518.41,1520.64,1512.90,1493.44,1492.75,,
Comm Research Index,289.31,288.45,286.85,286.56,285.41,,
Moody's Comm Index,6083.20,6090.57,6124.32,6060.59,n/a,,
LME Index,3164.0,3155.1,3198.1,3130.9,3118.6,,
,
Source: Thomson Reuters,
