Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-04-18T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,,
New York:,,
,
DJ Indust,"17,977.04","18,036.70","18,112.61","18,105.77","17,826.30",,
DJ Opening,"18,052.32","17,979.11","18,045.71","18,106.27","18,102.56",,
Day's High,"18,107.57","18,075.60","18,160.52","18,169.26","18,102.56",,
Day's low,"17,974.81","17,905.48","18,045.71","18,063.86","17,748.53",,
Nasdaq Comp,4988.25,4977.29,5011.02,5007.79,4931.81,,
S&P 500 Index,2092.43,2095.84,2106.63,2104.99,2081.18,,
Wilshire 5000,"22,187.13","22,218.83","22,339.08","22,324.91","22,060.79",,
NYSE volume ('000),668444,689310,874803,752022,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8706.63,8697.79,8704.81,8708.36,8647.50,,
NYSE Comp,"11,056.76","11,108.07","11,171.06","11,169.75","11,058.45",,
AMEX Index,2453.17,2480.93,2500.92,2532.30,2517.25,,
Canada:,,
,
DJ S&P TSX Index,"15,383.59","15,389.28","15,450.87","15,386.77","15,360.55",,
London:,,
,
FTSE 100 Index,7064.30,7075.26,7096.78,7060.45,6994.63,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3828.78,3784.53,3803.55,3751.72,3674.05,,
Germany:,,
,
German Xetra Dax,"12,338.73","12,227.60","12,231.34","11,998.86","11,688.70",,
France:,,
,
CAC Index,5254.12,5218.06,5254.35,5224.49,5143.26,,
Switzerland:,,
,
Swiss Market Index,9430.25,9415.62,9428.55,9398.60,9245.92,,
Johannesburg:,,
,
FTSE JSE All Share Index,"53,589.31","53,311.46","53,720.57","54,262.27","53,734.04",,
JSE Africa Gold Index,1279.19,1306.18,1333.99,1335.11,1331.12,,
Italy:,,
,
FTSE Italia All Share Index,"25,683.96","25,403.22","25,683.21","25,235.09","24,625.12",,
Spain:,,
,
IBEX 35,"11,866.4","11,704.7","11,778.4","11,611.7","11,359.4",,
New Zealand:,,
,
NZ Top 50 Capital,5854.32,5882.11,5856.08,5881.76,5861.48,,
NZ Top 10 Capital,1220.15,1224.15,1214.66,1224.10,1217.91,,
Tokyo:,,
,
Nikkei 225 Index,"19,905.46","19,908.68","19,869.76","19,885.77","19,652.88",,
Nikkei high,"19,975.66","19,922.50","19,913.42","19,894.35","19,815.25",,
Nikkei low,"19,825.69","19,828.65","19,823.86","19,742.12","19,638.37",,
Nikkei 300 Index,322.70,323.40,323.16,325.21,323.39,,
Topix Index,1586.26,1590.82,1588.81,1599.42,1588.69,,
Hong Kong:,,
,
Hang Seng Index,"28,016.34","27,561.49","27,618.82","27,739.71","27,653.12",,
China:,,
,
Shanghai A Index,4318.56,4332.72,4278.58,4394.65,4492.08,,
Korea:,,
,
Seoul KOSPI,2098.92,2111.72,2119.96,2139.90,2143.50,,
Taiwan:,,
,
TAIEX Index,9666.52,9642.22,9540.06,9656.87,9570.93,,
Singapore:,,
,
Straits Times Index,3484.39,3521.08,3539.95,3531.61,3525.19,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1842.08,1839.61,1840.13,1847.94,1845.86,,
Indonesia:,,
,
JSX Composite Index,5447.41,5419.11,5414.55,5420.73,5410.64,,
India:,,
,
BSE Sensex Index,"29,044.44",,"28,799.69","28,666.04","28,442.10",,
Thailand:,,
,
FTSE SET Index,Closed,Closed,Closed,1570.00,1566.85,,
Philippines:,,
,
Manila PSE Index,8073.25,8056.49,7906.46,7948.20,7946.89,,
World:,,
,
MSCI World,1772.08,1779.85,1783.79,1786.58,1769.01,,
Comm Research Index,217.37,219.59,224.15,226.29,224.51,,
Moody's Comm Index,5313.25,5311.95,5303.19,5341.05,5341.05,,
LME Index,2750.0,2748.7,2759.3,2790.8,2780.9,,
,
Source: Thomson Reuters,
