Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-12-06T13:45:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 1,Dec 2,Dec 3,Dec 4,Dec 5,,
New York:,,
,
DJ Indust,"17,776.80","17,879.55","17,912.62","17,900.10","17,958.79",,
DJ Opening,"17,827.27","17,778.85","17,880.90","17,910.02","17,903.05",,
Day's High,"17,827.27","17,897.05","17,924.15","17,937.96","17,991.19",,
Day's low,"17,726.55","17,778.85","17,855.59","17,814.81","17,903.05",,
Nasdaq Comp,4727.35,4755.81,4774.47,4769.44,4780.76,,
S&P 500 Index,2053.44,2066.55,2074.33,2071.92,2075.37,,
Wilshire 5000,"21,522.97","21,665.19","21,765.08","21,733.20","21,775.24",,
NYSE volume ('000),875664,811946,775074,798182,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8948.96,9059.13,9130.76,9119.22,9152.00,,
NYSE Comp,"10,888.37","10,940.12","10,987.41","10,952.30","10,970.29",,
AMEX Index,2543.04,2557.65,2588.72,2578.19,2564.63,,
Canada:,,
,
DJ S&P TSX Index,"14,625.32","14,620.07","14,754.06","14,469.95","14,473.70",,
London:,,
,
FTSE 100 Index,6656.37,6742.10,6716.63,6679.37,6742.84,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3232.91,3238.35,3247.72,3191.25,3277.38,,
Germany:,,
,
German Xetra Dax,9963.51,9934.08,9971.79,9851.35,"10,087.12",,
France:,,
,
CAC Index,4377.33,4388.30,4391.86,4323.89,4419.48,,
Switzerland:,,
,
Swiss Market Index,9146.18,9138.56,9168.37,9118.17,9212.85,,
Johannesburg:,,
,
FTSE JSE All Share Index,"48,858.76","49,591.43","49,857.18","49,392.59","49,506.59",,
JSE Africa Gold Index,1046.37,1063.17,1092.10,1091.94,1064.94,,
Italy:,,
,
FTSE Italia All Share Index,"20,784.07","20,876.57","21,086.02","20,552.39","21,199.43",,
Spain:,,
,
IBEX 35,"10,672.8","10,749.2","10,875.9","10,619.9","10,900.7",,
New Zealand:,,
,
NZ Top 50 Capital,5429.62,5430.04,5503.07,5522.68,5521.91,,
NZ Top 10 Capital,1155.73,1145.58,1160.33,1165.50,1169.29,,
Tokyo:,,
,
Nikkei 225 Index,"17,590.10","17,663.22","17,720.43","17,887.21","17,920.45",,
Nikkei high,"17,649.02","17,687.70","17,881.76","17,912.59","17,922.29",,
Nikkei low,"17,474.27","17,476.42","17,696.36","17,813.01","17,759.36",,
Nikkei 300 Index,287.45,288.67,289.13,291.22,292.20,,
Topix Index,1421.65,1427.85,1429.75,1440.60,1445.67,,
Hong Kong:,,
,
Hang Seng Index,"23,367.45","23,654.30","23,428.62","23,832.56","24,002.64",,
China:,,
,
Shanghai A Index,2806.94,2894.50,2911.24,3037.19,3077.51,,
Korea:,,
,
Seoul KOSPI,1965.22,1965.83,1969.91,1986.61,1986.62,,
Taiwan:,,
,
TAIEX Index,9117.71,9034.79,9175.26,9225.11,9206.57,,
Singapore:,,
,
Straits Times Index,3305.64,3322.32,3303.39,3304.82,3324.39,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1778.27,1785.97,1758.15,1745.69,1749.37,,
Indonesia:,,
,
JSX Composite Index,5164.29,5175.79,5166.04,5177.16,5187.99,,
India:,,
,
BSE Sensex Index,"28,559.62","28,444.01","28,442.71","28,562.82","28,458.10",,
Thailand:,,
,
FTSE SET Index,1593.82,1594.00,1594.58,1597.76,Closed,,
Philippines:,,
,
Manila PSE Index,7331.73,7344.23,7360.75,7299.85,7230.56,,
World:,,
,
MSCI World,1729.89,1735.99,1739.73,1736.63,1738.52,,
Comm Research Index,259.41,253.95,253.66,253.70,252.95,,
Moody's Comm Index,5669.15,5654.49,5639.30,5669.77,5669.77,,
LME Index,3060.1,3028.7,3022.2,3063.8,3063.8,,
,
Source: Thomson Reuters,
