Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-04-22T16:30:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,,
New York:,,
,
DJ Indust,"12,921.41","13,115.54","13,032.75","12,964.10","13,029.26",,
DJ Opening,"12,850.88","12,921.79","13,114.56","13,028.73","12,964.48",,
Day's High,"12,986.77","13,131.36","13,114.56","13,080.20","13,082.54",,
Day's low,"12,850.80","12,921.79","13,027.49","12,896.82","12,964.25",,
Nasdaq Comp,2988.40,3042.82,3031.45,3007.56,3000.45,,
S&P 500 Index,1369.57,1390.78,1385.14,1376.92,1378.53,,
Wilshire 5000,"14,303.18","14,525.76","14,504.29","14,525.96","14,515.24",,
NYSE volume ('000),"73,422","70,820","71,984","82,174","96,448",,
NYSE rises,1705,2310,983,1225,1980,,
NYSE falls,1290,685,1984,1744,1012,,
Transport,5234.65,5310.13,5303.61,5228.72,5234.25,,
NYSE Comp,7949.57,8064.08,8030.37,7995.92,8025.53,,
AMEX Index,2358.76,2387.55,2396.11,2401.23,2417.48,,
Canada:,,
,
DJ S&P TSX Index,"12,037.59","12,136.94","12,128.89","12,153.69","12,147.28",,
London:,,
,
FTSE 100 Index,5666.28,5766.95,5745.29,5744.55,5772.15,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2301.19,2367.05,2327.84,2284.67,2311.27,,
Germany:,,
,
German Xetra Dax,6625.19,6801.00,6732.03,6671.22,6750.12,,
France:,,
,
CAC Index,3205.28,3292.51,3240.29,3174.02,3188.58,,
Switzerland:,,
,
Swiss Market Index,6124.91,6200.27,6173.35,6203.78,6237.79,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,661.21","33,777.97","34,050.24","34,106.92","34,216.55",,
JSE Africa Gold Index,2292.23,2255.16,2237.15,2236.59,2202.42,,
Italy:,,
,
FTSE Italia All Share Index,"15,414.87","15,959.16","15,610.45","15,306.40","15,428.76",,
Spain:,,
,
IBEX 35,7209.1,7373.3,7079.2,6908.1,7040.6,,
New Zealand:,,
,
NZ Top 50 Capital,3473.50,3480.54,3522.76,3525.19,3516.23,,
NZ Top 10 Capital,881.40,881.66,895.91,894.09,890.25,,
Tokyo:,,
,
Nikkei 225 Index,9470.64,9464.71,9667.26,9588.38,9561.36,,
Nikkei high,9532.91,9519.80,9682.88,9617.93,9580.87,,
Nikkei low,9464.49,9455.32,9594.30,9565.83,9532.68,,
Nikkei 300 Index,162.23,162.01,165.26,164.35,163.75,,
Topix Index,803.83,803.09,819.27,814.13,811.94,,
Nikkei vol (mil),1521,1541,1675,1629,1529,,
Hong Kong:,,
,
Hang Seng Index,"20,610.64","20,562.31","20,780.73","20,995.01","21,010.64",,
China:,,
,
Shanghai A Index,2468.76,2445.70,2493.78,2491.47,2521.11,,
Korea:,,
,
Seoul KOSPI,1992.63,1985.30,2004.53,1999.86,1974.65,,
Taiwan:,,
,
TAIEX Index,7729.86,7585.87,7605.00,7622.69,7507.15,,
Singapore:,,
,
Straits Times Index,2992.12,2986.59,3000.58,3008.21,2994.48,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1597.51,1596.19,1598.86,1596.62,1591.85,,
Indonesia:,,
,
JSX Composite Index,4146.58,4157.37,4166.24,4163.72,4181.37,,
India:,,
,
BSE Sensex Index,"17,150.95","17,357.94","17,392.39","17,503.71","17,373.84",,
Thailand:,,
,
FTSE SET Index,Closed,1160.23,1168.05,1185.34,1194.60,,
Philippines:,,
,
Manila PSE Index,5117.46,5157.28,5186.20,5173.28,5156.46,,
World:,,
,
MSCI World,1266.94,1287.09,1283.87,1277.72,1281.71,,
Comm Research Index,301.02,302.30,299.41,299.55,301.45,,
Moody's Comm Index,6284.34,6202.94,6206.12,6184.99,6202.69,,
LME Index,3436.6,3463.6,3447.4,3457.6,3506.0,,
,
Source: Thomson Reuters,
