Weekly Roundup - Overseas Indices,,,,,,
XAO 4643.0 at 16:36 14/5/2010  Report at 19:07 Friday 14/5/2010! . Processed 16:02 Sunday 16/5/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,10-May,11-May,12-May,13-May,14-May,
NEW YORK:,,,,,,
"""DJ Indust         ","10,785.14","10,748.26","10,896.91","10,782.95","10,620.16",""""
"""DJ Opening    ","10,386.18","10,780.00","10,742.15","10,896.61","10,780.68",""""
"""Day's High      ","10,835.17","10,874.54","10,909.08","10,920.27","10,780.75",""""
"""Day's low         ","10,386.03","10,685.38","10,742.15","10,771.69","10,537.25",""""
Nasdaq Comp       ,2374.67,2375.31,2425.02,2394.36,2346.85,
S&P 500 Index     ,1159.73,1155.79,1171.67,1157.44,1135.68,
"""Wilshire 5000    ","12,085.55","12,059.95","12,252.40","12,114.82","11,876.34",""""
"""NYSE volume ('000)      ","1,855,741","1,456,669","1,273,870","1,203,951","1,522,015",""""
NYSE rises        ,2988,1706,2661,1089,375,
NYSE falls        ,157,1355,437,1972,2711,
Transport         ,4535.83,4561.05,4657.86,4573.77,4487.73,
NYSE Comp         ,7257.62,7221.66,7316.36,7234.37,7077.84,
AMEX Index        ,1866.22,1881.25,1901.18,1884.92,1848.7,
CANADA:,,,,,,
"""DJ S&P TSX Index     ",11.947.90  ,"12,000.61","12,195.97","12,116.59","12,014.97",""""
LONDON:,,,,,,
FT 100 Index      ,5387.42,5334.21,5383.45,5433.73,5262.85,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2758.89,2730.48,2764.31,2764.05,2633.92,
GERMANY:,,,,,,
German Xetra Dax  ,6017.91,6037.71,6183.49,6251.97,6056.71,
FRANCE:,,,,,,
CAC Index         ,3720.29,3693.2,3733.87,3731.54,3560.36,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6481.95,6509,6575.05,closed ,6428.68,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,661.61","27,513.98","28,178.23","28,041.85","27,342.35",""""
JSE Africa Gold Index        ,2387.03,2511.5,2557.22,2539.4,2494.75,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","21,547.32","21,445.97","21,626.38","21,483.73","20,398.04",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,351.90","10,008.60","10,089.80",9977.5,9314.7,""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3170.62,3167.02,3156.08,3195.8,3191.01,
NZ Top 10 Capital   ,836.2,832.96,832.04,841.35,842.46,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,530.70","10,411.10","10,394.03","10,620.55","10,462.51",""""
"""Nikkei high       ","10,540.52","10,643.28","10,501.72","10,638.23","10,551.69",""""
"""Nikkei low        ","10,362.34","10,392.47","10,345.19","10,535.94","10,390.77",""""
Nikkei 300 Index  ,190.99,188.34,188.62,191.57,189.08,
Topix Index       ,944.64,932.1,932.83,947.9,936.45,
Nikkei vol (mil)  ,2442,2714,2580,2274,2570,
HONG KONG:,,,,,,
"""Hang Seng Index    ","20,426.64","20,146.51","20,212.49","20,422.46","20,145.43",""""
CHINA:,,,,,,
Shanghai A Index  ,2829.79,2775.98,2784.82,2842.16,2827.48,
KOREA:,,,,,,
Seoul KOSPI     ,1677.63,1670.24,1663.03,1694.58,1695.63,
INDIA:,,,,,,
"""BSE Sensex Index   ","17,330.55","17,141.53","17,195.81","17,265.87","16,994.60",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2880.48,2857.67,2880.33,2867.92,2855.21,
MALAYSIA:,,,,,,
KL Composite Index   ,1333.97,1340.72,1344.1,1346.92,1339.3,
INDONESIA:,,,,,,
JSX Composite Index      ,2850.43,2812.89,2847.62,closed ,2858.38,
THAILAND:,,,,,,
Bangkok SET Index         ,779.06,772.09,773.72,766.55,768.79,
PHILIPPINES:,,,,,,
Manila PSE Index         ,Closed  ,3262.93,3269.41,3327.69,3330.42,
TAIWAN:,,,,,,
TAIEX Index   ,7664.73,7608.44,7602.7,7770.57,7772.13,
WORLD:,,,,,,
MSCI World        ,1154,1148.6,1154.2,1158.3,1123.8,
Comm Research Index    ,265.44,264.95,266.82,265.78,258.55,
Moody's Comm Index   ,4805.09,4860.96,4829.77,4879.31,4878.87,
LME Index        ,3317.1,3265.6,3268.8,3338.9,3217.5,
