Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-15T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,,
New York:,,
,
DJ Indust,"17,613.74","17,614.90","17,612.20","17,652.79","17,634.74",,
DJ Opening,"17,568.98","17,615.64","17,604.75","17,618.69","17,653.11",,
Day's High,"17,621.87","17,638.21","17,626.71","17,705.48","17,664.15",,
Day's low,"17,547.51","17,584.94","17,536.17","17,583.88","17,613.20",,
Nasdaq Comp,4651.62,4660.56,4675.14,4680.14,4688.54,,
S&P 500 Index,2038.26,2039.68,2038.25,2039.33,2039.82,,
Wilshire 5000,"21,447.21","21,462.67","21,468.12","21,456.02","21,467.77",,
NYSE volume ('000),715888,614103,717614,706892,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,9068.48,9060.89,9091.55,9073.24,9061.53,,
NYSE Comp,"10,892.56","10,907.53","10,884.03","10,868.92","10,880.63",,
AMEX Index,2583.83,2596.93,2588.98,2583.23,2584.26,,
Canada:,,
,
DJ S&P TSX Index,"14,709.80","14,760.27","14,856.20","14,778.77","14,843.10",,
London:,,
,
FTSE 100 Index,6611.25,6627.40,6611.04,6635.45,6654.37,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3094.60,3104.59,3047.30,3056.80,3059.99,,
Germany:,,
,
German Xetra Dax,9351.87,9369.03,9210.96,9248.51,9252.94,,
France:,,
,
CAC Index,4222.82,4244.10,4179.88,4187.95,4202.46,,
Switzerland:,,
,
Swiss Market Index,8867.53,8896.15,8867.78,8954.40,8915.31,,
Johannesburg:,,
,
FTSE JSE All Share Index,"50,484.09","50,355.38","50,374.85","50,588.40","50,598.02",,
JSE Africa Gold Index,1032.95,1016.12,1028.15,1012.47,992.37,,
Italy:,,
,
FTSE Italia All Share Index,"20,306.94","20,302.58","19,755.91","19,833.20","20,019.25",,
Spain:,,
,
IBEX 35,"10,273.0","10,338.8","10,157.3","10,140.4","10,148.0",,
New Zealand:,,
,
NZ Top 50 Capital,5470.34,5490.79,5487.89,5462.74,5484.00,,
NZ Top 10 Capital,1174.47,1180.44,1176.93,1171.77,1177.32,,
Tokyo:,,
,
Nikkei 225 Index,"16,780.53","17,124.11","17,197.05","17,392.79","17,490.83",,
Nikkei high,"16,818.05","17,160.12","17,443.74","17,400.77","17,520.54",,
Nikkei low,"16,713.37","16,855.30","17,170.00","17,099.95","17,300.19",,
Nikkei 300 Index,274.77,278.25,278.94,281.55,283.54,,
Topix Index,1360.11,1375.21,1377.05,1389.51,1400.41,,
Hong Kong:,,
,
Hang Seng Index,"23,744.70","23,808.28","23,938.18","24,019.94","24,087.38",,
China:,,
,
Shanghai A Index,2590.33,2586.22,2612.18,2602.90,2595.80,,
Korea:,,
,
Seoul KOSPI,1958.23,1963.00,1967.27,1960.51,1945.14,,
Taiwan:,,
,
TAIEX Index,9049.98,9034.14,8918.95,8980.67,8982.88,,
Singapore:,,
,
Straits Times Index,3301.00,3292.15,3283.71,3304.93,3315.67,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1827.93,1825.11,1816.24,1815.81,1813.79,,
Indonesia:,,
,
JSX Composite Index,4965.39,5032.28,5048.84,5048.67,5049.49,,
India:,,
,
BSE Sensex Index,"27,874.73","27,910.06","28,008.90","27,940.64","28,046.66",,
Thailand:,,
,
FTSE SET Index,1567.34,1571.20,1562.03,1577.21,1575.88,,
Philippines:,,
,
Manila PSE Index,7192.12,7204.55,7232.87,7198.63,7217.34,,
World:,,
,
MSCI World,1714.60,1716.83,1715.03,1716.24,1717.20,,
Comm Research Index,268.48,270.81,269.59,265.20,267.44,,
Moody's Comm Index,5601.43,Closed,5639.40,5655.34,5655.34,,
LME Index,3098.0,3117.3,3124.4,3094.8,3103.9,,
,
Source: Thomson Reuters,
