Weekly Roundup - Overseas Indices,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:05 Friday 4/12/2009 . Processed 14:59 Sunday 6/12/2009.,,,,,,



,,,,,,
,30-Nov,1-Dec,2-Dec,3-Dec,4-Dec,
NEW YORK:,,,,,,
"""DJ Indust         ","10,344.84","10,471.58","10,452.68","10,366.15","10,388.90",""""
"""DJ Opening    ","10,309.77","10,343.82","10,470.44","10,455.63","10,368.57",""""
"""Day's High      ","10,364.34","10,501.28","10,513.52","10,507.63","10,516.70",""""
"""Day's low         ","10,263.29","10,343.44","10,421.47","10,350.05","10,311.81",""""
Nasdaq Comp       ,2144.6,2175.81,2185.03,2173.14,2194.35,
S&P 500 Index     ,1095.63,1108.86,1109.24,1099.92,1105.98,
"""NYSE volume ('000)      ","1,348,131","1,131,907","1,031,924","1,132,946","1,573,754",""""
NYSE rises        ,1753,2431,1973,1068,2168,
NYSE falls        ,1278,615,1032,1947,864,
Transport         ,3937.89,3996.76,4037.69,4014.54,4101.76,
NYSE Comp         ,7092.36,7212.08,7222.42,7157.05,7182.71,
AMEX Index        ,1762.46,1806.1,1806.68,1787.38,1792.48,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,447.20","11,707.32","11,779.73","11,636.55","11,510.80",""""
LONDON:,,,,,,
FT 100 Index      ,5190.68,5312.17,5327.39,5313,5322.36,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2797.25,2871.75,2877.94,2876.14,2910.33,
GERMANY:,,,,,,
German Xetra Dax  ,5625.95,5776.61,5781.68,5770.35,5817.65,
FRANCE:,,,,,,
CAC Index         ,3680.15,3775.74,3795.92,3799.11,3846.62,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6260.95,6372.08,6386.54,6444.08,6501.16,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,894.74","27,277.50","27,429.76","27,314.09","27,390.31",""""
JSE Africa Gold Index        ,2587.01,2709.64,2744.09,2714.35,2633.24,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","22,374.26","22,995.84","23,008.51","23,045.40","23,333.50",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,644.70","11,862.10","11,868.80","11,905.30","12,032.20",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3125.52,3146.6,3149.45,3153.93,3146.46,
NZ Top 10 Capital   ,847.02,852.21,851.39,851.67,847.11,
TOKYO:,,,,,,
"""Nikkei 225 Index  ",9345.55,9572.2,9608.94,9977.67,"10,022.59",""""
"""Nikkei high       ",9353.74,9572.2,9643.32,9977.67,"10,022.59",""""
Nikkei low        ,9162.18,9233.2,9514.15,9707.02,9902.83,
Nikkei 300 Index  ,170.04,173.42,173.84,179.9,180.39,
Topix Index       ,839.94,857.76,858.74,888.04,889.58,
Nikkei vol (mil)  ,2.468,2.743,2.164,2.487,2.318,
HONG KONG:,,,,,,
"""Hang Seng Index    ","21,821.50","22,113.15","22,289.57","22,553.87","22,498.15",""""
 CHINA:,,,,,,
Shanghai A Index  ,3351.49,3393.4,3429.51,3423.99,3479.31,
KOREA:,,,,,,
Seoul KOSPI     ,1555.6,1569.72,1591.63,1615,1624.76,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,926.22","17,198.27","17,169.91","17,185.68","17,101.54",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2732.12,2770.95,2796.34,2808.18,2791.01,
MALAYSIA:,,,,,,
KL Composite Index   ,1259.11,1266.71,1271.15,1272.35,1270.2,
INDONESIA:,,,,,,
JSX Composite Index      ,2415.84,2452.5,2471.56,2500.04,2511.55,
THAILAND:,,,,,,
Bangkok SET Index         ,689.07,710.01,693.51,706.84,701.58
PHILIPPINES:,,,,,
Manila PSE Index         ,closed  ,3097.92,3119.96,3090.91,3061.99
TAIWAN:,,,,,
TAIEX Index   ,7582.21,7649.23,7677.62,7684.67,7650.91
WORLD:,,,,,
MSCI World        ,1145.5,1171.3,1174.1,1170.6,1167
Comm Research Index    ,277.4,279.34,276.8,276.55,273.87
Moody's Comm Index   ,4433.67,4456.16,4512.79,4534.32,4547
LME Index        ,3159,3220.1,3258.1,3226.1,3214
