Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-10-24T16:47:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,,
New York:,,
,
DJ Indust,"11,143.69","10,978.62","11,107.97","11,146.57","11,132.56",,
DJ Opening,"11,062.63","11,139.60","10,974.52","11,105.24","11,146.41",,
Day's High,"11,159.05","11,139.60","11,152.88","11,213.54","11,159.05",,
Day's low,"11,054.76","10,917.62","10,970.89","11,066.19","11,109.25",,
Nasdaq Comp,2480.66,2436.95,2457.39,2459.67,2479.39,,
S&P 500 Index,1184.71,1165.90,1178.17,1180.26,1183.08,,
Wilshire 5000,"12,412.56","12,258.63","12,337.27","12,349.95","12,391.46",,
NYSE volume ('000),"99,506","1,271,959","1,102,926","1,054,184","77,216",,
NYSE rises,1995,520,2283,1450,1758,,
NYSE falls,1021,2484,716,1507,1172,,
Transport,4713.00,4647.28,4749.38,4735.57,4754.97,,
NYSE Comp,7571.10,7423.65,7523.81,7515.67,7522.91,,
AMEX Index,2105.99,2060.87,2086.47,2070.34,2063.16,,
Canada:,,
,
DJ S&P TSX Index,"12,668.01","12,570.55","12,649.92","12,599.23","12,601.18",,
London:,,
,
FTSE 100 Index,5742.52,5703.89,5728.93,5757.86,5741.37,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2850.72,2837.33,2851.52,2882.29,2873.74,,
Germany:,,
,
German Xetra Dax,6516.63,6490.69,6524.55,6611.01,6605.84,,
France:,,
,
CAC Index,3834.50,3807.17,3828.15,3878.27,3868.54,,
Switzerland:,,
,
Swiss Market Index,6470.26,6471.96,6477.20,6512.19,6477.13,,
Johannesburg:,,
,
FTSE JSE All Share Index,"30,177.05","30,003.08","30,080.50","30,439.46","30,118.16",,
JSE Africa Gold Index,2553.79,2513.27,2526.46,2513.17,2496.17,,
Italy:,,
,
FTSE Italia All Share Index,"21,835.90","21,797.60","21,975.02","22,165.78","22,086.06",,
Spain:,,
,
IBEX 35,"10,897.7","10,895.3","10,896.9","10,892.3","10,924.8",,
New Zealand:,,
,
NZ Top 50 Capital,3262.35,3257.94,3243.01,3264.92,3289.75,,
NZ Top 10 Capital,839.13,838.67,833.63,839.23,848.26,,
Tokyo:,,
,
Nikkei 225 Index,9498.49,9539.45,9381.60,9376.48,9426.71,,
Nikkei high,9564.85,9575.14,9402.05,9479.25,9457.62,,
Nikkei low,9471.48,9489.68,9316.97,9326.78,9390.14,,
Nikkei 300 Index,169.65,170.30,168.20,167.61,168.50,,
Topix Index,830.52,833.73,823.69,820.40,824.88,,
Nikkei vol (mil),1475,1628,1879,1778,1494,,
Hong Kong:,,
,
Hang Seng Index,"23,469.38","23,763.73","23,556.50","23,649.48","23,517.54",,
China:,,
,
Shanghai A Index,3097.02,3145.84,3147.94,3126.34,3117.20,,
Korea:,,
,
Seoul KOSPI,1875.42,1857.32,1870.44,1874.69,1897.31,,
Taiwan:,,
,
TAIEX Index,8060.54,8046.23,8124.62,8131.23,8168.06,,
Singapore:,,
,
Straits Times Index,3181.27,3192.29,3179.15,3163.53,3173.57,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1480.70,1488.65,1486.78,1491.02,1490.64,,
Indonesia:,,
,
JSX Composite Index,3566.92,3592.79,3578.95,3588.01,3597.75,,
India:,,
,
BSE Sensex Index,"20,168.89","19,983.13","19,872.15","20,260.58","20,165.86",,
Thailand:,,
,
FTSE SET Index,984.03,989.27,988.11,988.80,992.24,,
Philippines:,,
,
Manila PSE Index,4215.11,4191.25,4191.96,4245.61,4286.87,,
World:,,
,
MSCI World,1227.86,,1221.86,1224.92,1222.96,,
Comm Research Index,298.67,292.92,298.94,295.49,297.17,,
Moody's Comm Index,5907.56,5910.26,5876.99,5921.99,5973.44,,
LME Index,3872.1,3791.5,3836.3,3821.8,3835.5,,
,
Source: Thomson Reuters,
