Weekly Roundup - Overseas Indices,,,,,,
XAO 4925.9 at 16:34 30/4/2010  Report at 19:08 Friday 30/4/2010 . Processed 19:45 Sunday 2/5/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,
NEW YORK:,,,,,,
"""DJ Indust         ","11,205.03","10,991.99","11,045.27","11,167.32","11,008.61",""""
"""DJ Opening    ","11,205.11","11,203.67","10,988.87","11,045.64","11,168.23",""""
"""Day's High      ","11,258.01","11,218.86","11,078.52","11,197.32","11,197.93",""""
"""Day's low         ","11,187.65","10,973.17","10,965.38","11,041.64","10,999.69",""""
Nasdaq Comp       ,2522.95,2471.47,2471.73,2511.92,2461.19,
S&P 500 Index     ,1212.05,1183.71,1191.36,1206.78,1186.69,
"""Wilshire 5000    ","12,692.97","12,391.63","12,458.02","12,632.32","12,408.92",""""
"""NYSE volume ('000)      ","1,222,259","1,679,374","1,443,588","1,412,815","1,578,405",""""
NYSE rises        ,1429,492,1809,2305,768,
NYSE falls        ,1616,2595,1222,744,2294,
Transport         ,4756.35,4637.6,4657.75,4762.71,4670.92,
NYSE Comp         ,7677.65,7463.09,7499.72,7589.29,7474.4,
AMEX Index        ,1987.68,1843.1,1939.59,1956.02,1927.66,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","12,280.97","12,146.74","12,076.89","12,200.32","12,210.70",""""
LONDON:,,,,,,
FT 100 Index      ,5753.85,5603.52,5586.61,5617.84,5553.29,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2947.04,2838.78,2788.54,2828.12,2816.86,
GERMANY:,,,,,,
German Xetra Dax  ,6332.1,6159.51,6084.34,6144.91,6135.7,
FRANCE:,,,,,,
CAC Index         ,3997.39,3844.6,3787,3840.62,3816.99,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6803.74,6667.47,6576.39,6665.84,6616.82,
JOHANNESBURG:,,,,,,
"""All Share Index   ","29,309.47",closed   ,"28,524.78","28,716.27","28,635.76",""""
JSE Africa Gold Index        ,2321.12,       ,2349.46,2382.27,2409.7,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,325.13","22,602.40","22,079.98","22,300.53","22,182.84",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,939.30","10,480.90","10,167.00","10,441.00","10,492.20",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,Closed  ,3291.91,3280.56,3282.27,3286.13,
NZ Top 10 Capital   ,       ,865.25,863.62,863.74,865.3,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","11,165.79","11,212.66","10,924.79",closed   ,"11,057.40",""""
"""Nikkei high       ","11,165.79","11,213.45","11,008.88",         ,"11,092.52",""""
"""Nikkei low        ","11,035.66","11,108.72","10,882.40",        ,"11,035.27",""""
Nikkei 300 Index  ,201.65,201.96,197.73,       ,199.64,
Topix Index       ,996.71,997.63,977.64,       ,987.04,
Nikkei vol (mil)  ,1977,2202,2478,       ,2234,
HONG KONG:,,,,,,
"""Hang Seng Index    ","21,587.06","21,261.79","20,949.40","20,778.92","21,108.59",""""
 CHINA:,,,,,,
Shanghai A Index  ,3112.77,3048.28,3040.46,3007.19,3009.37,
KOREA:,,,,,,
Seoul KOSPI     ,1752.2,1749.55,1733.91,1728.42,1741.56,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,745.28","17,690.62","17,380.08","17,503.47","17,558.71",""""
SINGAPORE:,,,,,,
Straits Times Index  ,3002.62,2991.68,2932.04,2959.01,2974.61,
MALAYSIA:,,,,,,
KL Composite Index   ,1340.07,1339.72,1333.17,1335.86,1346.38,
INDONESIA:,,,,,,
JSX Composite Index      ,2944.71,2939.3,2903.32,2926.86,2971.25,
THAILAND:,,,,,,
Bangkok SET Index         ,764.34,762,749.49,753.2,763.51,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3292.59,3307.71,3284.78,3297,3290.09,
TAIWAN:,,,,,,
TAIEX Index   ,8158.14,8146.44,8081.55,8054.05,8004.25,
WORLD:,,,,,,
MSCI World        ,1228.6,1202.5,1194.2,1208.3,1207.4,
Comm Research Index    ,278.38,273.18,274.51,275.29,277.71,
Moody's Comm Index   ,5025.62,5044,4986.03,4943.42,4973.35,
LME Index        ,3672.8,3502.2,3477.1,3459.2,3512.5,
