Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-06-27T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,,
New York:,,
,
DJ Indust,"18,119.78","18,144.07","17,966.07","17,890.36","17,946.68",,
DJ Opening,"18,027.63","18,121.78","18,139.10","17,977.11","17,892.03",,
Day's High,"18,181.67","18,188.81","18,139.10","18,036.10","18,013.15",,
Day's low,"18,027.63","18,108.10","17,966.07","17,890.36","17,892.03",,
Nasdaq Comp,5153.97,5160.10,5122.41,5112.19,5080.51,,
S&P 500 Index,2122.85,2124.20,2108.58,2102.31,2101.49,,
Wilshire 5000,"22,473.25","22,498.58","22,324.82","22,258.18","22,245.42",,
NYSE volume ('000),1879201,713235,689101,740021,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8480.43,8467.88,8310.01,8239.58,8242.47,,
NYSE Comp,"11,129.61","11,149.36","11,066.14","11,035.73","11,040.31",,
AMEX Index,2437.33,2443.30,2438.06,2425.82,2423.29,,
Canada:,,
,
DJ S&P TSX Index,"14,790.48","14,904.91","14,947.51","14,897.50","14,808.09",,
London:,,
,
FTSE 100 Index,6825.67,6834.87,6844.80,6807.82,6753.70,,
Europe:,,
,
EURO STOXX 50 Index,3596.07,3625.97,3610.95,3610.91,3621.37,,
Germany:,,
,
German Xetra Dax,"11,460.50","11,542.54","11,471.26","11,473.13","11,492.43",,
France:,,
,
CAC Index,4998.61,5057.68,5045.35,5041.71,5059.17,,
Switzerland:,,
,
Swiss Market Index,9021.37,9137.33,9081.81,9045.32,9007.50,,
Johannesburg:,,
,
FTSE JSE All Share Index,"52,189.32","52,592.00","52,783.85","52,856.39","52,669.75",,
JSE Africa Gold Index,1010.51,1013.36,1004.64,1012.91,1030.25,,
Italy:,,
,
FTSE Italia All Share Index,"25,004.53","25,114.46","24,984.83","25,175.19","25,339.18",,
Spain:,,
,
IBEX 35,"11,368.2","11,402.5","11,321.9","11,308.4","11,372.3",,
New Zealand:,,
,
NZ Top 50 Capital,5772.05,5772.14,5775.49,5733.29,5755.44,,
NZ Top 10 Capital,1194.25,1191.63,1192.73,1181.60,1187.20,,
Tokyo:,,
,
Nikkei 225 Index,"20,428.19","20,809.42","20,868.03","20,771.40","20,706.15",,
Nikkei high,"20,433.30","20,809.42","20,952.71","20,866.58","20,785.76",,
Nikkei low,"20,174.14","20,531.13","20,838.22","20,758.60","20,650.00",,
Nikkei 300 Index,334.02,339.87,340.64,339.10,338.15,,
Topix Index,1648.61,1676.40,1679.89,1670.91,1667.03,,
Hong Kong:,,
,
Hang Seng Index,"27,080.85","27,333.46","27,404.97","27,145.75","26,663.87",,
China:,,
,
Shanghai A Index,Closed,4792.86,4912.22,4742.38,4391.91,,
Korea:,,
,
Seoul KOSPI,2055.16,2081.20,2085.53,2085.06,2090.26,,
Taiwan:,,
,
TAIEX Index,9341.77,9391.14,9397.31,9476.34,9462.57,,
Singapore:,,
,
Straits Times Index,3315.13,3339.78,3351.33,3349.87,3320.90,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1732.76,1726.86,1731.68,1716.81,1710.47,,
Indonesia:,,
,
JSX Composite Index,4959.25,4937.65,4953.52,4920.04,4923.01,,
India:,,
,
BSE Sensex Index,"27,730.21","27,804.37","27,729.67","27,895.97","27,811.84",,
Thailand:,,
,
FTSE SET Index,1504.06,1503.23,1518.26,1519.47,1518.03,,
Philippines:,,
,
Manila PSE Index,7609.14,7551.56,7643.33,7581.91,7622.05,,
World:,,
,
MSCI World,1796.12,1795.98,1785.70,1781.48,1776.22,,
Comm Research Index,223.80,224.93,224.62,224.92,225.46,,
Moody's Comm Index,5318.07,5331.61,5336.47,5347.43,5347.43,,
LME Index,2602.9,2650.6,2632.9,2638.4,2623.4,,
,
Source: Thomson Reuters,
