Weekly Roundup - Overseas Indices,,,,,,
XAO 4532.5 at 19:06  5/3/2010 Report at 19:26 Friday  5/3/2010 . Processed 17:37 Sunday 7/3/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,
NEW YORK:,,,,,,
"""DJ Indust         ","10,403.79","10,405.98","10,396.76","10,444.14","10,566.20",""""
"""DJ Opening    ","10,326.10","10,404.16","10,406.28","10,396.53","10,445.13",""""
"""Day's High      ","10,413.99","10,456.92","10,469.54","10,452.38","10,571.94",""""
"""Day's low         ","10,326.10","10,389.43","10,376.58","10,390.86","10,445.05",""""
Nasdaq Comp       ,2273.57,2280.79,2280.68,2292.31,2326.35,
S&P 500 Index     ,1115.71,1118.31,1118.79,1122.97,1138.7,
"""Wilshire 5000    ","11,589.39","11,627.14","11,634.58","11,676.37","11,846.48",""""
"""NYSE volume ('000)      ","96,659","1,071,466","93,667","94,982","1,048,469",""""
NYSE rises        ,2418,2127,1641,1779,2581,
NYSE falls        ,633,895,1368,1253,478,
Transport         ,4169.44,4149.07,4148.07,4160.18,4195.84,
NYSE Comp         ,7100.75,7135.97,7164.66,7173.07,7291.31,
AMEX Index        ,1868.93,1884.91,1898.37,1902.72,1919,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,728.06","11,828.31","11,852.85","11,824.97","11,975.14",""""
LONDON:,,,,,,
FT 100 Index      ,5405.94,5484.06,5533.21,5527.16,5599.76,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2772.7,2796.33,2822.59,2816.1,2877.44,
GERMANY:,,,,,,
German Xetra Dax  ,5713.51,5776.56,5817.88,5795.32,5877.36,
FRANCE:,,,,,,
CAC Index         ,3769.54,3811.92,3842.52,3828.41,3910.42,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6791.48,6820.04,6813.16,6804.87,6847.78,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,026.02","27,371.92","27,683.65","27,774.10","27,904.65",""""
JSE Africa Gold Index        ,2167.2,2214.75,2247.79,2252.57,2258.86,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","21,840.24","21,965.82","22,268.38","22,359.67","22,769.70",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,434.90","10,521.50","10,664.50","10,745.30","11,019.80",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3164.15,3183.24,3198.52,3213.56,3214.64,
NZ Top 10 Capital   ,843.75,846.86,851.48,855.02,853.4,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,172.06","10,221.84","10,253.14","10,145.72","10,368.96",""""
"""Nikkei high       ","10,215.15","10,238.96","10,274.09","10,263.48",10.376.41 ,""""
"""Nikkei low        ","10,116.86","10,150.30","10,186.68","10,134.37","10,254.61",""""
Nikkei 300 Index  ,182.8,183.65,184.35,182.7,185.39,
Topix Index       ,898.08,902.71,905.65,897.64,910.81,
Nikkei vol (mil)  ,1308,1475,1655,1721,1747,
HONG KONG:,,,,,,
"""Hang Seng Index    ","21,056.93","20,906.11","20,876.79","20,575.78","20,787.97",""""
 CHINA:,,,,,,
Shanghai A Index  ,3237.85,3222.5,3247.55,3170.24,3178.15,
KOREA:,,,,,,
Seoul KOSPI     ,1594.58,1615.12,1622.44,1618.2,1634.57,
 INDIA:,,,,,,
"""BSE Sensex Index   ",closed      ,"16,772.56","17,000.01","16,971.70","16,994.49",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2774.06,2772.2,2782.79,2768.7,2790.29,
MALAYSIA:,,,,,,
KL Composite Index   ,1283.4,1288.07,1286.1,1284.09,1299.78,
INDONESIA:,,,,,,
JSX Composite Index      ,2554.67,2576.59,2567.09,2565.65,2578.77,
THAILAND:,,,,,,
Bangkok SET Index         ,closed  ,733.19,735.04,730.82,723.96,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3078.91,3061.89,3069.29,3034.13,3069.63,
TAIWAN:,,,,,,
TAIEX Index   ,7577.75,7597.62,7629.52,7569.8,7666.26,
WORLD:,,,,,,
MSCI World        ,1140.6,1149.4,1157.4,1153.7,1167.9,
Comm Research Index    ,272.71,275.13,277.71,274.8,276.93,
Moody's Comm Index   ,4619.74,4628.63,4633.48,4829.42,4818.49,
LME Index        ,3371.9,3420.9,3478,3415.4,3472.2,
