Weekly Roundup - Overseas Indices,,,,,,
XAO 4771.9 at 16:36 12/2/2010  Report at 19:15 Friday 12/2/2010!. Processed 17:47 Sunday 14/2/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,
NEW YORK:,,,,,,
"""DJ Indust         ",9908.39,"10,058.64","10,038.38","10,144.19","10,099.14",""""
"""DJ Opening    ","10,005.43",9910.28,"10,055.46","10,037.85","10,137.23",""""
"""Day's High      ","10,028.56","10,139.43","10,085.54","10,161.57","10,137.39",""""
Day's low         ,9904.09,9910.06,9962.96,9976.71,9983.82,
Nasdaq Comp       ,2126.05,2150.87,2147.87,2177.41,2183.53,
S&P 500 Index     ,1056.74,1070.52,1068.13,1078.47,1075.51,
"""Wilshire 5000    ","10,913.86","11,055.45","11,035.06","11,158.03","11,149.40",""""
"""NYSE volume ('000)      ","1,084,802","1,238,639","1,008,262","1,075,706","1,427,256",""""
NYSE rises        ,1077,2385,1500,2337,1608,
NYSE falls        ,1957,666,1497,692,1388,
Transport         ,3792.89,3869.88,3856.14,3923.16,3917.56,
NYSE Comp         ,6713.87,6835.16,6819.12,6898.72,6874.56,
AMEX Index        ,1766.14,1793.37,1786.24,1833.91,1840.94,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,115.30","11,274.24","11,286.33","11,435.49","11,469.81",""""
LONDON:,,,,,,
FT 100 Index      ,5092.33,5111.84,5131.99,5161.48,5142.45,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2664.29,2668.43,2700.17,2680.25,2674.46,
GERMANY:,,,,,,
German Xetra Dax  ,5484.85,5498.26,5536.37,5503.93,5500.39,
FRANCE:,,,,,,
CAC Index         ,3607.27,3612.76,3635.61,3616.75,3599.07,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6347.14,6314.75,6333.99,6403.42,6416.2,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,041.96","26,455.10","26,359.17","26,350.60","26,262.41",""""
JSE Africa Gold Index        ,2208.24,2224.79,2227.79,2225.85,2253.63,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","21,425.45","21,342.01","21,746.12","21,591.67","21,549.03",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,206.30","10,275.40","10,455.00","10,281.70","10,224.90",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3093.45,3076.45,3085.51,3065.28,3080.47,
NZ Top 10 Capital   ,832.01,824.83,826.58,818.79,822.04,
TOKYO:,,,,,,
"""Nikkei 225 Index  ",9951.82,9932.9,9963.99,closed   ,"10,092.19",""""
"""Nikkei high       ","10,063.53",9956.79,"10,049.87",         ,"10,099.46",""""
"""Nikkei low        ",9942.05,9867.39,9963.99,        ,"10,014.50",""""
Nikkei 300 Index  ,179.78,179.58,180.05,       ,181.96,
Topix Index       ,883.01,881.57,883.5,       ,892.16,
Nikkei vol (mil)  ,1997,2075,1930,       ,2070,
HONG KONG:,,,,,,
"""Hang Seng Index    ","19,550.89","19,790.28","19,922.22","20,290.69","20,268.69",""""
 CHINA:,,,,,,
Shanghai A Index  ,3077.84,3092.11,3127.39,3130.43,3164.65,
KOREA:,,,,,,
Seoul KOSPI     ,1552.79,1570.49,1570.12,1597.81,1593.66,
 INDIA:,,,,,,
"""BSE Sensex Index   ","15,935.61","16,042.18","15,922.17","16,152.59",Closed,""""
SINGAPORE:,,,,,,
Straits Times Index  ,2693.62,2745.02,2734.39,2753.63,2758.9,
MALAYSIA:,,,,,,
KL Composite Index   ,1235.22,1233.86,1246.17,1249.42,1253.39,
INDONESIA:,,,,,,
JSX Composite Index      ,2475.57,2489.49,2483.44,2507.75,2534.14,
THAILAND:,,,,,,
Bangkok SET Index         ,688.09,685.89,688.41,695.41,698.03,
PHILIPPINES:,,,,,,
Manila PSE Index         ,2846.6,2797.61,2857.24,2908.88,2949.65,
TAIWAN:,,,,,,
TAIEX Index   ,7215.88,7361.04,7441.84,closed  ,closed  ,
WORLD:,,,,,,
MSCI World        ,1092.6,1101.2,1101.4,1108.2,1107.3,
Comm Research Index    ,261.52,265.12,266.23,269.71,267.92,
Moody's Comm Index   ,4356.98,4370.12,4410.27,4487.64,4512.73,
LME Index        ,2979.9,3048.2,3034.4,3175.5,3146.1,
