Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-12-05T16:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 29,Nov 30,Dec 1,Dec 2,Dec 3,,
New York:,,
,
DJ Indust,"11,052.49","11,006.02","11,255.78","11,362.41","11,382.09",,
DJ Opening,"11,083.75","11,049.72","11,007.23","11,255.93","11,361.88",,
Day's High,"11,083.82","11,062.63","11,276.10","11,373.80","11,388.87",,
Day's low,"10,929.28","10,942.98","11,007.23","11,255.85","11,318.82",,
Nasdaq Comp,2525.22,2498.23,2549.43,2579.35,2591.46,,
S&P 500 Index,1187.76,1180.55,1206.07,1221.53,1224.71,,
Wilshire 5000,"12,540.78","12,464.34","12,728.72","12,884.31","12,930.96",,
NYSE volume ('000),"92,357","1,534,880","1,117,595","1,117,828","90,753",,
NYSE rises,1248,994,2353,2125,1851,,
NYSE falls,1711,1948,682,869,1119,,
Transport,4896.24,4855.78,4971.57,5037.57,5068.81,,
NYSE Comp,7483.34,7430.94,7603.73,7712.25,7751.58,,
AMEX Index,2060.87,2057.01,2081.11,2091.51,2105.14,,
Canada:,,
,
DJ S&P TSX Index,"12,895.65","12,952.88","13,148.35","13,163.53","13,178.95",,
London:,,
,
FTSE 100 Index,5550.95,5528.27,5642.50,5767.56,5745.32,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2669.96,2650.99,2721.87,2781.39,2782.39,,
Germany:,,
,
German Xetra Dax,6697.97,6688.49,6866.63,6957.61,6947.72,,
France:,,
,
CAC Index,3636.96,3610.44,3669.29,3747.04,3750.55,,
Switzerland:,,
,
Swiss Market Index,6397.50,6312.43,6409.70,6483.44,6440.90,,
Johannesburg:,,
,
FTSE JSE All Share Index,"30,716.24","30,266.40","30,787.32","31,145.18","31,376.93",,
JSE Africa Gold Index,2665.47,2638.35,2660.86,2720.44,2750.15,,
Italy:,,
,
FTSE Italia All Share Index,"19,986.42","19,782.67","20,251.21","20,759.94","20,819.03",,
Spain:,,
,
IBEX 35,9324.7,9267.2,9678.4,9947.6,"10,014.8",,
New Zealand:,,
,
NZ Top 50 Capital,3270.38,3264.51,3265.10,3285.49,3283.30,,
NZ Top 10 Capital,850.09,846.00,845.87,850.95,850.22,,
Tokyo:,,
,
Nikkei 225 Index,"10,125.99",9937.04,9988.05,"10,168.52","10,178.32",,
Nikkei high,"10,149.94","10,101.42",9988.05,"10,187.59","10,254.00",,
Nikkei low,"10,044.01",9937.04,9918.55,"10,143.08","10,154.99",,
Nikkei 300 Index,178.53,175.73,176.95,179.23,179.55,,
Topix Index,874.59,860.94,866.07,877.21,879.22,,
Nikkei vol (mil),1729,2178,1712,1856,1561,,
Hong Kong:,,
,
Hang Seng Index,"23,166.22","23,007.99","23,249.80","23,448.78","23,320.52",,
China:,,
,
Shanghai A Index,3001.81,2953.32,2956.84,2977.97,2976.74,,
Korea:,,
,
Seoul KOSPI,1895.54,1904.63,1929.32,1950.26,1957.26,,
Taiwan:,,
,
TAIEX Index,8367.17,8372.48,8520.11,8585.77,8624.01,,
Singapore:,,
,
Straits Times Index,3158.21,3144.70,3181.94,3197.96,3172.44,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1495.95,1485.23,1485.42,1503.22,1500.98,,
Indonesia:,,
,
JSX Composite Index,3630.64,3531.21,3619.09,3694.58,3696.26,,
India:,,
,
BSE Sensex Index,"19,405.10","19,521.25","19,850.00","19,992.70","19,966.93",,
Thailand:,,
,
FTSE SET Index,1009.00,1005.12,1017.64,1031.97,1034.06,,
Philippines:,,
,
Manila PSE Index,Closed,3953.70,4002.88,4148.90,4176.48,,
World:,,
,
MSCI World,1200.86,1193.56,1216.68,1237.41,1247.15,,
Comm Research Index,302.87,301.39,308.89,312.08,316.14,,
Moody's Comm Index,5915.99,5910.04,5898.40,6028.42,6080.68,,
LME Index,3678.3,3736.3,3831.7,3893.7,3873.8,,
,
Source: Thomson Reuters,
