Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Friday at 2011-12-30T17:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23,,
New York:,,
,
DJ Indust,"11,766.26","12,103.58","12,107.74","12,169.65","12,294.00",,
DJ Opening,"11,866.54","11,769.21","12,103.28","12,107.59","12,169.80",,
Day's High,"11,925.88","12,117.13","12,119.70","12,182.71","12,297.44",,
Day's low,"11,735.19","11,768.83","11,999.44","12,107.37","12,169.80",,
Nasdaq Comp,2523.14,2603.73,2577.97,2599.45,2618.64,,
S&P 500 Index,"1,205.35","1,241.30","1,243.72","1,254.00",1265.33,,
Wilshire 5000,"12,569.41","12,959.23","12,980.79","13,087.90","13,197.25",,
NYSE volume ('000),"77,218","94,171","81,955","77,104","47,688",,
NYSE rises,645,2669,1842,2264,2064,,
NYSE falls,2363,371,1156,743,903,,
Transport,4794.31,4955.87,4984.84,5030.31,5053.29,,
NYSE Comp,7142.45,7360.97,7388.52,7460.75,7518.66,,
AMEX Index,2182.80,2230.70,2237.63,2246.27,2265.70,,
Canada:,,
,
DJ S&P TSX Index,"11,539.70","11,716.88","11,753.53","11,876.48","11,926.67",,
London:,,
,
FTSE 100 Index,5364.99,5419.60,5389.74,5456.97,5512.70,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2202.95,2262.39,2244.35,2273.02,2290.37,,
Germany:,,
,
German Xetra Dax,5670.71,5847.03,5791.53,5852.18,5878.93,,
France:,,
,
CAC Index,2974.20,3055.39,3030.47,3071.80,3102.09,,
Switzerland:,,
,
Swiss Market Index,5767.98,5804.31,5804.77,5837.06,5893.89,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,721.37","31,783.90","31,646.77","31,904.14","32,127.25",,
JSE Africa Gold Index,2915.97,2936.18,2914.89,2891.74,2955.86,,
Italy:,,
,
FTSE Italia All Share Index,"15,258.37","15,671.44","15,533.27","15,743.44","15,809.66",,
Spain:,,
,
IBEX 35,8253.0,8454.4,8378.4,8462.9,8542.7,,
New Zealand:,,
,
NZ Top 50 Capital,3223.04,3202.02,3223.08,3207.24,3215.51,,
NZ Top 10 Capital,832.61,825.67,832.96,830.48,832.54,,
Tokyo:,,
,
Nikkei 225 Index,8296.12,8336.48,8459.98,8395.16,Closed,,
Nikkei high,8364.93,8354.90,8471.11,8436.59,–,,
Nikkei low,8272.26,8317.73,8440.89,8383.96,–,,
Nikkei 300 Index,144.49,144.83,146.40,145.95,–,,
Topix Index,716.38,718.49,725.68,723.12,–,,
Nikkei vol (mil),1435,1169,1252,1180,–,,
Hong Kong:,,
,
Hang Seng Index,"18,070.21","18,080.20","18,416.45","18,378.23","18,629.17",,
China:,,
,
Shanghai A Index,2323.92,2321.48,2295.52,2290.35,2309.72,,
Korea:,,
,
Seoul KOSPI,1776.93,1793.06,1848.41,1847.49,1867.22,,
Taiwan:,,
,
TAIEX Index,6633.33,6662.64,6966.48,6966.35,7110.73,,
Singapore:,,
,
Straits Times Index,2618.09,2614.45,2673.32,2664.80,2676.47,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1477.78,1465.17,1484.98,1491.46,1496.15,,
Indonesia:,,
,
JSX Composite Index,3770.29,3752.34,3794.27,3795.44,3797.15,,
India:,,
,
BSE Sensex Index,"15,379.34","15,175.08","15,685.21","15,813.36","15,738.70",,
Thailand:,,
,
FTSE SET Index,1033.55,1033.29,1043.75,1042.52,1037.37,,
Philippines:,,
,
Manila PSE Index,4318.12,4342.18,4368.88,4370.46,4372.24,,
World:,,
,
MSCI World,1135.30,1163.90,1164.16,1173.46,"1,182.24",,
Comm Research Index,296.01,301.86,304.09,305.87,306.28,,
Moody's Comm Index,5871.40,5882.10,5918.12,5920.49,"5,948.24",,
LME Index,3189.8,3240.4,3262.9,3291.5,3315.0,,
,
Source: Thomson Reuters,
