Weekly Roundup - Overseas Indices,,,,,,
 XAO 4586.3 at 16:37 6/8/2010  Report at 19:05 Friday 6/8/2010!. Processed 17:34 Sunday 8/8/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,
NEW YORK:,,,,,,
"""DJ Indust","10,674.38","10,636.38","10,680.43","10,674.98","10,653.56",""""
"""DJ Opening","10,468.82","10,673.92","10,630.20","10,679.67","10,668.55",""""
"""Day's High","10,692.20","10,676.95","10,702.99","10,679.75","10,668.70",""""
"""Day's low","10,468.59","10,600.96","10,627.53","10,612.85","10,515.37",""""
Nasdaq Comp,2295.36,2283.52,2303.57,2293.06,2288.47,
S&P 500 Index,1125.86,1120.46,1127.24,1125.81,1121.64,
"""Wilshire 5000","11,735.78","11,669.40","11,753.46","11,723.62","11,680.34",""""
"""NYSE volume ('000)","1,035,902","1,000,019","97,533","87,542","94,877",""""
NYSE rises,2610,1178,2248,1273,1384,
NYSE falls,462,1826,777,1733,1604,
Transport,4504.3,4443.48,4507.2,4491.63,4457.26,
NYSE Comp,7174.9,7146.99,7182.14,7174.27,7153.72,
AMEX Index,1922.24,1934.17,1952.49,1939.21,1937.36,
CANADA:,,,,,,
"""DJ S&P TSX Index",Closed,"11,782.60","11,845.05","11,774.77","11,799.97",""""
LONDON:,,,,,,
FTSE 100 Index,5397.11,5396.48,5386.16,5365.78,5332.39,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2822.17,2818.97,2825.08,2819.34,2779.34,
GERMANY:,,,,,,
German Xetra Dax,6292.13,6307.91,6331.33,6333.58,6259.63,
FRANCE:,,,,,,
CAC Index,3752.03,3747.51,3760.72,3764.19,3716.05,
SWITZERLAND:,,,,,,
Swiss Market Index,6321.64,6337.72,6380.3,6374.89,6321.36,
JOHANNESBURG:,,,,,,
"""FTSE JSE All Share Index","28,883.19","28,627.17","28,540.46","28,527.88","28,282.12",""""
JSE Africa Gold Index,2329.69,2403.42,2438.62,2433.17,2442.51,
ITALY:,,,,,,
"""FTSE Italia All Share Index","21,975.78","21,928.56","21,914.08","21,762.59","21,567.43",""""
SPAIN:,,,,,,
"""IBEX 35","10,835.40","10,871.40","10,843.30","10,840.00","10,651.10",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,3044.17,3050.39,3038.13,3044.67,3044.63,
NZ Top 10 Capital,803.33,804.99,801.52,803.85,804.28,
TOKYO:,,,,,,
Nikkei 225 Index,9570.31,9694.01,9489.34,9653.92,9642.12,
Nikkei high,9676.41,9750.88,9613.13,9688.87,9658.04,
Nikkei low,9548.86,9632.86,9474.67,9578.31,9545.41,
Nikkei 300 Index,172.73,174.61,171.91,174.26,175.08,
Topix Index,850.69,859.18,845.93,857.09,861.17,
Nikkei vol (mil),1748,1786,1605,1682,1575,
HONG KONG:,,,,,,
"""Hang Seng Index","21,412.79","21,457.66","21,549.88","21,551.72","21,678.80",""""
 CHINA:,,,,,,
Shanghai A Index,2801.05,2753.23,2765.32,2746.58,2786.01,
KOREA:,,,,,,
Seoul KOSPI,1782.27,1790.6,1789.26,1783.86,1783.83,
TAIWAN:,,,,,,
TAIEX Index,7911.68,7957.53,7972.66,7936.85,7963.3,
SINGAPORE:,,,,,,
Straits Times Index,3025.04,3014.77,3001.87,3006.76,2995.06,
MALAYSIA:,,,,,,
FTSE Bursa Malaysia KLCI,1363.6,1363.83,1362.74,1362.08,1360.45,
INDONESIA:,,,,,,
JSX Composite Index,3058.98,2973.66,2983.25,3044.94,3060.59,
 INDIA:,,,,,,
"""BSE Sensex Index","18,081.21","18,114.83","18,217.44","18,172.83","18,143.99",""""
THAILAND:,,,,,,
FTSE SET Index,863.18,864.48,867.34,874.92,875.07,
PHILIPPINES:,,,,,,
Manila PSE Index,3455.24,3484.08,3503.49,3521.1,3516.28,
WORLD:,,,,,,
MSCI World,1152.17,1153,1152.5,1153.01,1152.25,
Comm Research Index,276.7,276.48,278.83,277.52,274.57,
Moody's Comm Index,5157.43,5225.2,5228.33,5275.04,5304.01,
LME Index,3448.6,3414.4,3454.7,3412.8,3410.3,
