Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-04-03T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,,
New York:,,
,
DJ Indust,"12,197.88","12,279.01","12,350.61","12,319.73","12,376.72",,
DJ Opening,"12,221.19","12,194.48","12,280.07","12,350.76","12,321.02",,
Day's High,"12,272.92","12,285.41","12,383.46","12,381.68","12,419.71",,
Day's low,"12,197.88","12,173.51","12,280.07","12,319.01","12,321.02",,
Nasdaq Comp,2730.68,2756.89,2776.79,2781.07,2789.60,,
S&P 500 Index,1310.19,1319.44,1328.26,1325.83,1332.41,,
Wilshire 5000,"13,838.83","13,940.62","14,049.87","14,036.43","14,110.82",,
NYSE volume ('000),"78,366","80,461","91,804","1,076,281","91,049",,
NYSE rises,1214,2074,2191,1746,2079,,
NYSE falls,1765,923,811,1241,923,,
Transport,5229.08,5261.49,5276.75,5299.89,5370.47,,
NYSE Comp,8296.52,8345.38,8416.69,8404.98,8469.34,,
AMEX Index,2310.31,2345.06,2374.01,2367.41,2396.82,,
Canada:,,
,
DJ S&P TSX Index,"13,892.73","13,930.35","14,083.58","14,116.10","14,130.15",,
London:,,
,
FTSE 100 Index,5904.49,5932.17,5948.30,5908.76,6009.92,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2914.76,2910.93,2936.44,2910.91,2962.92,,
Germany:,,
,
German Xetra Dax,6938.63,6934.44,7057.15,7041.31,7179.81,,
France:,,
,
CAC Index,3976.95,3987.80,4024.44,3989.18,4054.76,,
Switzerland:,,
,
Swiss Market Index,6359.02,6355.06,6398.42,6357.55,6439.91,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,377.12","31,718.01","32,274.61","32,204.06","32,385.32",,
JSE Africa Gold Index,2660.09,2710.80,2743.53,2737.63,2770.90,,
Italy:,,
,
FTSE Italia All Share Index,"22,669.05","22,462.53","22,691.28","22,453.66","22,686.87",,
Spain:,,
,
IBEX 35,"10,751.0","10,735.0","10,732.3","10,576.5","10,729.9",,
New Zealand:,,
,
NZ Top 50 Capital,3408.05,3421.19,3433.16,3439.85,3452.14,,
NZ Top 10 Capital,878.79,882.62,885.22,887.07,892.26,,
Tokyo:,,
,
Nikkei 225 Index,9478.53,9459.08,9708.79,9755.10,9708.39,,
Nikkei high,9541.76,9502.23,9708.79,9765.81,9822.06,,
Nikkei low,9405.20,9317.38,9479.03,9658.64,9698.60,,
Nikkei 300 Index,174.08,172.29,175.41,175.94,174.92,,
Topix Index,857.85,850.21,866.09,869.38,862.62,,
Nikkei vol (mil),2869,2922,3103,2673,2685,,
Hong Kong:,,
,
Hang Seng Index,"23,068.19","23,060.36","23,451.43","23,527.52","23,801.90",,
China:,,
,
Shanghai A Index,3124.53,3097.37,3094.99,3065.92,3107.15,,
Korea:,,
,
Seoul KOSPI,2056.39,2072.13,2091.38,2106.70,2121.01,,
Taiwan:,,
,
TAIEX Index,8553.06,8596.57,8646.31,8683.30,8705.13,,
Singapore:,,
,
Straits Times Index,3057.38,3056.95,3095.32,3105.85,3120.47,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1514.25,1520.09,1531.63,1545.13,1555.38,,
Indonesia:,,
,
JSX Composite Index,3602.86,3591.52,3640.98,3678.67,3707.49,,
India:,,
,
BSE Sensex Index,"18,943.14","19,120.80","19,290.18","19,445.22","19,420.39",,
Thailand:,,
,
FTSE SET Index,1032.94,1036.36,1050.67,1047.48,1064.35,,
Philippines:,,
,
Manila PSE Index,3913.98,3907.23,4023.74,4055.14,4129.54,,
World:,,
,
MSCI World,1321.61,1323.81,1335.98,1334.93,1341.45,,
Comm Research Index,355.00,354.15,353.90,359.58,361.03,,
Moody's Comm Index,7251.32,7213.08,7197.98,7187.13,7324.77,,
LME Index,4286.4,4323.6,4249.5,4278.6,4250.2,,
,
Source: Thomson Reuters,
