Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-03T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 29,Dec 30,Dec 31,Jan 1,Jan 2,,
New York:,,
,
DJ Indust,"18,038.23","17,983.07","17,823.07",Closed,"17,832.99",,
DJ Opening,"18,046.58","18,035.02","17,987.66",–,"17,823.07",,
Day's High,"18,073.04","18,035.02","18,043.22",–,"17,951.78",,
Day's low,"18,021.57","17,959.70","17,820.88",–,"17,731.30",,
Nasdaq Comp,4806.91,4777.44,4736.05,–,4726.81,,
S&P 500 Index,2090.57,2080.35,2058.90,–,2058.20,,
Wilshire 5000,"21,977.52","21,876.17","21,669.86",–,"21,665.32",,
NYSE volume ('000),550753,537621,668828,–,n/a,,
NYSE rises,n/a,n/a,n/a,–,n/a,,
NYSE falls,n/a,n/a,n/a,–,n/a,,
Transport,9217.44,9198.20,9139.92,–,9098.98,,
NYSE Comp,"10,988.01","10,932.99","10,839.24",–,"10,830.92",,
AMEX Index,2474.93,2450.52,2444.33,–,2427.96,,
Canada:,,
,
DJ S&P TSX Index,"14,663.92","14,640.04","14,632.44",Closed,"14,753.65",,
London:,,
,
FTSE 100 Index,6633.51,6547.00,6566.09,Closed,6547.80,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3185.17,3135.95,3146.43,Closed,3139.44,,
Germany:,,
,
German Xetra Dax,9927.13,9805.55,Closed,Closed,9764.73,,
France:,,
,
CAC Index,4317.93,4245.54,4272.75,Closed,4252.29,,
Switzerland:,,
,
Swiss Market Index,9034.55,8983.37,Closed,Closed,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"50,254.08","49,755.61","49,770.60",Closed,"49,518.48",,
JSE Africa Gold Index,1119.95,1148.36,1144.92,–,1124.73,,
Italy:,,
,
FTSE Italia All Share Index,"20,254.96","20,137.74",Closed,Closed,"20,275.85",,
Spain:,,
,
IBEX 35,"10,394.2","10,279.2","10,279.5",Closed,"10,350.8",,
New Zealand:,,
,
NZ Top 50 Capital,5592.33,5577.20,5568.28,Closed,Closed,,
NZ Top 10 Capital,1189.76,1187.01,1184.84,–,–,,
Tokyo:,,
,
Nikkei 225 Index,"17,729.84","17,450.77",Closed,Closed,Closed,,
Nikkei high,"17,914.55","17,713.76",–,–,–,,
Nikkei low,"17,525.66","17,450.77",–,–,–,,
Nikkei 300 Index,288.17,284.47,–,–,–,,
Topix Index,1424.67,1407.51,–,–,–,,
Hong Kong:,,
,
Hang Seng Index,"23,773.18","23,501.10","23,605.04",Closed,"23,857.82",,
China:,,
,
Shanghai A Index,3319.47,3317.14,3389.40,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,1927.86,1915.59,1915.59,Closed,1926.44,,
Taiwan:,,
,
TAIEX Index,9286.28,9268.43,9307.26,Closed,Closed,,
Singapore:,,
,
Straits Times Index,3367.69,3366.11,3365.15,Closed,3370.59,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1768.41,1766.83,1761.25,Closed,1752.77,,
Indonesia:,,
,
JSX Composite Index,5178.37,5226.95,Closed,Closed,5242.77,,
India:,,
,
BSE Sensex Index,"27,395.73","27,403.54","27,499.42","27,507.54","27,887.90",,
Thailand:,,
,
FTSE SET Index,1498.22,1497.67,Closed,Closed,Closed,,
Philippines:,,
,
Manila PSE Index,7230.57,Closed,Closed,Closed,Closed,,
World:,,
,
MSCI World,1731.71,1721.01,1709.67,1709.68,1704.71,,
Comm Research Index,233.82,234.05,230.52,Closed,228.98,,
Moody's Comm Index,5539.46,5535.94,Closed,Closed,Closed,,
LME Index,2907.6,2924.6,2914.3,Closed,2897.2,,
,
Source: Thomson Reuters,
