Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-03-04T17:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,,
New York:,,
,
DJ Indust,"12,981.51","13,005.12","12,952.07","12,980.30","12,977.57",,
DJ Opening,"12,981.13","12,976.74","13,005.42","12,952.29","12,980.75",,
Day's High,"13,027.52","13,021.51","13,055.75","13,032.67","12,997.51",,
Day's low,"12,882.59","12,952.82","12,929.66","12,943.06","12,927.77",,
Nasdaq Comp,2966.16,2986.76,2966.89,2988.97,2976.19,,
S&P 500 Index,1367.59,1372.18,1365.68,1374.09,1369.63,,
Wilshire 5000,"14,380.81","14,413.94","14,332.32","14,425.89","14,360.42",,
NYSE volume ('000),"73,195","75,387","1,110,160","81,264","69,726",,
NYSE rises,1482,1535,1018,2003,994,,
NYSE falls,1480,1436,1971,977,1989,,
Transport,5171.08,5165.19,5153.16,5211.48,5160.13,,
NYSE Comp,8143.56,8171.55,8113.25,8175.10,8125.18,,
AMEX Index,2464.92,2474.58,2458.30,2483.72,2455.50,,
Canada:,,
,
DJ S&P TSX Index,"12,700.38","12,740.47","12,644.01","12,723.46","12,643.82",,
London:,,
,
FTSE 100 Index,5915.55,5927.91,5871.51,5931.25,5911.13,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2513.06,2519.72,2512.11,2548.66,2546.16,,
Germany:,,
,
German Xetra Dax,6849.60,6887.63,6856.08,6941.77,6921.37,,
France:,,
,
CAC Index,3441.45,3453.99,3452.45,3499.73,3501.17,,
Switzerland:,,
,
Swiss Market Index,6143.92,6125.09,6109.93,6128.28,6149.37,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,871.32","34,214.53","34,296.00","34,298.48","34,186.81",,
JSE Africa Gold Index,2761.93,2769.44,2757.57,2684.18,2657.48,,
Italy:,,
,
FTSE Italia All Share Index,"17,336.41","17,354.01","17,350.30","17,814.93","17,876.16",,
Spain:,,
,
IBEX 35,8537.2,8526.7,8465.9,8547.7,8563.4,,
New Zealand:,,
,
NZ Top 50 Capital,3303.45,3309.80,3322.53,3330.85,3375.81,,
NZ Top 10 Capital,848.94,850.21,852.05,856.57,867.00,,
Tokyo:,,
,
Nikkei 225 Index,9633.93,9722.52,9723.24,9707.37,9777.03,,
Nikkei high,9736.11,9722.52,9866.41,9865.75,9803.75,,
Nikkei low,9628.25,9528.77,9706.22,9666.02,9729.24,,
Nikkei 300 Index,168.35,169.04,168.74,167.97,169.07,,
Topix Index,835.25,838.48,835.96,831.54,837.82,,
Nikkei vol (mil),2492,2507,3057,2634,2251,,
Hong Kong:,,
,
Hang Seng Index,"21,217.86","21,568.73","21,680.08","21,387.96","21,562.26",,
China:,,
,
Shanghai A Index,2563.30,2568.42,2543.89,2541.42,2577.60,,
Korea:,,
,
Seoul KOSPI,1991.16,2003.69,2030.25,Closed,2034.63,,
Taiwan:,,
,
TAIEX Index,Closed,Closed,8121.44,8118.34,8144.04,,
Singapore:J,,
,
Straits Times Index,2946.78,2969.73,2994.06,2978.84,2993.49,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1559.04,1556.73,1569.65,1573.45,1583.78,,
Indonesia:,,
,
JSX Composite Index,3861.02,3903.56,3985.21,3962.29,4004.87,,
India:,,
,
BSE Sensex Index,"17,445.75","17,731.12","17,752.68","17,583.97","17,636.80",,
Thailand:,,
,
FTSE SET Index,1135.04,1146.26,1160.90,1164.98,1165.15,,
Philippines:,,
,
Manila PSE Index,4799.29,4820.43,4897.65,4938.61,5016.30,,
World:,,
,
MSCI World,1298.09,1303.00,1298.72,1304.48,1298.50,,
Comm Research Index,325.32,323.36,322.67,324.56,321.41,,
Moody's Comm Index,6511.67,6593.78,6618.23,6542.53,n/a,,
LME Index,3739.5,3751.9,3707.6,3751.5,3733.1,,
,
Source: Thomson Reuters,
