Weekly Roundup - Overseas Indices,,,,,,
XAO 4693.7 at 16:47 30/10/2009  Report at 19:10 Friday 30/10/2009 . Processed 18:31 Sunday 1/11/2009.,,,,,,



,,,,,,
,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,
NEW YORK:,,,,,,
DJ Indust         ,9867.96,9882.17,9762.69,9962.58,9712.73,
DJ Opening    ,9972.33,9868.34,9881.11,9762.91,9961.52,
"""Day's High      ","10,072.32",9947.54,9902.42,9969.91,9962.13,""""
Day's low         ,9849.45,9837.96,9758.08,9759.13,9684.54,
Nasdaq Comp       ,2141.85,2116.09,2059.61,2097.55,2045.11,
S&P 500 Index     ,1066.95,1063.41,1042.63,1066.11,1036.19,
"""NYSE volume ('000)      ","1,388,085","1,396,267","1,678,472","1,454,830","1,189,433",""""
NYSE rises        ,713,1053,322,2502,394,
NYSE falls        ,2317,1977,2779,546,2666,
Transport         ,3773.4,3704.32,3640.35,3703.65,3613.34,
NYSE Comp         ,6960.07,6932.04,6765.69,6955.31,6739.45,
AMEX Index        ,1802.41,1806.59,1744.33,1771.24,1752.23,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,234.88","11,053.54","10,805.33","11,075.22","10,910.75",""""
LONDON:,,,,,,
FT 100 Index      ,5191.74,5200.97,5080.42,5137.72,5044.55,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2834.82,2835.17,2778.46,2824.78,2743.5,
GERMANY:,,,,,,
German Xetra Dax  ,5642.16,5635.02,5496.27,5587.45,5414.96,
FRANCE:,,,,,,
CAC Index         ,3744.45,3743.95,3663.78,3714.02,3607.69,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6303.35,6367.97,6279.94,6351.27,6285.76,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,910.08","26,518.72","26,056.48","26,549.41","26,360.55",""""
JSE Africa Gold Index        ,2603.53,2523.44,2476.54,n/a     ,2378.15,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,509.04","23,321.16","22,761.11","23,239.93","22,528.19",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,622.60","11,634.00","11,429.80","11,683.40","11,414.80",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,closed  ,3192.47,3202.78,3195.6,3215.62,
NZ Top 10 Capital   ,       ,869.45,873.58,875.31,880.65,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,362.62","10,212.46","10,075.05",9891.1,"10,034.74",""""
"""Nikkei high       ","10,397.69","10,290.92","10,209.20",9945.41,"10,049.59",""""
"""Nikkei low        ","10,250.84","10,201.93","10,060.39",9850.12,9984.33,""""
Nikkei 300 Index  ,183.64,180.73,179.25,177.93,180.28,
Topix Index       ,910.72,895.48,888.8,882.35,894.67,
Nikkei vol (mil)  ,1.666,1.918,1.82,2.408,1.931,
HONG KONG:,,,,,,
"""Hang Seng Index    ",closed   ,"22,169.59","21,761.58","21,264.99","21,752.87",""""
 CHINA:,,,,,,
Shanghai A Index  ,3263.55,3170.94,3181.27,3106.73,3143.88,
KOREA:,,,,,,
Seoul KOSPI     ,1657.11,1649.53,1609.71,1585.85,1580.69,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,740.50","16,353.40","16,283.49","16,052.72","15,896.28",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2716.62,2694.5,2648.98,2632.31,2651.13,
MALAYSIA:,,,,,,
KL Composite Index   ,1259.92,1260.3,1249.05,1241.75,1243.23,
INDONESIA:,,,,,,
JSX Composite Index      ,2467.71,2425.2,2355.31,2344. 03,2367.7,
THAILAND:,,,,,,
Bangkok SET Index         ,711.83,714.54,703.95,690.1,685.24
PHILIPPINES:,,,,,
Manila PSE Index         ,2941.53,2935.74,2908.21,2862.33,2908.5
TAIWAN:,,,,,
TAIEX Index   ,7668.4,7657.34,7533.95,7355.69,7340.08
WORLD:,,,,,
MSCI World        ,1141.2,1134.3,1113.3,1125.5,1107.9
Comm Research Index    ,275.88,275.97,270.39,276.16,270.38
Moody's Comm Index   ,4355.83,4340.8,4295.7,4232.88,4266.2
LME Index        ,3095.2,3081.8,2984.1,3089.4,3003.5
