Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-17T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 12,Jan 13,Jan 14,Jan 15,Jan 16,,
New York:,,
,
DJ Indust,"17,640.84","17,613.68","17,427.09","17,320.71","17,511.57",,
DJ Opening,"17,742.05","17,645.02","17,609.06","17,436.30","17,320.00",,
Day's High,"17,793.88","17,923.01","17,609.06","17,517.41","17,528.37",,
Day's low,"17,571.58","17,498.23","17,264.90","17,298.04","17,243.55",,
Nasdaq Comp,4664.71,4661.50,4639.32,4570.82,4634.38,,
S&P 500 Index,2028.26,2023.03,2011.27,1992.67,2019.42,,
Wilshire 5000,"21,330.63","21,280.56","20,995.36",Closed,"21,244.68",,
NYSE volume ('000),778035,875263,927290,878993,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8806.70,8765.34,8689.87,8655.94,8764.12,,
NYSE Comp,"10,640.74","10,622.96","10,565.41","10,514.60","10,660.32",,
AMEX Index,2377.16,2384.42,2384.41,2392.08,2426.91,,
Canada:,,
,
DJ S&P TSX Index,"14,265.01","14,187.16","14,084.43","14,041.82","14,309.41",,
London:,,
,
FTSE 100 Index,6501.42,6542.20,6388.46,6498.78,6550.27,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3084.18,3133.86,3089.67,3157.36,3202.24,,
Germany:,,
,
German Xetra Dax,9781.90,9941.00,9817.08,"10,032.61","10,167.77",,
France:,,
,
CAC Index,4228.24,4290.28,4223.24,4323.20,4379.62,,
Switzerland:,,
,
Swiss Market Index,9152.97,9285.63,9198.20,8400.61,7899.59,,
Johannesburg:,,
,
FTSE JSE All Share Index,"48,468.39","49,433.00","48,057.46","48,524.25","48,458.25",,
JSE Africa Gold Index,1420.05,1443.52,1390.17,1450.10,1481.72,,
Italy:,,
,
FTSE Italia All Share Index,"19,484.23","19,850.40","19,570.61","19,992.18","20,391.51",,
Spain:,,
,
IBEX 35,9797.5,9966.0,9846.0,9982.5,"10,038.9",,
New Zealand:,,
,
NZ Top 50 Capital,5609.80,5636.61,5648.63,5642.05,5616.73,,
NZ Top 10 Capital,1188.04,1191.50,1188.90,1186.99,1182.10,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"17,087.71","16,795.96","17,108.70","16,864.16",,
Nikkei high,–,"17,087.71","17,036.72","17,141.98","16,864.34",,
Nikkei low,–,"16,828.27","16,770.56","16,856.22","16,592.57",,
Nikkei 300 Index,–,277.77,274.44,278.25,275.83,,
Topix Index,–,1374.69,1357.98,1376.60,1363.73,,
Hong Kong:,,
,
Hang Seng Index,"24,026.46","24,215.97","24,112.60","24,350.91","24,103.52",,
China:,,
,
Shanghai A Index,3383.84,3390.07,3376.55,3496.35,3538.42,,
Korea:,,
,
Seoul KOSPI,1920.95,1917.14,1913.66,1914.14,1888.13,,
Taiwan:,,
,
TAIEX Index,9178.30,9231.80,9180.23,9165.09,9138.29,,
Singapore:,,
,
Straits Times Index,3344.89,3341.07,3326.16,3338.84,3300.68,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1735.08,1748.90,1742.01,1745.00,1743.57,,
Indonesia:,,
,
JSX Composite Index,5187.93,5214.36,5159.67,5188.71,5148.38,,
India:,,
,
BSE Sensex Index,"27,585.27","27,425.73","27,346.82","28,075.55","28,121.89",,
Thailand:,,
,
FTSE SET Index,1531.21,1534.97,1523.24,1523.38,1517.74,,
Philippines:,,
,
Manila PSE Index,7358.36,7399.00,7490.88,Closed,Closed,,
World:,,
,
MSCI World,1676.71,1678.19,1665.38,1662.44,1675.15,,
Comm Research Index,221.37,220.24,223.83,220.97,224.79,,
Moody's Comm Index,5543.88,5502.95,5444.19,5460.04,5460.04,,
LME Index,2833.1,2770.4,2674.1,2701.0,2754.5,,
,
Source: Thomson Reuters,
