Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-03-23T19:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,,
New York:,,
,
DJ Indust,"14,452.06","14,455.82","14,511.73","14,421.49","14,512.03",,
DJ Opening,"14,514.11","14,452.06","14,455.82","14,511.73","14,421.49",,
Day's High,"14,521.59","14,514.34","14,546.82","14,511.73","14,519.95",,
Day's low,"14,404.21","14,382.09","14,455.82","14,383.02","14,421.49",,
Nasdaq Comp,3237.59,3229.10,3254.19,3222.60,3245.00,,
S&P 500 Index,"1,552.10","1,548.34 ","1,558.71 ","1,545.80","1,556.89",,
Wilshire 5000,"16,410.40","16,365.70","16,488.83","16,357.54","16,461.52",,
NYSE volume ('000),"67,550","73,080","67,160","65,123","62,188",,
NYSE rises,1155,1260,2235,1050,1856,,
NYSE falls,1845,1712,754,1927,1072,,
Transport,6251.90,6239.84,6218.19,6117.20,6179.26,,
NYSE Comp,9045.44,9017.67,9081.09,9009.66,9065.80,,
AMEX Index,2391.85,2398.39,2409.03,2397.76,,,
Canada:,,
,
DJ S&P TSX Index,"12,781.76","12,773.87","12,826.55","12,747.87","12,757.35",,
London:,,
,
FTSE 100 Index,6457.92,6441.32,6432.70,6388.55,6392.76,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2705.47,2671.96,2708.90,2683.92,2681.67,,
Germany:,,
,
German Xetra Dax,8010.70,7947.79,8001.97,7932.51,7911.35,,
France:,,
,
CAC Index,3825.47,3775.75,3829.56,3774.85,3770.29,,
Switzerland:,,
,
Swiss Market Index,7830.37,7789.60,7847.70,7762.30,7744.33,,
Johannesburg:,,
,
FTSE JSE All Share Index,"40,470.65","40,346.17","40,318.79",Closed,"40,063.38",,
JSE Africa Gold Index,1940.37,1932.08,1913.30,Closed,1926.01,,
Italy:,,
,
FTSE Italia All Share Index,"16,979.76","16,721.55","17,063.64","16,994.43","17,103.17",,
Spain:,,
,
IBEX 35,8507.8,8321.0,8416.3,8351.2,8329.5,,
New Zealand:,,
,
NZ Top 50 Capital,4341.02,4345.04,4349.43,4342.51,4342.89,,
NZ Top 10 Capital,1019.78,1018.12,1015.27,1017.30,1017.47,,
Tokyo:,,
,
Nikkei 225 Index,"12,220.63","12,468.23",Closed,"12,635.69","12,338.53",,
Nikkei high,"12,373.17","12,491.16",Closed,"12,650.26","12,522.05",,
Nikkei low,"12,220.63","12,401.12",Closed,"12,586.06","12,338.53",,
Nikkei 300 Index,208.56,212.24,Closed,214.67,210.61,,
Topix Index,1028.34,1045.89,Closed,1058.10,1038.57,,
Hong Kong:,,
,
Hang Seng Index,"22,083.36","22,041.86","22,256.44","22,225.88","22,115.30",,
China:,,
,
Shanghai A Index,2344.65,2362.88,2425.67,2432.87,2437.09,,
Korea:,,
,
Seoul KOSPI,1968.18,1978.56,1959.41,1950.82,1948.71,,
Taiwan:,,
,
TAIEX Index,7811.34,7838.47,7798.03,7811.84,7796.22,,
Singapore:,,
,
Straits Times Index,3256.47,3269.13,3248.40,3267.65,3258.57,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1621.36,1625.46,1631.54,1630.75,1626.89,,
Indonesia:,,
,
JSX Composite Index,4802.83,4822.63,4831.50,4802.67,4723.16,,
India:,,
,
BSE Sensex Index,"19,293.20","19,008.10","18,884.19","18,792.87","18,735.60",,
Thailand:,,
,
FTSE SET Index,1591.65,1568.25,1543.67,1529.52,1478.97,,
Philippines:,,
,
Manila PSE Index,6536.18,6426.25,6419.62,6472.98,6518.71,,
World:,,
,
MSCI World,1430.97,1431.0,1434.35,1426.66,1432.3,,
Comm Research Index,294.95,293.64,295.45,294.56,295.20,,
Moody's Comm Index,6264.99,6196.41,6211.04,6173.99,6189.29,,
LME Index,3284.3,3270.0,3291.4,3280.7,3311.4,,
,
Source: Thomson Reuters,
