Weekly Roundup - Overseas Indices,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:07 Friday 21/5/2010. Processed 15:51 Sunday 23/5/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,17-May,18-May,19-May,20-May,21-May,
NEW YORK:,,,,,,
"""DJ Indust         ","10,625.83","10,510.95","10,444.37","10,068.01","10,193.39",""""
"""DJ Opening    ","10,616.98","10,625.45","10,505.70","10,440.21","10,063.93",""""
"""Day's High      ","10,660.97","10,718.86","10,522.52","10,440.21","10,198.53",""""
"""Day's low         ","10,436.06","10,482.20","10,324.66","10,065.36",9918.82,""""
Nasdaq Comp       ,2354.23,2317.26,2298.37,2204.01,2229.04,
S&P 500 Index     ,1136.94,1120.8,1115.05,1071.59,1087.69,
"""Wilshire 5000    ","11,887.96","11,713.93","11,639.65","11,169.98","11,338.85",""""
"""NYSE volume ('000)      ","1,438,471","1,522,498","1,626,497","2,121,704","2,295,468",""""
NYSE rises        ,1254,703,660,160,2348,
NYSE falls        ,1820,2362,2424,2983,740,
Transport         ,4479.08,4420.38,4374.84,4160.51,4241.59,
NYSE Comp         ,7063.83,6939.21,6927.21,6653,6775.45,
AMEX Index        ,1832.22,1804.45,1787.81,1721.84,1743.94,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,813.00","11,764.51","11,665.77","11,405.95","11,521.35",""""
LONDON:,,,,,,
FT 100 Index      ,5262.54,5307.34,5158.08,5073.13,5062.93,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2635.34,2698.21,2619.48,2569.58,2574.18,
GERMANY:,,,,,,
German Xetra Dax  ,6066.92,6155.93,5988.67,5867.88,5829.25,
FRANCE:,,,,,,
CAC Index         ,3543.55,3617.32,3511.67,3432.52,3430.74,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6428.86,6470.84,6374.43,6262.42,6206.59,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,306.74","27,573.83","27,175.04","26,337.51","26,258.21",""""
JSE Africa Gold Index        ,2513,2493.15,2459.33,2452.71,2396.26,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","20,415.83","20,890.02","20,200.65","19,867.62","20,103.93",""""
SPAIN:,,,,,,
IBEX 35  ,9286.1,9627.6,9376.5,9270.5,9407.3,
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3170.74,3151.68,3121.88,3111.42,3050.08,
NZ Top 10 Capital   ,841.02,836.66,828.27,827.37,811.37,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,235.76","10,242.64","10,186.84","10,030.31",9784.54,""""
"""Nikkei high       ","10,331.87","10,336.53","10,186.84","10,161.70",9829.36,""""
"""Nikkei low        ","10,158.30","10,197.74","10,041.93",9999.59,9696.63,""""
Nikkei 300 Index  ,186.22,185.1,184.45,181.86,178.11,
Topix Index       ,920.43,913.91,910.64,898.15,879.69,
Nikkei vol (mil)  ,2519,2319,2451,2052,2600,
HONG KONG:,,,,,,
"""Hang Seng Index    ","19,715.20","19,944.94","19,578.98","19,545.83",closed     ,""""
 CHINA:,,,,,,
Shanghai A Index  ,2684.2,2720.9,2713.65,2680.56,2709.47,
KOREA:,,,,,,
Seoul KOSPI     ,1651.51,1643.24,1630.08,1600.18,closed ,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,835.56","16,875.76","16,408.49","16,519.68","16,445.61",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2833.69,2844.35,2774.54,2753.51,2701.2,
MALAYSIA:,,,,,,
KL Composite Index   ,1334.27,1330.17,1308.23,1304.16,1285.73,
INDONESIA:,,,,,,
JSX Composite Index      ,2819.47,2834.19,2729.48,2694.25,2623.22,
THAILAND:,,,,,,
Bangkok SET Index         ,753.26,760.11,765.54,closed ,closed  ,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3289.31,3265.07,3222.19,3213.88,3179.36,
TAIWAN:,,,,,,
TAIEX Index   ,7598.72,7585.3,7559.16,7424.43,7237.71,
WORLD:,,,,,,
MSCI World        ,1116,1111.9,1095.7,1063.6,1073.6,
Comm Research Index    ,253.2,254.93,252.64,250.07,251.42,
Moody's Comm Index   ,4817.77,4770.87,4752.63,4727.69,4770.18,
LME Index        ,3025.5,3132.6,3041.4,3062.8,3152.1,
