Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-05-24T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,May 19,May 20,May 21,May 22,May 23,,
New York:,,
,
DJ Indust,"16,511.86","16,374.31","16,533.06","16,543.08","16,606.27",,
DJ Opening,"16,490.35","16,511.22","16,376.17","16,532.74","16,544.49",,
Day's High,"16,526.26","16,511.22","16,544.60","16,565.39","16,613.07",,
Day's low,"16,442.12","16,341.30","16,376.17","16,489.61","16,544.49",,
Nasdaq Comp,4125.82,4096.89,4131.54,4154.34,4185.81,,
S&P 500 Index,1885.08,1872.83,1888.03,1892.49,1900.53,,
Wilshire 5000,"19,954.38","19,805.74","19,957.35","20,024.77","20,123.50",,
NYSE volume ('000),n/a,n/a,n/a,n/a,n/a,,
NYSE rises,1964,888,1956,1962,n/a,,
NYSE falls,1059,2148,1044,1061,n/a,,
Transport,7906.40,7834.12,7881.52,7923.42,7986.58,,
NYSE Comp,"10,618.64","10,541.95","10,620.44","10,644.52","10,681.87",,
AMEX Index,2654.34,2641.05,2685.9,2676.08,n/a,,
Canada:,,
,
DJ S&P TSX Index,Closed,"14,525.19","14,649.86","14,702.29","14,708.10",,
London:,,
,
FTSE 100 Index,6844.55,6802.00,6821.04,6820.56,6815.75,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3169.90,3163.93,3187.08,3187.63,3203.28,,
Germany:,,
,
German Xetra Dax,9659.39,9639.08,9697.87,9720.91,9768.01,,
France:,,
,
CAC Index,4469.76,4452.35,4469.03,4478.21,4493.15,,
Switzerland:,,
,
Swiss Market Index,8646.02,8635.61,8655.90,8693.98,8703.84,,
Johannesburg:,,
,
FTSE JSE All Share Index,"49,507.48","49,617.00","49,648.12","49,891.36","49,952.69",,
JSE Africa Gold Index,1479.66,1478.88,1472.51,1469.10,1446.71,,
Italy:,,
,
FTSE Italia All Share Index,"21,630.39","21,688.03","21,893.50","21,669.85","22,054.02",,
Spain:,,
,
IBEX 35,"10,425.5","10,453.8","10,531.4","10,520.6","10,558.9",,
New Zealand:,,
,
NZ Top 50 Capital,5167.78,5134.89,5108.57,5128.84,5151.37,,
NZ Top 10 Capital,1177.35,1164.39,1158.76,1164.79,1166.30,,
Tokyo:,,
,
Nikkei 225 Index,"14,006.44","14,075.25","14,042.17","14,337.79","14,462.17",,
Nikkei high,"14,150.50","14,144.04","14,054.24","14,369.02","14,528.04",,
Nikkei low,"13,991.80","14,038.06","13,964.43","14,147.55","14,404.80",,
Nikkei 300 Index,233.88,234.76,234.10,237.91,240.13,,
Topix Index,1150.07,1153.38,1150.05,1169.34,1180.44,,
Hong Kong:,,
,
Hang Seng Index,"22,704.50","22,834.68","22,836.52","22,953.76","22,965.86",,
China:,,
,
Shanghai A Index,2099.24,2102.33,2119.97,2116.05,2129.96,,
Korea:,,
,
Seoul KOSPI,2015.14,2011.26,2008.33,2015.59,2017.17,,
Taiwan:,,
,
TAIEX Index,8899.90,8887.79,8862.42,8969.63,9008.22,,
Singapore:,,
,
Straits Times Index,3262.43,3265.47,3261.78,3265.66,3278.02,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1887.07,1881.16,1877.03,1875.12,1869.22,,
Indonesia:,,
,
JSX Composite Index,5015.00,4895.96,4910.29,4969.88,4973.06,,
India:,,
,
BSE Sensex Index,"24,363.05","24,376.88","24,298.02","24,374.40","24,693.35",,
Thailand:,,
,
FTSE SET Index,1410.63,1394.69,1402.92,1405.21,1396.84,,
Philippines:,,
,
Manila PSE Index,6870.90,6882.73,6762.38,6830.58,6811.33,,
World:,,
,
MSCI World,1685.88,1678.01,1686.51,1692.36,1697.94,,
Comm Research Index,307.53,307.62,308.56,308.34,308.97,,
Moody's Comm Index,6332.25,6332.25,6297.22,6323.44,6323.44,,
LME Index,3115.4,3134.8,3113.1,3141.4,3161.7,,
,
Source: Thomson Reuters,
