Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-03-06T16:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 28,Mar 1,Mar 2,Mar 3,Mar 4,,
New York:,,
,
DJ Indust,"12,226.34","12,058.02","12,066.80","12,258.20","12,169.88",,
DJ Opening,"12,130.45","12,226.49","12,057.34","12,068.01","12,258.88",,
Day's High,"12,235.04","12,261.38","12,115.12","12,283.10","12,271.37",,
Day's low,"12,130.15","12,054.99","12,018.63","12,068.01","12,079.51",,
Nasdaq Comp,2782.27,2737.41,2748.07,2798.74,2784.67,,
S&P 500 Index,1327.22,1306.33,1308.44,1330.97,1321.15,,
Wilshire 5000,"14,002.02","13,775.29","13,807.09","14,051.00","13,953.11",,
NYSE volume ('000),"1,250,474","1,178,230","1,022,973","1,070,783","1,037,066",,
NYSE rises,2040,724,1890,2451,1029,,
NYSE falls,966,2298,1078,547,1928,,
Transport,5084.90,4956.59,4987.78,5111.22,5060.54,,
NYSE Comp,8438.55,8315.85,8338.76,8465.45,8413.05,,
AMEX Index,2381.29,2380.34,2395.3,2407.69,2419.74,,
Canada:,,
,
DJ S&P TSX Index,"14,136.50","14,122.85","14,144.02","14,214.72","14,252.77",,
London:,,
,
FTSE 100 Index,5994.01,5935.76,5914.89,6005.09,5990.39,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3013.09,2983.27,2958.80,2969.24,2949.18,,
Germany:,,
,
German Xetra Dax,7272.32,7223.30,7181.12,7225.96,7178.90,,
France:,,
,
CAC Index,4110.35,4067.15,4034.32,4060.76,4020.21,,
Switzerland:,,
,
Swiss Market Index,6610.44,6619.36,6592.07,6599.21,6530.54,,
Johannesburg:,,
,
FTSE JSE All Share Index,"32,272.09","32,050.73","31,973.09","32,350.12","32,337.06",,
JSE Africa Gold Index,2765.81,2762.83,2758.38,2767.79,2720.19,,
Italy:,,
,
FTSE Italia All Share Index,"23,076.48","22,863.00","22,864.90","22,781.25","22,756.59",,
Spain:,,
,
IBEX 35,"10,850.8","10,761.9","10,643.8","10,566.9","10,498.7",,
New Zealand:,,
,
NZ Top 50 Capital,3370.52,3384.39,3381.99,3397.31,3418.11,,
NZ Top 10 Capital,879.67,886.82,882.62,887.40,893.45,,
Tokyo:,,
,
Nikkei 225 Index,"10,624.09","10,754.03","10,492.38","10,586.02","10,693.66",,
Nikkei high,"10,628.76","10,754.03","10,629.50","10,593.34","10,768.43",,
Nikkei low,"10,448.83","10,672.91","10,492.38","10,522.40","10,664.37",,
Nikkei 300 Index,193.31,195.87,191.70,192.77,194.29,,
Topix Index,951.27,963.70,942.87,948.69,955.59,,
Nikkei vol (mil),2502,2223,2192,1866,2308,,
Hong Kong:,,
,
Hang Seng Index,"23,338.02","23,396.42","23,048.66","23,122.42","23,408.86",,
China:,,
,
Shanghai A Index,3041.77,3056.34,3051.00,3039.68,3080.89,,
Korea:,,
,
Seoul KOSPI,1939.30,Closed,1928.24,1970.66,2004.68,,
Taiwan:,,
,
TAIEX Index,Closed,8727.56,8619.90,8738.37,8784.40,,
Singapore:,,
,
Straits Times Index,3010.51,3067.60,3027.51,3037.35,3061.31,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1491.25,1502.24,1499.28,1506.88,1522.61,,
Indonesia:,,
,
JSX Composite Index,3470.35,3512.62,3486.20,3494.54,3542.90,,
India:,,
,
BSE Sensex Index,"17,823.40","18,446.50",Closed,"18,489.76","18,486.45",,
Thailand:,,
,
FTSE SET Index,987.91,994.48,987.59,990.08,995.91,,
Philippines:,,
,
Manila PSE Index,3766.73,3784.23,3773.71,3834.05,3882.71,,
World:,,
,
MSCI World,1351.65,1340.89,1337.94,1352.05,1348.44,,
Comm Research Index,352.69,355.29,359.23,360.68,363.00,,
Moody's Comm Index,6972.69,7067.05,7110.12,7124.56,7169.97,,
LME Index,4432.6,4422.7,4416.1,4436.4,4423.0,,
,
Source: Thomson Reuters,
