Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-24T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,,
New York:,,
,
DJ Indust,"12,385.16","12,587.42","12,571.91","12,724.41","12,681.16",,
DJ Opening,"12,475.11","12,386.03","12,583.68","12,567.07","12,724.71",,
Day's High,"12,475.26","12,607.56","12,603.51","12,751.43","12,740.87",,
Day's low,"12,296.23","12,385.96","12,546.56","12,566.61","12,644.19",,
Nasdaq Comp,2765.11,2826.52,2814.23,2834.43,2858.83,,
S&P 500 Index,1305.44,1326.73,1325.84,1343.8,1345.02,,
Wilshire 5000,"13,807.23","14,045.37","14,031.64","14,209.01","14,229.30",,
NYSE volume ('000),"87,128","86,869","79,432","96,618","73,759",,
NYSE rises,446,2368,1659,2418,1396,,
NYSE falls,2569,626,1317,581,1534,,
Transport,5283.92,5347.49,5342.95,5432.26,5428.24,,
NYSE Comp,8135.53,8254.38,8281.83,8411.45,8408.20,,
AMEX Index,2384.15,2387.23,2401.47,2439.69,2450.01,,
Canada:,,
,
DJ S&P TSX Index,"13,254.14","13,332.92","13,340.83","13,434.30","13,494.63",,
London:,,
,
FTSE 100 Index,5752.81,5789.99,5853.82,5899.89,5935.02,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2622.36,2657.45,2705.75,2763.34,2772.60,,
Germany:,,
,
German Xetra Dax,7107.92,7192.67,7221.36,7290.14,7326.39,,
France:,,
,
CAC Index,3650.71,3694.95,3754.60,3816.75,3842.70,,
Switzerland:,,
,
Swiss Market Index,5826.26,5896.55,5966.54,6042.06,6031.93,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,871.59","32,058.68","32,056.06","32,125.79","32,016.30",,
JSE Africa Gold Index,2621.25,2601.70,2564.54,2534.88,2537.51,,
Italy:,,
,
FTSE Italia All Share Index,"18,627.66","18,946.01","19,476.23","20,141.79","20,153.65",,
Spain:,,
,
IBEX 35,9347.8,9443.8,9732.8,"10,017.6","10,059.3",,
New Zealand:,,
,
NZ Top 50 Capital,3385.89,3392.02,3408.37,3421.34,3449.22,,
NZ Top 10 Capital,881.94,886.09,889.99,894.00,902.66,,
Tokyo:,,
,
Nikkei 225 Index,Closed,9889.72,"10,005.90","10,010.39","10,132.11",,
Nikkei high,–,9945.72,"10,042.75","10,026.18","10,149.18",,
Nikkei low,–,9889.72,9986.33,9974.00,"10,076.53",,
Nikkei 300 Index,–,172.88,174.36,174.31,176.10,,
Topix Index,–,853.75,860.66,860.11,868.81,,
Nikkei vol (mil),–,1395,1539,1797,1776,,
Hong Kong:,,
,
Hang Seng Index,"21,804.75","21,902.40","22,003.69","21,987.29","22,444.80",,
China:,,
,
Shanghai A Index,2950.23,2929.58,2926.56,2896.90,2901.97,,
Korea:,,
,
Seoul KOSPI,2130.48,2130.21,2154.95,2145.04,2171.23,,
Taiwan:,,
,
TAIEX Index,8538.57,8524.57,8706.17,8717.14,8765.32,,
Singapore:,,
,
Straits Times Index,3078.95,3096.12,3126.53,3138.51,3182.95,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1562.58,1555.64,1562.59,1565.81,1565.06,,
Indonesia:,,
,
JSX Composite Index,4032.97,4023.42,4050.63,4068.07,4106.82,,
India:,,
,
BSE Sensex Index,"18,507.04","18,653.87","18,502.38","18,436.19","18,722.30",,
Thailand:,,
,
FTSE SET Index,1083.94,1096.77,1101.37,1104.15,1121.04,,
Philippines:,,
,
Manila PSE Index,4476.01,4485.65,4507.04,4480.01,4478.36,,
World:,,
,
MSCI World,1297.04,1316.54,,1343.72,1348.70,,
Comm Research Index,344.00,346.72,346.47,345.46,348.12,,
Moody's Comm Index,7095.88,7094.63,7121.07,7117.84,7094.59,,
LME Index,4231.8,4303.5,4270.8,4252.1,4272.5,,
,
Source: Thomson Reuters,
