Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-06-17T17:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,,
New York:,,
,
DJ Indust,"12,411.23","12,573.80","12,496.38","12,651.91","12,767.17",,
DJ Opening,"12,553.81","12,412.07","12,566.38","12,497.89","12,652.21",,
Day's High,"12,650.47","12,577.02","12,598.25","12,698.68","12,774.70",,
Day's low,"12,398.48","12,411.91","12,453.69","12,497.66","12,651.38",,
Nasdaq Comp,2809.73,2843.07,2818.61,2836.33,2872.80,,
S&P 500 Index,1308.93,1324.18,1314.88,1329.1,1342.84,,
Wilshire 5000,"13,781.50","13,753.46","13,794.58","13,796.01","13,903.81",,
NYSE volume ('000),"73,882","72,100","70,333","77,730","1,511,087",,
NYSE rises,614,2341,942,2129,2062,,
NYSE falls,2398,654,2048,898,913,,
Transport,4991.93,5035.06,5006.50,5057.20,5091.24,,
NYSE Comp,7459.27,7557.82,7506.42,7582.83,7664.27,,
AMEX Index,2240.24,2277.61,2274.35,2281.41,2288.54,,
Canada:,,
,
DJ S&P TSX Index,"11,401.78","11,497.30","11,497.87","11,466.42","11,524.90",,
London:,,
,
FTSE 100 Index,5432.37,5473.74,5483.81,5467.05,5478.81,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2137.70,2143.38,2143.50,2148.21,2181.23,,
Germany:,,
,
German Xetra Dax,6141.05,6161.24,6152.49,6138.61,6229.41,,
France:,,
,
CAC Index,3042.76,3046.91,3030.04,3032.45,3087.62,,
Switzerland:,,
,
Swiss Market Index,5871.35,5919.88,5944.69,5908.51,5911.82,,
Johannesburg:,,
,
FTSE JSE All Share Index,"33,616.57","33,855.46","34,037.83","33,826.01","33,959.87",,
JSE Africa Gold Index,2566.26,2607.57,2591.76,2551.62,2550.46,,
Italy:,,
,
FTSE Italia All Share Index,"14,047.45","13,950.06","13,861.38","14,036.66","14,350.75",,
Spain:,,
,
IBEX 35,6516.4,6522.5,6615.3,6696.0,6719.0,,
New Zealand:,,
,
NZ Top 50 Capital,3454.24,3425.60,3381.73,3416.09,3447.07,,
NZ Top 10 Capital,873.32,865.36,849.66,862.84,874.16,,
Tokyo:,,
,
Nikkei 225 Index,8624.90,8536.72,8587.84,8568.89,8569.32,,
Nikkei high,8665.80,8575.87,8615.89,8592.17,8625.19,,
Nikkei low,8594.58,8452.50,8554.14,8520.99,8552.75,,
Nikkei 300 Index,147.72,146.38,146.90,146.72,146.87,,
Topix Index,730.07,724.37,726.44,725.66,726.57,,
Nikkei vol (mil),n/a,1552,1429,1392,1477,,
Hong Kong:,,
,
Hang Seng Index,"18,953.63","18,872.56","19,026.52","18,808.40","19,233.94",,
China:,,
,
Shanghai A Index,2415.40,2398.40,2428.85,2404.71,2416.02,,
Korea:,,
,
Seoul KOSPI,1867.04,1854.74,1859.32,1871.48,1858.16,,
Taiwan:,,
,
TAIEX Index,7120.23,7072.08,7088.83,7075.10,7155.83,,
Singapore:,,
,
Straits Times Index,2787.81,2797.08,2786.88,2773.81,2811.00,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1578.41,1576.07,1576.23,1570.94,1579.23,,
Indonesia:,,
,
JSX Composite Index,3866.21,3852.58,3860.46,3791.62,3818.11,,
India:,,
,
BSE Sensex Index,"16,668.01","16,862.80","16,880.51","16,677.88","16,949.83",,
Thailand:,,
,
FTSE SET Index,1158.07,1162.93,1158.22,1153.01,1165.73,,
Philippines:,,
,
Manila PSE Index,5075.85,Closed,5109.61,5020.85,4930.63,,
World:,,
,
MSCI World,1184.10,1191.92,1190.17,1196.00,1208.53,,
Comm Research Index,271.02,271.12,269.55,272.33,272.50,,
Moody's Comm Index,5897.27,5918.32,5896.88,5892.54,5890.43,,
LME Index,3220.7,3209.8,3202.6,3210.7,3231.3,,
,
Source: Thomson Reuters,
