Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-05-02T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 27,Apr 28,Apr 29,Apr 30,May 1,,
New York:,,
,
DJ Indust,"18,037.97","18,110.14","18,035.53","17,840.52","18,024.06",,
DJ Opening,"18,097.89","18,035.90","18,093.69","18,033.33","17,859.27",,
Day's High,"18,175.56","18,119.65","18,096.46","18,033.33","18,028.89",,
Day's low,"18,024.66","17,917.36","17,953.69","17,774.89","17,859.27",,
Nasdaq Comp,5060.25,5055.42,5023.64,4941.42,5005.39,,
S&P 500 Index,2108.92,2114.76,2106.85,2085.51,2108.29,,
Wilshire 5000,"22,316.00","22,367.19","22,277.02","22,034.29","22,247.99",,
NYSE volume ('000),799617,785559,867719,1076631,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8803.85,8810.35,8701.47,8592.89,8737.00,,
NYSE Comp,"11,167.31","11,203.08","11,154.11","11,049.74","11,140.36",,
AMEX Index,2533.52,2534.42,2509.96,2485.23,2491.14,,
Canada:,,
,
DJ S&P TSX Index,"15,344.08","15,346.07","15,347.34","15,224.52","15,339.77",,
London:,,
,
FTSE 100 Index,7103.98,7030.53,6946.28,6960.63,6985.95,,
Europe:,,
,
EURO STOXX 50 Index,3771.45,3715.42,3617.11,3615.59,3615.59,,
Germany:,,
,
German Xetra Dax,"12,039.16","11,811.66","11,432.72","11,454.38",Closed,,
France:,,
,
CAC Index,5268.91,5173.38,5039.39,5046.49,Closed,,
Switzerland:,,
,
Swiss Market Index,9349.18,9259.81,9105.05,9077.12,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"55,039.29","54,541.74","54,440.43",Closed,,
JSE Africa Gold Index,–,1354.59,1360.98,1352.61,Closed,,
Italy:,,
,
FTSE Italia All Share Index,"25,387.34","25,123.38","24,564.47","24,620.01",Closed,,
Spain:,,
,
IBEX 35,"11,640.2","11,607.7","11,378.9","11,385.0",Closed,,
New Zealand:,,
,
NZ Top 50 Capital,Closed,5769.65,5740.82,5791.34,5797.40,,
NZ Top 10 Capital,–,1190.96,1187.41,1201.72,1202.43,,
Tokyo:,,
,
Nikkei 225 Index,"19,983.32","20,058.95",Closed,"19,520.01","19,531.63",,
Nikkei high,"20,069.24","20,133.78",–,"19,852.66","19,549.39",,
Nikkei low,"19,909.86","20,031.71",–,"19,502.61","19,399.16",,
Nikkei 300 Index,329.72,331.60,–,323.68,322.55,,
Topix Index,1619.07,1627.43,–,1592.79,1585.61,,
Hong Kong:,,
,
Hang Seng Index,"28,433.59","28,442.75","28,400.34","28,133.00",Closed,,
China:,,
,
Shanghai A Index,4744.09,4690.63,4690.78,4653.83,Closed,,
Korea:,,
,
Seoul KOSPI,2157.54,2147.67,2142.63,2127.17,Closed,,
Taiwan:,,
,
TAIEX Index,9973.12,9956.83,9853.83,9820.05,Closed,,
Singapore:,,
,
Straits Times Index,3515.85,3495.09,3487.15,3487.39,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1859.58,1855.06,1842.93,1818.27,Closed,,
Indonesia:,,
,
JSX Composite Index,5245.45,5242.16,5105.56,5086.43,Closed,,
India:,,
,
BSE Sensex Index,"27,176.99","27,396.38","27,225.93","27,011.31",Closed,,
Thailand:,,
,
FTSE SET Index,1548.83,1531.53,1522.47,1526.74,Closed,,
Philippines:,,
,
Manila PSE Index,7958.07,7886.57,7825.47,7714.82,Closed,,
World:,,
,
MSCI World,1801.57,1803.39,1795.88,1778.40,1787.40,,
Comm Research Index,224.54,225.26,227.87,230.07,228.53,,
Moody's Comm Index,5387.59,5413.33,5429.72,5458.04,5458.04,,
LME Index,2829.5,2848.1,2858.8,2938.8,2944.1,,
,
Source: Thomson Reuters,
