Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-01-02T18:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 26,Dec 27,Dec 28,Dec 29,Dec 30,,
New York:,,
,
DJ Indust,Closed,"12,291.35","12,151.41","12,287.04","12,217.56",,
DJ Opening,–,"12,293.47","12,288.85","12,152.09","12,286.13",,
Day's High,–,"12,328.47","12,299.11","12,293.96","12,290.06",,
Day's low,–,"12,269.97","12,140.17","12,152.09","12,213.78",,
Nasdaq Comp,Closed,2625.20,2589.98,2613.74,2605.15,,
S&P 500 Index,Closed,1265.43,1249.64,1263.02,1257.6,,
Wilshire 5000,Closed,"13,203.07","13,021.09","13,163.14","13,109.55",,
NYSE volume ('000),Closed,"58,534","52,969","53,854","49,176",,
NYSE rises,–,1418,2367,597,1513,,
NYSE falls,–,1566,631,2387,1441,,
Transport,Closed,5054.43,4974.01,5042.29,5019.69,,
NYSE Comp,Closed,7508.37,7396.99,7485.63,7477.03,,
AMEX Index,Closed, 2265.62,2249.45,2266.13,2278.33,,
Canada:,,
,
DJ S&P TSX Index,Closed,Closed,"11,728.41","11,841.70","11,955.09",,
London:,,
,
FTSE 100 Index,Closed,Closed,5507.40,5566.77,5572.28,,
Europe:,,
,
DJ Euro Stoxx 50 Index,Closed,2290.31,2255.03,2292.28,2316.55,,
Germany:,,
,
German Xetra Dax,Closed,5889.76,5771.27,5848.78,5898.35,,
France:,,
,
CAC Index,Closed,3103.11,3071.08,3127.56,3159.81,,
Switzerland:,,
,
Swiss Market Index,Closed,5886.91,5895.25,5896.60,5936.23,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,Closed,"32,092.87","31,995.87","31,985.67",,
JSE Africa Gold Index,Closed,Closed,2862.16,2821.87,2847.23,,
Italy:,,
,
FTSE Italia All Share Index,Closed,"15,675.77","15,557.90","15,667.15","15,850.49",,
Spain:,,
,
IBEX 35,Closed,8529.6,8358.4,8487.9,8566.3,,
New Zealand:,,
,
NZ Top 50 Capital,Closed,Closed,3236.90,3246.25,3274.71,,
NZ Top 10 Capital,Closed,Closed,840.03,845.23,854.58,,
Tokyo:,,
,
Nikkei 225 Index,8479.34,8440.56,8423.62,8398.89,8455.35,,
Nikkei high,8516.53,8458.26,8456.66,8404.89,8455.35,,
Nikkei low,8477.37,8428.53,8414.90,8330.87,8415.56,,
Nikkei 300 Index,146.73,146.35,145.84,145.91,147.12,,
Topix Index,726.44,724.25,721.45,722.12,728.61,,
Nikkei vol (mil),n/a,807.17,1007.41,972.90,838.67,,
Hong Kong:,,
,
Hang Seng Index,Closed,Closed,"18,518.67","18,397.92","18,434.39",,
China:,,
,
Shanghai A Index,2294.31,2269.37,2273.30,2277.03,2304.12,,
Korea:,,
,
Seoul KOSPI,1856.70,1842.02,1825.12,1825.74,Closed,,
Taiwan:,,
,
TAIEX Index,7092.58,7085.03,7056.67,7074.82,7072.08,,
Singapore:,,
,
Straits Times Index,Closed,2673.62,2666.25,2672.78,2646.35,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,1500.91,1504.11,1506.69,1530.73,,
Indonesia:,,
,
JSX Composite Index,Closed,3789.43,3769.21,3808.77,3821.99,,
India:,,
,
BSE Sensex Index,"15,970.75","15,873.95","15,727.85","15,543.93","15,454.92",,
Thailand:,,
,
FTSE SET Index,1032.51,1028.38,1028.19,1023.91,1025.32,,
Philippines:,,
,
Manila PSE Index,4387.06,4361.43,4336.63,4371.96,Closed,,
World:,,
,
MSCI World,1182.85,1183.59,1167.96,1177.56,1182.59,,
Comm Research Index,Closed,308.47,305.69,304.75,305.49,,
Moody's Comm Index,Closed,5973.52,5963.37,5963.37,Closed,,
LME Index,Closed,Closed,3240.8,3238.7,3306.0,,
,
Source: Thomson Reuters,
