Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2013-01-28T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,,
New York:,,
,
DJ Indust,Closed,"13,712.21","13,779.33","13,825.33","13,895.98",,
DJ Opening,Closed,"13,649.70","13,712.21","13,779.33","13,825.33",,
Day's High,Closed,"13,712.21","13,794.29","13,879.66","13,895.98",,
Day's low,Closed,"13,622.96","13,710.13","13,779.33","13,825.33",,
Nasdaq Comp,Closed,3143.18,3153.67,3130.38,3149.71,,
S&P 500 Index,Closed,"1,492.56","1,494.81","1,494.82","1,502.96",,
Wilshire 5000,Closed,"15,754.42","15,770.21","15,785.33","15,878.72",,
NYSE volume ('000),Closed,"98,343","69,737"," 63,769","67,602",,
NYSE rises,Closed,1943,2074,1415 ,1649,,
NYSE falls,Closed,1017,913,1536,1313,,
Transport,Closed,5757.44,5759.59,5854.94,5870.05,,
NYSE Comp,Closed,8832.75,8828.66,8856.59,8904.52,,
AMEX Index,Closed,2391.44,2413.19,2399.65,2408.82,,
Canada:,,
,
DJ S&P TSX Index,"12,794.25","12,824.63","12,794.05","12,823.62","12,816.63",,
London:,,
,
FTSE 100 Index,6180.98,6179.17,6197.64,6264.91,6284.45,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2726.63,2716.70,2708.28,2722.96,2744.18,,
Germany:,,
,
German Xetra Dax,7748.86,7696.21,7707.54,7748.13,7857.97,,
France:,,
,
CAC Index,3763.03,3741.01,3726.17,3752.17,3778.16,,
Switzerland:,,
,
Swiss Market Index,7336.05,7291.85,7391.95,7457.74,7458.66,,
Johannesburg:,,
,
FTSE JSE All Share Index,"39,989.57","39,912.45","40,185.19","40,604.59","40,538.96",,
JSE Africa Gold Index,2272.08,2270.64,2304.15,2294.95,2217.08,,
Italy:,,
,
FTSE Italia All Share Index,"18,622.54","18,710.22","18,582.40","18,750.87","18,711.31",,
Spain:,,
,
IBEX 35,8665.9,8632.1,8613.3,8665.6,8724.6,,
New Zealand:,,
,
NZ Top 50 Capital,4185.18,4187.08,4187.72,4189.91,4199.82,,
NZ Top 10 Capital,1012.17,1012.23,1010.96,1010.37,1015.85,,
Tokyo:,,
,
Nikkei 225 Index,"10,747.74","10,709.93","10,486.99","10,620.87","10,926.65",,
Nikkei high,"10,941.45","10,859.42","10,663.09","10,634.74","10,926.65",,
Nikkei low,"10,747.74","10,615.20","10,486.99","10,441.11","10,790.95",,
Nikkei 300 Index,183.31,182.54,179.72,181.67,185.80,,
Topix Index,905.16,901.15,887.79,897.62,917.09,,
Hong Kong:,,
,
Hang Seng Index,"23,590.91","23,658.99","23,635.10","23,598.90","23,580.43",,
China:,,
,
Shanghai A Index,2436.86,2423.06,2429.00,2410.05,2398.29,,
Korea:,,
,
Seoul KOSPI,1986.86,1996.52,1980.41,1964.48,1946.69,,
Taiwan:,,
,
TAIEX Index,7724.92,7759.10,7744.18,7695.99,7672.58,,
Singapore:,,
,
Straits Times Index,3221.32,3219.86,3231.23,3248.39,3269.31,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1635.63,1628.66,1635.25,Closed,1637.13,,
Indonesia:,,
,
JSX Composite Index,4439.97,4416.55,4418.73,Closed,4437.60,,
India:,,
,
BSE Sensex Index,"20,101.82","19,981.57","20,026.61","19,923.78","20,103.53",,
Thailand:,,
,
FTSE SET Index,1440.48,1434.09,1439.20,1449.09,1461.41,,
Philippines:,,
,
Manila PSE Index,6171.70,6104.90,6092.53,6117.27,6167.64,,
World:,,
,
MSCI World,1389.58,1393.62,1393.04,1396.14,1396.1,,
Comm Research Index,Closed,301.98,301.07,300.90,299.79,,
Moody's Comm Index,Closed,6446.14,6498.54,6462.48,6475.96,,
LME Index,3483.9,3515.1,3518.4,3516.7,3484.1,,
,
Source: Thomson Reuters,
