Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-09-23T16:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,,
New York:,,
,
DJ Indust,"13,553.10","13,564.64","13,577.96","13,596.93","13,579.47",,
DJ Opening,"13,588.57","13,552.33","13,565.41","13,575.17","13,597.24",,
Day's High,"13,593.15","13,582.12","13,626.48","13,599.02","13,647.10",,
Day's low,"13,526.67","13,517.81","13,556.74","13,503.00","13,571.53",,
Nasdaq Comp,3178.67,3177.80,3182.62,3175.96,3179.96,,
S&P 500 Index,1461.19,1459.32,1461.05,1460.26,1460.15,,
Wilshire 5000,"15,268.27","15,230.57","15,259.31","15,175.68","15,254.58",,
NYSE volume ('000),"66,318","62,971","63,988","67,500","1,808,240",,
NYSE rises,925,1318,1714,1170,1754,,
NYSE falls,2044,1658,1247,1787,1224,,
Transport,5140.46,5083.00,5103.08,4961.69,4910.79,,
NYSE Comp,8408.97,8387.44,8400.49,8372.91,8377.51,,
AMEX Index,2457.87,2490.15,2488.90,2484.34,2487.24,,
Canada:,,
,
DJ S&P TSX Index,"12,446.86","12,422.71","12,436.16","12,409.25","12,383.60",,
London:,,
,
FTSE 100 Index,5893.52,5868.16,5888.48,5854.64,5852.62,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2583.57,2553.40,2567.67,2553.03,2577.08,,
Germany:,,
,
German Xetra Dax,7403.69,7347.69,7390.76,7389.49,7451.62,,
France:,,
,
CAC Index,3553.69,3512.69,3531.82,3509.92,3530.72,,
Switzerland:,,
,
Swiss Market Index,6552.32,6537.10,6570.72,6556.49,6605.82,,
Johannesburg:,,
,
FTSE JSE All Share Index,"36,362.58","36,445.75","36,463.14","36,359.98","36,206.33",,
JSE Africa Gold Index,2398.43,2431.73,2491.32,2491.25,2457.96,,
Italy:,,
,
FTSE Italia All Share Index,"17,360.06","16,997.30","17,036.97","16,769.69","16,952.61",,
Spain:,,
,
IBEX 35,8148.0,8058.3,8098.8,8022.1,8230.7,,
New Zealand:,,
,
NZ Top 50 Capital,3817.23,3804.48,3797.90,3819.28,3809.57,,
NZ Top 10 Capital,940.87,937.01,924.84,930.99,929.53,,
Tokyo:,,
,
Nikkei 225 Index,Closed,9123.77,9232.21,9086.98,9110.00,,
Nikkei high,–,9180.44,9288.53,9215.57,9159.33,,
Nikkei low,–,9120.61,9140.75,9079.19,9103.95,,
Nikkei 300 Index,–,154.40,155.72,153.62,154.12,,
Topix Index,–,758.36,764.80,753.81,756.38,,
Nikkei vol (mil),2495,1797,2075,1900,1610,,
Hong Kong:,,
,
Hang Seng Index,"20,658.11","20,601.93","20,841.91","20,590.92","20,734.94",,
China:,,
,
Shanghai A Index,2176.70,2156.81,2165.43,2120.36,2122.30,,
Korea:,,
,
Seoul KOSPI,2002.35,2004.96,2007.88,1990.33,2002.37,,
Taiwan:,,
,
TAIEX Index,7762.22,7734.26,7781.91,7727.55,7754.59,,
Singapore:,,
,
Straits Times Index,3078.72,3067.98,3075.63,3062.61,3078.23,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,1640.33,1646.11,1625.59,1623.70,,
Indonesia:,,
,
JSX Composite Index,4255.28,4223.89,4244.71,4217.52,4244.62,,
India:,,
,
BSE Sensex Index,"18,542.31","18,496.01",Closed,"18,349.25",18752.83,,
Thailand:,,
,
FTSE SET Index,1278.54,1272.86,1285.46,1282.68,1286.26,,
Philippines:,,
,
Manila PSE Index,5350.90,5331.13,5317.03,5294.97,5292.06,,
World:,,
,
MSCI World,1342.31,1337.16,1341.50,1334.48,1338.05,,
Comm Research Index,314.86,311.95,308.80,307.32,309.37,,
Moody's Comm Index,6676.36,6650.10,6652.85,6664.03,6599.36,,
LME Index,3580.3,3579.6,3579.4,3546.3,3559.9,,
,
Source: Thomson Reuters,
