Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2012-11-13T11:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 5,Nov 6,Nov 7,Nov 8,Nov 9,,
New York:,,
,
DJ Indust,"13,112.44","13,245.68","12,932.73","12,811.32","12,815.39",,
DJ Opening,"13,092.28","13,113.89","13,228.24","12,932.81","12,811.17",,
Day's High,"13,140.58","13,290.75","13,228.32","12,980.23","12,890.19",,
Day's low,"13,038.71","13,112.90","12,876.60","12,811.24","12,743.39",,
Nasdaq Comp,2999.66,3011.93,2937.29,2895.58,2904.87,,
S&P 500 Index,1417.26,1428.39,1394.53,1377.51,1379.85,,
Wilshire 5000,"14,753.52","14,853.95","14,559.46","14,511.52","14,453.58",,
NYSE volume ('000),"59,850","67,042"," 87,560","75,666","73,833",,
NYSE rises,1522,2100,553,807,1428,,
NYSE falls,1428,865,2464,2216,1552,,
Transport,5123.86,5203.64,5103.52,5054.27,5018.28,,
NYSE Comp,8240.26,8312.35,8138.81,8050.83,8053.57,,
AMEX Index,2371.40,2398.33,2380.68,2382.36,2385.40,,
Canada:,,
,
DJ S&P TSX Index,"12,352.78","12,361.20","12,230.59","12,191.05","12,196.80",,
London:,,
,
FTSE 100 Index,5839.06,5884.90,5791.63,5776.05,5769.68,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2517.67,2535.94,2479.10,2479.13,2479.82,,
Germany:,,
,
German Xetra Dax,7326.47,7377.76,7232.83,7204.96,7163.50,,
France:,,
,
CAC Index,3448.50,3478.66,3409.59,3407.68,3423.57,,
Switzerland:,,
,
Swiss Market Index,6706.27,6745.74,6697.63,6713.62,6715.20,,
Johannesburg:,,
,
FTSE JSE All Share Index,"37,579.38","37,597.68","37,471.69","37,592.86","37,344.40",,
JSE Africa Gold Index,2386.33,2377.05,2483.96,2440.79,2466.27,,
Italy:,,
,
FTSE Italia All Share Index,"16,454.44","16,594.19","16,206.33","16,102.66","16,086.10",,
Spain:,,
,
IBEX 35,7818.6,7837.6,7660.7,7624.1,7636.6,,
New Zealand:,,
,
NZ Top 50 Capital,3908.27,3927.67,3943.10,3955.25,3957.92,,
NZ Top 10 Capital,936.54,941.05,943.78,947.80,947.89,,
Tokyo:,,
,
Nikkei 225 Index,9007.44,8975.15,8972.89,8837.15,8757.60,,
Nikkei high,9040.18,8990.35,9032.32,8891.08,8779.24,,
Nikkei low,8984.69,8957.49,8924.41,8811.41,8729.45,,
Nikkei 300 Index,151.21,150.80,151.12,148.88,147.93,,
Topix Index,747.95,744.88,745.71,735.35,730.74,,
Nikkei vol (mil),1460.30,1532.06,1856.27,1573.17,1521.17,,
Hong Kong:,,
,
Hang Seng Index,"22,006.40","21,944.43","22,099.85","21,566.91","21,384.38",,
China:,,
,
Shanghai A Index,2213.84,2205.43,2205.17,2169.23,2166.64,,
Korea:,,
,
Seoul KOSPI,1908.22,1928.17,1937.55,1914.41,1904.41,,
Taiwan:,,
,
TAIEX Index,7185.36,7236.68,7287.18,7242.63,7293.22,,
Singapore:,,
,
Straits Times Index,3031.69,3019.33,3043.27,3012.25,3009.56,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1654.04,1645.63,1645.53,1641.07,1641.08,,
Indonesia:,,
,
JSX Composite Index,4302.94,4314.27,4350.42,4327.87,4333.64,,
India:,,
,
BSE Sensex Index,"18,762.87","18,817.38","18,902.41","18,846.26","18,683.68",,
Thailand:,,
,
FTSE SET Index,1306.70,1300.84,1299.74,1293.70,1290.83,,
Philippines:,,
,
Manila PSE Index,5457.82,5473.61,5437.29,5446.71,5468.79,,
World:,,
,
MSCI World,1303.37,1311.42,1289.11,1276.73,1276.0,,
Comm Research Index,292.72,297.59,291.90,292.28,292.63,,
Moody's Comm Index,6314.41,6265.59,6285.81,6282.11,6302.01,,
LME Index,3251.4,3281.0,3256.0,3273.7,3245.4,,
,
Source: Thomson Reuters,
