Weekly Roundup - Overseas Indices,,,,,,
XAO 4890.1 at 16:38 26/3/2010  Report at 19:08 Friday 26/3/2010. Processed 19:03 Sunday 28/3/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,
NEW YORK:,,,,,,
"""DJ Indust         ","10,785.89","10,888.83","10,836.15","10,841.21","10,850.36",""""
"""DJ Opening    ","10,741.00","10,787.18","10,887.62","10,837.51","10,841.29",""""
"""Day's High      ","10,809.85","10,893.89","10,887.84","10,955.48","10,909.38",""""
"""Day's low         ","10,695.13","10,784.76","10,825.42","10,834.19","10,816.40",""""
Nasdaq Comp       ,2395.4,2415.24,2398.76,2397.41,2395.13,
S&P 500 Index     ,1165.81,1174.17,1167.72,1165.73,1166.59,
"""Wilshire 5000    ","12,137.80","12,229.35","12,158.76","12,127.51","12,133.00",""""
"""NYSE volume ('000)      ","95,388","98,368","1,022,760","1,152,883","1,028,737",""""
NYSE rises        ,2005,2195,1020,1256,1528,
NYSE falls        ,1015,815,2007,1779,1489,
Transport         ,4381.31,4410.39,4362.06,4334.55,4339.91,
NYSE Comp         ,7419.02,7478.76,7408.16,7385.6,7403.58,
AMEX Index        ,1889.38,1896.1,1875.44,1867.07,1876.14,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,967.17","12,044.54","11,962.97","11,958.11","11,957.37",""""
LONDON:,,,,,,
FT 100 Index      ,5644.54,5673.63,5677.88,5727.65,5703.02,
EUROPE:,,,,,,
"""DJ Euro Stoxx 50 Index  ",2890.75,2910.52,2903.94,2948.09,"2,940.94",""""
GERMANY:,,,,,,
German Xetra Dax  ,5987.5,6017.27,6039,6132.95,6120.05,
FRANCE:,,,,,,
CAC Index         ,3928,3952.55,3949.81,4000.48,3988.93,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6866.43,6877.16,6879.95,6894.17,6838.95,
JOHANNESBURG:,,,,,,
"""All Share Index   ",closed   ,"28,451.01","28,401.68","28,555.53","28,583.45",""""
JSE Africa Gold Index        ,       ,2219.57,2195.37,2188.32,2175.64,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,121.95","23,281.31","23,309.37","23,539.62","23,563.06",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,861.90","10,996.20","10,866.30","11,091.40","11,071.10",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3233.3,3228.4,3232.72,3237.55,3240.48,
NZ Top 10 Capital   ,852.39,850.2,848.95,851.47,853.53,
TOKYO:,,,,,,
"""Nikkei 225 Index  ",closed   ,"10,774.15","10,815.03","10,828.85","10,996.37",""""
"""Nikkei high       ",        ,"10,817.78","10,880.62","10,872.45","11,001.59",""""
"""Nikkei low        ",        ,"10,766.65","10,769.18","10,808.71","10,889.33",""""
Nikkei 300 Index  ,       ,192.8,193.88,193.89,196.81,
Topix Index       ,       ,947.37,951.97,952.13,966.72,
Nikkei vol (mil)  ,       ,1719,1893,1903,1800,
HONG KONG:,,,,,,
"""Hang Seng Index    ","20,933.25","20,987.78","21,008.62","20,778.55","21,053.11",""""
 CHINA:,,,,,,
Shanghai A Index  ,3223.86,3201.33,3205.15,3165.61,3208.22,
KOREA:,,,,,,
Seoul KOSPI     ,1672.67,1681.82,1681.01,1688.39,1697.72,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,410.57","17,451.02",closed     ,"17,558.85","17,644.76",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2889.18,2905.66,2886.36,2888.37,2906.28,
MALAYSIA:,,,,,,
KL Composite Index   ,1293.65,1304.85,1309.45,1312.48,1315.14,
INDONESIA:,,,,,,
JSX Composite Index      ,2702.4,2720.86,2774.85,2799.15,2813.08,
THAILAND:,,,,,,
Bangkok SET Index         ,772.25,782.48,786.54,784.38,778.86,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3083.89,3129.24,3166.6,3171.14,3180.68,
TAIWAN:,,,,,,
TAIEX Index   ,7835.98,7811.87,7822.71,7838.1,7876.86,
WORLD:,,,,,,
MSCI World        ,1193.5,1200.9,1190.3,1199.6,1193.41,
Comm Research Index    ,272.28,271.71,269.48,267.86,267.32,
Moody's Comm Index   ,4804.88,4797.28,4775.6,4735.67,4727.26,
LME Index        ,3446.3,3440.5,3398.6,3428.9,3463.7,
