Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-09-21T14:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,,
New York:,,
,
DJ Indust,"15,494.78","15,529.73","15,676.94","15,636.55","15,451.09",,
DJ Opening,"15,381.36","15,503.15","15,533.03","15,677.86","15,635.09",,
Day's High,"15,549.87","15,555.07","15,709.58","15,695.89","15,654.77",,
Day's low,"15,381.36","15,503.15","15,470.16","15,625.45","15,448.09",,
Nasdaq Comp,3717.85,3745.70,3783.64,3789.38,3774.73,,
S&P 500 Index,1697.60,1704.76,1725.52,1722.34,1709.91,,
Wilshire 5000,"18,051.21","18,143.13","18,358.21","18,337.93","18,216.53",,
NYSE volume ('000),"65,328,800","57,657,900","81,746,800","73,723,800","2,046,333,000",,
NYSE rises,2027,2006,2620,1248,843,,
NYSE falls,951, 981,428,1740,2167,,
Transport,6597.15,6604.57,6706.44,6726.94,6692.26,,
NYSE Comp,9704.47,9738.93,9887.88,9854.76,9769.73,,
AMEX Index,2359.65,2370.24,2405.82,2404.75,2377.33,,
Canada:,,
,
DJ S&P TSX Index,"12,816.88","12,834.11","12,931.40","12,926.78","12,806.47",,
London:,,
,
FTSE 100 Index,6622.86,6570.17,6558.82,6625.39,6596.43,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2894.64,2890.95,2908.92,2936.20,2927.19,,
Germany:,,
,
German Xetra Dax,8613.00,8596.95,8636.06,8694.18,8675.73,,
France:,,
,
CAC Index,4152.22,4145.51,4170.40,4206.04,4203.66,,
Switzerland:,,
,
Swiss Market Index,8029.38,8014.47,8052.57,8092.29,8105.39,,
Johannesburg:,,
,
FTSE JSE All Share Index,"43,594.92","43,762.87","43,371.44","44,302.94","44,094.31",,
JSE Africa Gold Index,1179.43,1193.67,1182.66,1266.47,1229.74,,
Italy:,,
,
FTSE Italia All Share Index,"18,785.15","18,809.30","18,862.72","19,108.66","19,039.21",,
Spain:,,
,
IBEX 35,8999.5,8992.0,9062.5,9153.7,9171.8,,
New Zealand:,,
,
NZ Top 50 Capital,4693.62,4698.03,4703.83,4753.04,4730.38,,
NZ Top 10 Capital,1120.25,1120.81,1116.80,1128.14,1117.37,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"14,311.67","14,505.36","14,766.18","14,742.42",,
Nikkei high,–,"14,474.53","14,625.97","14,766.18","14,816.65",,
Nikkei low,–,"14,311.67","14,396.41","14,581.79","14,702.25",,
Nikkei 300 Index,–,240.59,243.13,247.51,248.16,,
Topix Index,–,1181.64,1193.07,1215.48,1218.98,,
Hong Kong:,,
,
Hang Seng Index,"23,252.41","23,180.52","23,117.45","23,502.51",Closed,,
China:,,
,
Shanghai A Index,2336.12,2287.94,2294.40,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,2013.37,2005.58,Closed,Closed,Closed,,
Taiwan:,,
,
TAIEX Index,8255.34,8249.78,8209.18,Closed,Closed,,
Singapore:,,
,
Straits Times Index,3179.48,3180.92,3193.85,3251.78,3237.53,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,1774.94,1771.40,1792.91,1801.83,,
Indonesia:,,
,
JSX Composite Index,4522.24,4517.62,4463.25,4670.73,4583.83,,
India:,,
,
BSE Sensex Index,"19,742.47","19,804.03","19,962.16","20,646.64","20,263.71",,
Thailand:,,
,
FTSE SET Index,1445.11,1443.78,1439.13,1489.06,1486.76,,
Philippines:,,
,
Manila PSE Index,6302.71,6344.14,6333.96,6511.70,6424.45,,
World:,,
,
MSCI World,1546.52,1547.24,1561.53,1573.13,1563.26,,
Comm Research Index,290.03,287.28,290.11,291.08,288.00,,
Moody's Comm Index,5891.55,5885.73,5854.82,5856.46,5952.42,,
LME Index,3054.8,3049.0,3083.0,3152.4,3114.3,,
,
Source: Thomson Reuters,
