Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-11-06T17:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 31,Nov 01,Nov 02,Nov 03,Nov 04,,
New York:,,
,
DJ Indust,"11,955.01","11,955.01","11,836.04","12,044.47","11,983.24",,
DJ Opening,"12,229.22","11,951.53","11,658.49","11,835.59","12,043.41",,
Day's High,"12,229.29","11,951.76","11,876.83","12,065.93","12,043.49",,
Day's low,"11,954.41","11,630.03","11,658.49","11,835.43","11,850.31",,
Nasdaq Comp,2684.41,2606.96,2639.98,2697.97,2686.15,,
S&P 500 Index,1253.3,1218.28,1237.9,1261.15,1253.23,,
Wilshire 5000,"13,123.82","12,744.4","12,965.22","13,218.18","13,146.71",,
NYSE volume ('000),"1,141,267","1,326,383","95,508","1,059,697","86,106",,
NYSE rises,551,446,2487,2339,1158,,
NYSE falls,2447,2578,496,653,1780,,
Transport,4892.57,4766.07,4827.17,4930.29,4912.17,,
NYSE Comp,7565.03,7337.15,7461.16,7605.14,7552.23,,
AMEX Index,2272.20,2233.41,2256.40,2300.34,2298.72,,
Canada:,,
,
DJ S&P TSX Index,"12,252.06","12,115.1","12,241.76","12,468.35","12,408.25",,
London:,,
,
FTSE 100 Index,5544.22,5421.57,5484.1,5545.64,5527.16,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2385.22,2259.73,2291.89,2347.94,2291.47,,
Germany:,,
,
German Xetra Dax,6141.34,5834.51,5965.63,6133.18,5966.16,,
France:,,
,
CAC Index,3242.84,3068.33,3110.59,3195.47,3123.55,,
Switzerland:,,
,
Swiss Market Index,5731.27,5588.57,5611.05,5668.05,5659.83,,
Johannesburg:,,
,
FTSE JSE All Share Index,"32,348.54","31,724.22","32,196.56","32,211.88","31,917.02",,
JSE Africa Gold Index,3055.16,3064.6,3128.8,3124.27,3103.17,,
Italy:,,
,
FTSE Italia All Share Index,"16,830.89","15,798.69","16,114.82","16,595.14","16,203.34",,
Spain:,,
,
IBEX 35,8954.9,8579.6,8574.5,8712.6,8596.4,,
New Zealand:,,
,
NZ Top 50 Capital,3332.56,3332.769,3308.89,3311.51,3331.791,,
NZ Top 10 Capital,856.75,859.972,855.032,854.433,858.761,,
Tokyo:,,
,
Nikkei 225 Index,8988.39,8835.52,8640.42,Closed,8801.4,,
Nikkei high,9152.39,8946,8719.92,Closed,8814.71,,
Nikkei low,8988.39,8831.69,8640.42,Closed,8729.08,,
Nikkei 300 Index,154.71,152.73,149.34,Closed,152.12,,
Topix Index,764.06,754.5,738.58,Closed,752.02,,
Nikkei vol (mil),1779,1467,1767,Closed,1671,,
Hong Kong:,,
,
Hang Seng Index,"19,864.87","19,369.96","19,733.71","19,242.5","19,842.79",,
China:,,
,
Shanghai A Index,2585.10,2587.0179,2622.7867,2626.9128,2648.1632,,
Korea:,,
,
Seoul KOSPI,1909.03,1909.63,1898.01,1869.96,1928.41,,
Taiwan:,,
,
TAIEX Index,7587.69,7622.01,7598.45,7460.31,7603.23,,
Singapore:,,
,
Straits Times Index,2855.77,2789.35,2834.75,2810.04,2848.24,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1491.89,1475.64,1470.95,1462.37,1477.51,,
Indonesia:,,
,
JSX Composite Index,3790.85,3685.012,3763.034,3705.81,3783.628,,
India:,,
,
BSE Sensex Index,"17,705.01","17,480.83","17,464.85","17,481.93","17,562.61",,
Thailand:,,
,
FTSE SET Index,974.75,956.59,965.8,957.56,957.31,,
Philippines:,,
,
Manila PSE Index,Closed,4333.72,4260.41,4210.25,4271.72,,
World:,,
,
MSCI World,1217.30,1174.8,1189.3,1206.8,1203.1,,
Comm Research Index,320.04,315.4282,320.2081,320.2081,320.6413,,
Moody's Comm Index,6487.32,6467.62,6365.97,6374.52,6403.06,,
LME Index,3526.1,3391.5,3458.2,3458.2,3451,,
,
Source: Thomson Reuters,
