Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Friday at 2011-04-29T16:30:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 18,Apr 19,Apr 20,Apr 21,Apr 25,,
New York:,,
,
DJ Indust,"12,201.59","12,266.75","12,453.54","12,505.99","12,479.88",,
DJ Opening,"12,339.71","12,201.44","12,266.75","12,453.62","12,505.99",,
Day's High,"12,339.79","12,275.34","12,475.53","12,506.06","12,506.22",,
Day's low,"12,093.89","12,200.30","12,263.58","12,447.56","12,446.05",,
Nasdaq Comp,2735.38,2744.97,2802.51,2820.16,2825.88,,
S&P 500 Index,1305.14,1312.62,1330.36,1337.38,1335.25,,
Wilshire 5000,"13,801.73","13,872.16","14,073.14","14,153.97","14,132.73",,
NYSE volume ('000),"1,040,481","84,733","96,590","81,129","69,555",,
NYSE rises,577,2006,2488,1960,1379,,
NYSE falls,2445,980,510,1022,1640,,
Transport,5211.81,5238.75,5258.76,5290.72,5300.81,,
NYSE Comp,8277.11,8332.03,8457.65,8504.36,8485.25,,
AMEX Index,2374.86,2403.77,2438.49,2452.74,2446.62,,
Canada:,,
,
DJ S&P TSX Index,"13,702.33","13,736.83","13,897.48","13,972.02","13,907.32",,
London:,,
,
FTSE 100 Index,5870.08,5896.87,6022.26,6018.30,Closed,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2847.96,2857.61,2921.43,2936.30,Closed,,
Germany:,,
,
German Xetra Dax,7026.85,7039.31,7249.19,7295.49,Closed,,
France:,,
,
CAC Index,3881.24,3908.58,4004.62,4021.88,Closed,,
Switzerland:,,
,
Swiss Market Index,6244.95,6326.65,6444.81,6457.16,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,388.63","31,837.06","32,526.30","32,658.86",Closed,,
JSE Africa Gold Index,2771.14,2780.03,2845.96,2823.37,–,,
Italy:,,
,
FTSE Italia All Share Index,"21,916.36","21,988.87","22,248.24","22,521.72",Closed,,
Spain:,,
,
IBEX 35,"10,344.9","10,376.5","10,535.4","10,584.1",Closed,,
New Zealand:,,
,
NZ Top 50 Capital,3465.17,3439.98,3472.80,3492.40,Closed,,
NZ Top 10 Capital,889.98,882.91,895.25,899.25,–,,
Tokyo:,,
,
Nikkei 225 Index,9556.65,9441.03,9606.82,9682.21,9671.96,,
Nikkei high,9608.92,9478.87,9631.00,9732.63,9748.40,,
Nikkei low,9539.03,9405.19,9519.36,9611.38,9657.24,,
Nikkei 300 Index,169.89,167.99,170.07,171.21,170.88,,
Topix Index,836.34,827.56,837.17,842.18,840.68,,
Nikkei vol (mil),1645,1862,1760,1683,1462,,
Hong Kong:,,
,
Hang Seng Index,"23,830.31","23,520.62","23,896.10","24,138.31",Closed,,
China:,,
,
Shanghai A Index,3201.55,3140.19,3148.50,3152.12,3104.45,,
Korea:,,
,
Seoul KOSPI,2137.72,2122.68,2169.91,2197.82,2216.00,,
Taiwan:,,
,
TAIEX Index,8714.48,8638.55,8813.28,8969.43,8950.75,,
Singapore:,,
,
Straits Times Index,3144.38,3125.37,3165.80,3194.73,3187.72,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1527.92,1521.53,1531.02,1522.75,1524.05,,
Indonesia:,,
,
JSX Composite Index,3727.07,3732.65,3794.76,3801.08,3788.54,,
India:,,
,
BSE Sensex Index,"19,091.17","19,121.83","19,470.98","19,602.23","19,584.31",,
Thailand:,,
,
FTSE SET Index,1090.67,1095.88,1107.36,1105.29,1105.43,,
Philippines:,,
,
Manila PSE Index,4269.19,4245.21,4274.77,Closed,4331.37,,
World:,,
,
MSCI World,1316.91,1324.45,1350.22,1360.95,1357.50,,
Comm Research Index,359.58,360.98,365.70,367.60,366.72,,
Moody's Comm Index,7477.32,7554.19,7443.62,7499.34,7555.12,,
LME Index,4218.3,4259.2,4348.9,4393.2,Closed,,
,
Source: Thomson Reuters,
