Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-05-03T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 28,Apr 29,Apr 30,May 1,May 2,,
New York:,,
,
DJ Indust,"16,448.74","16,535.37","16,580.84","16,558.87","16,512.89",,
DJ Opening,"16,363.20","16,451.18","16,534.86","16,580.26","16,562.34",,
Day's High,"16,500.37","16,559.39","16,592.28","16,604.79","16,620.06",,
Day's low,"16,312.66","16,451.18","16,510.87","16,525.25","16,488.31",,
Nasdaq Comp,4074.40,4103.54,4114.56,4127.45,4123.90,,
S&P 500 Index,1869.43,1878.33,1883.95,1883.68,1881.14,,
Wilshire 5000,"19,784.07","19,888.07",n/a,n/a,"19,965.98",,
NYSE volume ('000),"82,009,000","73,861,500",n/a,n/a,n/a,,
NYSE rises,1596,1820,n/a,1751,n/a,,
NYSE falls,1439,1218,n/a,1302,n/a,,
Transport,7584.34,7617.29,7672.19,7719.02,7698.84,,
NYSE Comp,"10,526.52","10,583.65","10,627.18","10,629.34","10,629.99",,
AMEX Index,2615.20,2635.91,n/a,2631.8,n/a,,
Canada:,,
,
DJ S&P TSX Index,"14,530.91","14,583.11","14,651.87","14,664.07","14,765.15",,
London:,,
,
FTSE 100 Index,6700.16,6769.91,6780.03,6808.87,6822.42,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3165.84,3208.68,3198.39,3198.66,3177.89,,
Germany:,,
,
German Xetra Dax,9446.36,9584.12,9603.23,Closed,9556.02,,
France:,,
,
CAC Index,4460.53,4497.68,4487.39,Closed,4458.17,,
Switzerland:,,
,
Swiss Market Index,8384.86,8434.66,8476.66,Closed,8442.71,,
Johannesburg:,,
,
FTSE JSE All Share Index,Closed,"48,935.36","48,870.10",Closed,"49,091.16",,
JSE Africa Gold Index,–,1543.44,1551.70,–,1545.78,,
Italy:,,
,
FTSE Italia All Share Index,"22,949.85","23,400.17","23,218.51",Closed,"23,226.55",,
Spain:,,
,
IBEX 35,"10,320.9","10,461.0","10,459.0",Closed,"10,474.5",,
New Zealand:,,
,
NZ Top 50 Capital,5115.80,5148.29,5232.68,5209.21,5232.91,,
NZ Top 10 Capital,1174.30,1183.56,1206.61,1200.68,1208.80,,
Tokyo:,,
,
Nikkei 225 Index,"14,288.23",Closed,"14,304.11","14,485.13","14,457.51",,
Nikkei high,"14,324.03",Closed,"14,421.22","14,493.03","14,473.75",,
Nikkei low,"14,224.47",Closed,"14,275.69","14,341.09","14,405.77",,
Nikkei 300 Index,235.48,Closed,235.86,239.78,239.88,,
Topix Index,1160.74,Closed,1162.44,1182.20,1182.48,,
Hong Kong:,,
,
Hang Seng Index,"22,132.53","22,453.89","22,133.97",Closed,"22,260.67",,
China:,,
,
Shanghai A Index,2097.56,2115.18,2121.41,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,1969.26,1964.77,1961.79,Closed,1959.44,,
Taiwan:,,
,
TAIEX Index,8809.71,8872.11,8791.44,Closed,8867.32,,
Singapore:,,
,
Straits Times Index,3242.71,3237.74,3264.71,Closed,3252.55,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1855.74,1859.34,1871.52,Closed,1869.08,,
Indonesia:,,
,
JSX Composite Index,4818.76,4819.68,4840.15,Closed,4838.76,,
India:,,
,
BSE Sensex Index,"22,631.61","22,466.19","22,417.80",Closed,"22,403.89",,
Thailand:,,
,
FTSE SET Index,1411.23,1412.33,1414.94,Closed,1421.48,,
Philippines:,,
,
Manila PSE Index,6604.35,6636.45,6707.91,Closed,6742.97,,
World:,,
,
MSCI World,1672.65,1682.38,1687.74,1690.39,1688.99,,
Comm Research Index,310.55,312.57,310.24,307.68,307.84,,
Moody's Comm Index,6423.00,6437.01,6409.28,6419.29,6363.97,,
LME Index,3095.8,3075.5,3052.1,3043.3,3066.3,,
,
Source: Thomson Reuters,
