Weekly Roundup - Overseas Indices,,,,,,
XAO 4685.1 at 16:41 17/9/2010  Report at 19:20 Friday 17/9/2010!. Processed 18:56 Sunday 19/9/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,
NEW YORK:,,,,,,
"""DJ Indust","10,544.13","10,526.49","10,572.73","10,594.83","10,607.85",""""
"""DJ Opening","10,458.60","10,544.73","10,526.42","10,571.75","10,595.51",""""
"""Day's High","10,567.59","10,588.32","10,587.80","10,603.69","10,650.16",""""
"""Day's low","10,458.60","10,499.70","10,480.78","10,522.48","10,567.36",""""
Nasdaq Comp,2285.71,2289.77,2301.32,2303.25,2315.61,
S&P 500 Index,1121.9,1121.1,1125.07,1124.66,1125.59,
"""Wilshire 5000","11,698.91","11,690.35","11,733.24","11,721.98","11,740.42",""""
"""NYSE volume ('000)","93,402","92,295","90,062","90,498","1,856,643",""""
NYSE rises,2297,1369,1591,1259,1774,
NYSE falls,725,1581,1406,1718,1214,
Transport,4447.44,4450.73,4474.17,4429.08,4433.66,
NYSE Comp,7156.18,7162.08,7179.79,7169.48,7154.65,
AMEX Index,1977.37,1979.18,1990.37,1987.14,1988.96,
CANADA:,,,,,,
"""DJ S&P TSX Index","12,149.86","12,192.98","12,144.84","12,173.35","12,164.56",""""
LONDON:,,,,,,
FTSE 100 Index,5565.53,5567.41,5555.56,5540.14,5508.45,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2805.06,2806.47,2794.36,2784.61,2757.37,
GERMANY:,,,,,,
German Xetra Dax,6261.68,6275.41,6261.87,6249.65,6209.76,
FRANCE:,,,,,,
CAC Index,3767.15,3774.4,3755.64,3736.3,3722.02,
SWITZERLAND:,,,,,,
Swiss Market Index,6471.77,6466.32,6434.01,6424.16,6389.02,
JOHANNESBURG:,,,,,,
"""FTSE JSE All Share Index","28,491.34","28,502.19","28,502.08","28,464.93","28,413.56",""""
JSE Africa Gold Index,2552.06,2647.48,2559.1,2582.76,2528.09,
ITALY:,,,,,,
"""FTSE Italia All Share Index","21,539.49","21,544.86","21,415.83","21,242.11","21,090.49",""""
SPAIN:,,,,,,
"""IBEX 35","10,765.20","10,806.60","10,751.80","10,716.80","10,588.60",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,3178.47,3197.52,3195.28,3195.63,3212.26,
NZ Top 10 Capital,831.54,835.16,833.78,832.77,836.24,
TOKYO:,,,,,,
Nikkei 225 Index,9321.82,9299.31,9516.56,9509.5,9626.09,
Nikkei high,9390.9,9330.05,9578.53,9620.9,9643.28,
Nikkei low,9317.3,9258.18,9199.08,9479.63,9554.36,
Nikkei 300 Index,170.38,169.77,172.82,172.06,173.55,
Topix Index,837.65,834.87,848.64,844.71,852.09,
Nikkei vol (mil),1372,1542,2358,1829,1672,
HONG KONG:,,,,,,
"""Hang Seng Index","21,658.35","21,696.04","21,725.64","21,691.45","21,970.86",""""
 CHINA:,,,,,,
Shanghai A Index,2816.52,2816.75,2778.91,2726.5,2722.57,
KOREA:,,,,,,
Seoul KOSPI,1818.86,1815.25,1823.88,1811.85,1827.35,
TAIWAN:,,,,,,
TAIEX Index,8091.3,8132.6,8163.82,8099.75,8158.33,
SINGAPORE:,,,,,,
Straits Times Index,3066.81,3048.65,3071.03,3067.11,3076.37,
MALAYSIA:,,,,,,
FTSE Bursa Malaysia KLCI,1456.96,1474.44,1472.95,Closed,1466.97,
INDONESIA:,,,,,,
JSX Composite Index,Closed,Closed,3357.03,3341.63,3384.65,
 INDIA:,,,,,,
"""BSE Sensex Index","19,208.33","19,346.96","19,502.11","19,417.49","19,594.75",""""
THAILAND:,,,,,,
FTSE SET Index,937.04,921.39,921.1,924.81,923.57,
PHILIPPINES:,,,,,,
Manila PSE Index,3972.6,3968.29,3973.48,4005.46,3979.35,
WORLD:,,,,,,
MSCI World,1154.48,1158.16,1159.21,1157.08,1156.1,
Comm Research Index,277.46,280.03,278.95,278.6,279.55,
Moody's Comm Index,5404.5,5445.43,5462.3,5489.98,5507.73,
LME Index,3489.1,3518.7,3505.4,3531.6,3542.1,
