Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-03-10T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 4,Mar 5,Mar 6,Mar 7,Mar 8,,
New York:,,
,
DJ Indust,"14,127.82","14,253.77","14,296.24","14,329.49","14,397.07",,
DJ Opening,"14,089.66","14,127.82","14,253.77","14,296.24","14,329.49",,
Day's High,"14,128.21","14,286.37","14,320.65","14,354.69","14,413.17",,
Day's low,"14,030.37","14,127.82","14,253.00","14,296.24","14,329.49",,
Nasdaq Comp,3182.03,3224.13,3222.36,3232.09,3244.37,,
S&P 500 Index,1525.20,1539.79,1541.46,1544.26,1551.18,,
Wilshire 5000,"16,103.47","16,258.46","16,276.08","16,316.49","16,397.98",,
NYSE volume ('000),"69,262","68,185","68,258","70,649","68,748",,
NYSE rises,1651,2211,1640,1728,2000,,
NYSE falls,1303,776,1319,1262,963,,
Transport,6044.67,6136.72,6110.93,6081.42,6143.48,,
NYSE Comp,8901.05,8978.09,8996.97,9013.44,9054.45,,
AMEX Index,2400.58,2405.87,2395.76,2400.81,2413.19,,
Canada:,,
,
DJ S&P TSX Index,"12,707.41","12,736.04","12,831.96","12,826.52","12,835.61",,
London:,,
,
FTSE 100 Index,6345.63,6431.95,6427.64,6439.16,6483.58,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2619.78,2683.02,2679.89,2690.85,2728.78,,
Germany:,,
,
German Xetra Dax,7691.68,7870.31,7919.33,7939.77,7986.47,,
France:,,
,
CAC Index,3709.76,3787.19,3773.76,3793.78,3840.15,,
Switzerland:,,
,
Swiss Market Index,7590.52,7718.46,7698.72,7708.96,7744.84,,
Johannesburg:,,
,
FTSE JSE All Share Index,"39,844.24","40,546.24","40,437.25","40,719.68","40,732.81",,
JSE Africa Gold Index,1864.05,1853.74,1800.64,1924.68,1900.13,,
Italy:,,
,
FTSE Italia All Share Index,"16,520.97","16,961.99","16,897.72","16,963.55","17,219.49",,
Spain:,,
,
IBEX 35,8246.3,8423.3,8358.9,8389.1,8628.1,,
New Zealand:,,
,
NZ Top 50 Capital,4253.60,4269.16,4297.97,4333.48,4354.03,,
NZ Top 10 Capital,1019.01,1024.48,1028.64,1038.59,1039.73,,
Tokyo:,,
,
Nikkei 225 Index,"11,652.29","11,683.45","11,932.27","11,968.08","12,283.62",,
Nikkei high,"11,767.68","11,779.42","11,933.82","12,069.60","12,283.62",,
Nikkei low,"11,613.59","11,666.38","11,803.09","11,946.01","12,065.09",,
Nikkei 300 Index,201.38,200.67,203.85,204.00,207.47,,
Topix Index,992.25,988.62,1003.22,1004.35,1020.50,,
Nikkei,,,,,,,
Hong Kong:,,
,
Hang Seng Index,"22,537.81","22,560.50","22,777.84","22,771.44","23,091.95",,
China:,,
,
Shanghai A Index,2379.38,2434.88,2456.71,2432.66,2426.81,,
Korea:,,
,
Seoul KOSPI,2013.15,2016.61,2020.74,2004.40,2006.01,,
Taiwan:,,
,
TAIEX Index,7867.34,7932.71,7950.30,7960.51,8015.14,,
Singapore:,,
,
Straits Times Index,3239.95,3248.26,3291.81,3298.54,3289.53,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1635.98,1642.08,1651.84,1650.93,1653.96,,
Indonesia:,,
,
JSX Composite Index,4761.46,4751.70,4824.68,4848.30,4874.50,,
India:,,
,
BSE Sensex Index,"18,877.96","19,143.17","19,252.61","19,413.54","19,683.23",,
Thailand:,,
,
FTSE SET Index,1540.72,1549.31,1559.35,1560.98,1566.92,,
Philippines:,,
,
Manila PSE Index,6637.56,6711.72,6835.21,6725.13,6833.77,,
World:,,
,
MSCI World,1404.94,1420.25,1422.26,1424.88,1428.72,,
Comm Research Index,291.21,292.07,290.32,293.22,294.88,,
Moody's Comm Index,6206.53,6239.79,6197.99,6200.70,n/a,,
LME Index,3339.8,3357.3,3322.5,3353.8,3344.9,,
,
Source: Thomson Reuters,
