Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-10-03T18:05:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 27,Sep 28,Sep 29,Sep 30,Oct 1,,
New York:,,
,
DJ Indust,"10,812.04","10,858.14","10,835.28","10,788.05","10,829.68",,
DJ Opening,"10,860.03","10,809.17","10,857.98","10,836.04","10,789.72",,
Day's High,"10,873.20","10,886.21","10,869.26","10,948.88","10,866.54",,
Day's low,"10,809.62","10,728.64","10,798.88","10,745.44","10,780.64",,
Nasdaq Comp,2369.77,2379.59,2376.56,2368.62,2370.75,,
S&P 500 Index,1142.16,1147.70,1144.73,1141.20,1146.24,,
Wilshire 5000,"11,932.12","11,999.46","11,979.31","11,947.14","11,998.68",,
NYSE volume ('000),"91,926","1,026,687","1,009,242","1,286,510","1,082,607",,
NYSE rises,1260,2114,1650,1511,2032,,
NYSE falls,1706,870,1317,1455,923,,
Transport,4508.71,4531.19,4543.97,4522.32,4509.08,,
NYSE Comp,7263.37,7310.32,7299.31,7281.07,7335.91,,
AMEX Index,2018.10,2025.18,2021.38,2021.88,2035.06,,
Canada:,,
,
DJ S&P TSX Index,"12,190.60","12,278.88","12,382.82","12,368.65","12,363.08",,
London:,,
,
FTSE 100 Index,5573.42,5578.44,5569.27,5548.62,5592.90,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2776.33,2774.62,2752.71,2747.90,2732.91,,
Germany:,,
,
German Xetra Dax,6278.89,6276.09,6246.92,6229.02,6211.34,,
France:,,
,
CAC Index,3766.16,3762.35,3737.12,3715.18,3692.09,,
Switzerland:,,
,
Swiss Market Index,6338.89,6334.38,6311.57,6296.33,6284.17,,
Johannesburg:,,
,
FTSE JSE All Share Index,"28,959.42","28,972.47","29,069.83","29,456.04","29,266.73",,
JSE Africa Gold Index,2511.02,2529.31,2528.06,2535.48,2557.19,,
Italy:,,
,
FTSE Italia All Share Index,"21,171.00","21,128.79","20,982.43","21,098.37","21,001.73",,
Spain:,,
,
IBEX 35,"10,613.0","10,590.7","10,486.8","10,514.5","10,450.1",,
New Zealand:,,
,
NZ Top 50 Capital,3239.14,3230.23,3226.88,3178.09,3212.94,,
NZ Top 10 Capital,840.53,837.94,833.43,818.19,828.01,,
Tokyo:,,
,
Nikkei 225 Index,9603.14,9495.76,9559.38,9369.35,9404.23,,
Nikkei high,9613.47,9553.91,9600.93,9566.84,9470.36,,
Nikkei low,9539.12,9471.35,9502.34,9369.35,9358.62,,
Nikkei 300 Index,173.09,171.60,172.26,168.68,168.89,,
Topix Index,849.30,842.65,846.97,829.51,829.97,,
Nikkei vol (mil),1670,1288,1754,1183,2090,,
Hong Kong:,,
,
Hang Seng Index,"22,340.84","22,109.95","22,378.67","22,358.17",Closed,,
China:,,
,
Shanghai A Index,2753.04,2735.58,2734.81,2782.02,Closed,,
Korea:,,
,
Seoul KOSPI,1860.83,1855.97,1866.45,1872.81,1876.73,,
Taiwan:,,
,
TAIEX Index,8191.54,8189.44,8240.89,8237.78,8244.18,,
Singapore:,,
,
Straits Times Index,3113.46,3097.35,3106.03,3097.63,3130.90,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1464.71,1459.64,1461.78,1463.50,1466.32,,
Indonesia:,,
,
JSX Composite Index,3468.04,3472.71,3495.46,3501.30,3547.12,,
India:,,
,
BSE Sensex Index,"20,117.38","20,104.86","19,956.34","20,069.12","20,445.04",,
Thailand:,,
,
FTSE SET Index,962.47,959.27,969.65,975.30,978.58,,
Philippines:,,
,
Manila PSE Index,4122.83,4123.95,4111.05,4100.07,4111.99,,
World:,,
,
MSCI World,1180.60,1184.13,1183.96,1179.19,1184.19,,
Comm Research Index,284.06,284.27,285.85,286.78,285.61,,
Moody's Comm Index,5643.23,5639.72,5602.24,5626.73,5627.26,,
LME Index,3633.8,3655.3,3700.5,3686.7,3726.6,,
,
Source: Thomson Reuters,
