Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-02T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jul 28,Jul 29,Jul 30,Jul 31,Aug 1,,
New York:,,
,
DJ Indust,"16,982.59","16,912.11","16,880.36","16,563.30","16,493.37",,
DJ Opening,"16,956.91","16,984.33","16,920.11","16,869.63","16,561.70",,
Day's High,"17,001.38","17,056.46","16,983.94","16,869.63","16,584.75",,
Day's low,"16,877.72","16,912.11","16,817.16","16,563.30","16,437.07",,
Nasdaq Comp,4444.91,4442.70,4462.90,4369.77,4352.64,,
S&P 500 Index,1978.91,1969.95,1970.07,1930.67,1925.15,,
Wilshire 5000,"20,895.05","20,816.36","20,830.54","20,410.81","20,346.01",,
NYSE volume ('000),n/a,n/a,n/a,n/a,n/a,,
NYSE rises,1317,1191,1174,279,n/a,,
NYSE falls,1702,1815,1854,2824,n/a,,
Transport,8332.97,8217.62,8276.54,8141.75,8120.86,,
NYSE Comp,"10,987.24","10,936.70","10,929.79","10,726.43","10,692.16",,
AMEX Index,2778.75,2774.21,2749.69,2706.92,n/a,,
Canada:,,
,
DJ S&P TSX Index,"15,445.22","15,446.55","15,524.82","15,330.74","15,215.26",,
London:,,
,
FTSE 100 Index,6788.07,6807.75,6773.44,6730.11,6679.18,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3171.55,3190.54,3169.23,3115.51,3072.57,,
Germany:,,
,
German Xetra Dax,9598.17,9653.63,9593.68,9407.48,9210.08,,
France:,,
,
CAC Index,4344.77,4365.58,4312.30,4246.14,4202.78,,
Switzerland:,,
,
Swiss Market Index,8530.09,8532.11,8497.38,8410.27,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,927.57","52,242.12","51,770.59","51,396.07","50,917.78",,
JSE Africa Gold Index,1535.05,1529.42,1512.24,1485.66,1475.20,,
Italy:,,
,
FTSE Italia All Share Index,"22,206.51","22,344.49","22,153.36","21,821.17","21,587.83",,
Spain:,,
,
IBEX 35,"10,879.8","10,901.2","10,937.4","10,707.2","10,514.0",,
New Zealand:,,
,
NZ Top 50 Capital,5187.14,5165.56,5158.55,5167.99,5109.93,,
NZ Top 10 Capital,1168.60,1157.16,1147.00,1155.82,1140.63,,
Tokyo:,,
,
Nikkei 225 Index,"15,529.40","15,618.07","15,646.23","15,620.77","15,523.11",,
Nikkei high,"15,556.62","15,632.70","15,666.62","15,759.66","15,602.13",,
Nikkei low,"15,426.98","15,556.02","15,594.89","15,618.85","15,501.15",,
Nikkei 300 Index,260.33,261.13,261.59,261.00,259.24,,
Topix Index,1286.07,1290.41,1292.24,1289.42,1281.30,,
Hong Kong:,,
,
Hang Seng Index,"24,428.63","24,640.53","24,732.21","24,756.85","24,532.43",,
China:,,
,
Shanghai A Index,2280.54,2285.96,2283.92,2305.21,2288.12,,
Korea:,,
,
Seoul KOSPI,2048.81,2061.97,2082.61,2076.12,2073.10,,
Taiwan:,,
,
TAIEX Index,9420.18,9391.88,9447.02,9315.85,9266.51,,
Singapore:,,
,
Straits Times Index,Closed,3356.08,3353.65,3374.06,3344.42,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,Closed,1878.34,1871.36,1863.34,,
Indonesia:,,
,
JSX Composite Index,Closed,Closed,Closed,Closed,Closed,,
India:,,
,
BSE Sensex Index,"25,991.23",Closed,"26,087.42","25,894.97","25,480.84",,
Thailand:,,
,
FTSE SET Index,1538.13,1520.55,1518.79,1502.39,1500.20,,
Philippines:,,
,
Manila PSE Index,6850.47,Closed,6867.59,6864.82,6894.23,,
World:,,
,
MSCI World,1748.23,1744.20,1740.20,1714.33,1705.74,,
Comm Research Index,299.02,297.34,296.81,295.13,293.17,,
Moody's Comm Index,6264.28,6214.61,6199.28,6219.63,6219.63,,
LME Index,3303.1,3275.1,3306.9,3280.9,3256.9,,
,
Source: Thomson Reuters,
