Weekly Roundup - Overseas Indices,,,,,,
XAO 4597.2 at 16:47 11/12/2009!Report at 20:15 Friday 11/12/2009 . Processed 19:10 Sunday 13/12/2009.,,,,,,



,,,,,,
,7-Dec,8-Dec,9-Dec,10-Dec,11-Dec,
NEW YORK:,,,,,,
"""DJ Indust         ","10,390.11","10,285.97","10,337.05","10,405.83","10,471.50",""""
"""DJ Opening    ","10,386.86","10,385.42","10,282.85","10,336.00","10,403.41",""""
"""Day's High      ","10,443.16","10,385.65","10,342.27","10,444.60","10,484.05",""""
"""Day's low         ","10,360.18","10,249.84","10,235.63","10,335.77","10,400.08",""""
Nasdaq Comp       ,2189.61,2172.99,2183.73,2190.86,2190.31,
S&P 500 Index     ,1103.25,1091.94,1095.95,1102.35,1106.41,
"""NYSE volume ('000)      ","1,059,012","1,178,148","1,082,521","1,062,320","1,015,481",""""
NYSE rises        ,1656,920,1644,1832,2009,
NYSE falls        ,1364,2066,1344,1197,1023,
Transport         ,4059.91,4055.11,4059.54,4072.95,4093.82,
NYSE Comp         ,7155.73,7056.26,7067.88,7104.5,7125.12,
AMEX Index        ,1788.31,1759.32,1767.88,1778.75,1779.14,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,489.63","11,368.93","11,379.22","11,464.57","11,423.93",""""
LONDON:,,,,,,
FT 100 Index      ,5310.66,5223.13,5203.89,5244.37,5261.57,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2896.23,2849.17,2818.1,2851.29,2862.32,
GERMANY:,,,,,,
German Xetra Dax  ,5784.75,5688.58,5647.84,5709.02,5756.29,
FRANCE:,,,,,,
CAC Index         ,3840.05,3785.3,3757.39,3798.38,3803.72,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6470.61,6399.74,6351.71,6410.64,6411.58,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,144.49","26,990.92","26,730.06","26,901.28","27,108.89",""""
JSE Africa Gold Index        ,2533.62,2517.06,2500.94,n/a     ,2523.04,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,207.05","22,832.61","22,650.15","22,795.61","22,824.72",""""
SPAIN:,,,,,,
"""IBEX 35  ","12,011.80","11,808.90","11,541.20","11,594.70","11,616.00",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3138.58,3137.31,3127.64,3132.28,3127.98,
NZ Top 10 Capital   ,842.48,843.2,838.93,843.54,843.28,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,167.60","10,140.47","10,004.72",9862.82,"10,107.87",""""
"""Nikkei high       ","10,204.58","10,149.32","10,048.94","10,035.92","10,107.87",""""
"""Nikkei low        ","10,106.31","10,079.81",9985.97,9834.22,9916.112,""""
Nikkei 300 Index  ,182.25,181.96,179.51,177.22,180.43,
Topix Index       ,898.93,896.7,884.94,873.9,888.57,
Nikkei vol (mil)  ,2.13,2.018,1.929,2.082,2.728,
HONG KONG:,,,,,,
"""Hang Seng Index    ","22,324.96","22,060.52","21,741.76","21,700.04","21,902.11",""""
 CHINA:,,,,,,
Shanghai A Index  ,3494.78,3457.76,3397.75,3413.22,3405.87,
KOREA:,,,,,,
Seoul KOSPI     ,1632.65,1627.78,1634.17,1652.73,1656.9,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,983.14","17,227.68","17,125.22","17,189.31","17,119.03",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2796.98,2805.5,2797.21,2781.86,2800.75,
MALAYSIA:,,,,,,
KL Composite Index   ,1265.36,1261.46,1255.76,1259.9,1260,
INDONESIA:,,,,,,
JSX Composite Index      ,2483.76,2483.89,2481.3,2486.44,2519.1,
THAILAND:,,,,,,
Bangkok SET Index         ,Closed  ,698.82,694.71,closed ,703.64
PHILIPPINES:,,,,,
Manila PSE Index         ,3046.63,3012.07,2981.25,3006.57,3031.13
TAIWAN:,,,,,
TAIEX Index   ,7775.64,7768.71,7797.42,7677.91,7795.07
WORLD:,,,,,
MSCI World        ,1167.3,1154.5,1146.5,1154.4,1153.6
Comm Research Index    ,274.18,271.9,267.75,269.52,270.86
Moody's Comm Index   ,4509.34,4485.94,4485.67,4479.87,4465.85
LME Index        ,3189.7,3192.6,3206.4,3170.5,3209.8
