Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-02-07T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,,
New York:,,
,
DJ Indust,"17,361.04","17,666.40","17,673.02","17,884.88","17,824.29",,
DJ Opening,"17,169.99","17,369.97","17,664.99","17,677.26","17,881.54",,
Day's High,"17,367.68","17,670.76","17,782.22","17,889.58","17,951.09",,
Day's low,"17,037.76","17,369.97","17,603.21","17,677.26","17,764.40",,
Nasdaq Comp,4676.69,4727.74,4716.70,4765.10,4744.40,,
S&P 500 Index,2020.85,2050.03,2041.51,2062.52,2055.47,,
Wilshire 5000,"21,310.47","21,624.78","21,536.44","21,774.50","21,705.75",,
NYSE volume ('000),911211,980155,899157,793138,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8774.11,8902.16,8884.94,8966.58,8932.47,,
NYSE Comp,"10,669.03","10,847.41","10,775.04","10,896.06","10,847.51",,
AMEX Index,2468.33,2499.16,2470.64,2488.33,2452.29,,
Canada:,,
,
DJ S&P TSX Index,"14,900.47","15,062.88","14,995.65","15,124.92","15,083.92",,
London:,,
,
FTSE 100 Index,6782.55,6871.80,6860.02,6865.93,6853.44,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3370.11,3414.18,3415.53,3408.96,3398.16,,
Germany:,,
,
German Xetra Dax,"10,828.01","10,890.95","10,911.32","10,905.41","10,846.39",,
France:,,
,
CAC Index,4627.67,4677.90,4696.30,4703.30,4691.03,,
Switzerland:,,
,
Swiss Market Index,8429.20,8452.13,8608.24,8544.32,8587.99,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,394.55","51,949.33","51,630.82","51,688.70","51,998.32",,
JSE Africa Gold Index,1558.61,1581.27,1565.67,1549.13,1534.62,,
Italy:,,
,
FTSE Italia All Share Index,"21,767.19","22,297.17","22,242.83","22,147.81","22,092.77",,
Spain:,,
,
IBEX 35,"10,328.1","10,598.2","10,577.8","10,535.5","10,573.1",,
New Zealand:,,
,
NZ Top 50 Capital,5756.69,5781.95,5785.32,5797.59,Closed,,
NZ Top 10 Capital,1213.04,1218.73,1219.71,1223.63,Closed,,
Tokyo:,,
,
Nikkei 225 Index,"17,558.04","17,335.85","17,678.74","17,504.62","17,648.50",,
Nikkei high,"17,628.40","17,654.60","17,743.11","17,619.34","17,700.67",,
Nikkei low,"17,459.45","17,271.87","17,535.04","17,484.67","17,603.07",,
Nikkei 300 Index,284.86,281.89,287.28,285.72,287.41,,
Topix Index,1408.75,1392.39,1417.00,1410.11,1417.19,,
Hong Kong:,,
,
Hang Seng Index,"24,484.74","24,554.78","24,679.76","24,765.49","24,679.39",,
China:,,
,
Shanghai A Index,3277.59,3358.08,3325.73,3286.19,3222.52,,
Korea:,,
,
Seoul KOSPI,1952.68,1951.96,1962.79,1952.84,1955.52,,
Taiwan:,,
,
TAIEX Index,9386.99,9448.73,9513.92,9512.05,9456.18,,
Singapore:,,
,
Straits Times Index,3423.35,3408.02,3417.57,3406.58,3431.36,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,Closed,Closed,1803.02,1803.21,1813.25,,
Indonesia:,,
,
JSX Composite Index,5276.24,5291.72,5315.28,5279.90,5342.52,,
India:,,
,
BSE Sensex Index,"29,122.27","29,000.14","28,883.11","28,850.97","28,717.91",,
Thailand:,,
,
FTSE SET Index,1582.70,1602.54,1599.81,1607.92,1613.63,,
Philippines:,,
,
Manila PSE Index,7630.71,7613.15,7716.06,7674.24,7728.18,,
World:,,
,
MSCI World,1694.35,1715.22,1715.13,1727.49,1720.55,,
Comm Research Index,220.99,227.98,221.03,223.73,225.41,,
Moody's Comm Index,5369.68,5442.06,5425.81,5425.84,5425.84,,
LME Index,2716.9,2774.1,Closed,2774.7,2751.9,,
,
Source: Thomson Reuters,
